,source,compare,col_iguais,col_diferentes,col_dificuldade,country,total_col
2,USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,12,47,0.7966101694915254,USA,59
5,USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,10,37,0.7872340425531915,USA,47
6,USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,13,48,0.7868852459016393,USA,61
8,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,12,41,0.7735849056603774,USA,53
9,USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,16,47,0.746031746031746,USA,63
10,USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__6.csv,9,32,0.7804878048780488,USA,41
12,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__20.csv,13,50,0.7936507936507936,USA,63
13,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,16,41,0.7192982456140351,USA,57
15,USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,15,49,0.765625,USA,64
16,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__20.csv,13,51,0.796875,USA,64
19,USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__0.csv,13,48,0.7868852459016393,USA,61
23,USA_CSV0000000000035902__18.csv,USA_CSV0000000000034192.csv,27,89,0.7672413793103449,USA,116
24,USA_CSV0000000000035902__17.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921,USA,113
26,USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__28.csv,16,43,0.7288135593220338,USA,59
28,USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__15.csv,10,39,0.7959183673469388,USA,49
29,USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__12.csv,10,39,0.7959183673469388,USA,49
30,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__29.csv,15,48,0.7619047619047619,USA,63
31,USA_CSV0000000000035902__15.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921,USA,113
33,USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__8.csv,13,45,0.7758620689655172,USA,58
34,USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__4.csv,15,43,0.7413793103448276,USA,58
35,USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__11.csv,13,45,0.7758620689655172,USA,58
36,USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__26.csv,16,41,0.7192982456140351,USA,57
39,USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__8.csv,15,46,0.7540983606557377,USA,61
42,USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__8.csv,15,42,0.7368421052631579,USA,57
44,USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__0.csv,14,39,0.7358490566037735,USA,53
47,USA_CSV0000000000033847__3.csv,USA_CSV0000000000033847.csv,26,72,0.7346938775510204,USA,98
48,USA_CSV0000000000034882__12.csv,USA_CSV0000000000033847__10.csv,14,48,0.7741935483870968,USA,62
50,USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__27.csv,16,34,0.68,USA,50
51,USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__0.csv,13,48,0.7868852459016393,USA,61
52,USA_CSV0000000000035902__18.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921,USA,113
54,USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__14.csv,12,38,0.76,USA,50
68,USA_CSV0000000000035331__30.csv,USA_CSV0000000000035331__7.csv,22,39,0.639344262295082,USA,61
76,USA_CSV0000000000034882__25.csv,USA_CSV0000000000034882__24.csv,27,4,0.1290322580645161,USA,31
89,USA_CSV0000000000033066.csv,USA_CSV0000000000036885.csv,13,27,0.675,USA,40
94,USA_CSV0000000000035712.csv,USA_CSV0000000000033600.csv,16,17,0.5151515151515151,USA,33
95,USA_CSV0000000000034122.csv,USA_CSV0000000000034107.csv,12,19,0.6129032258064516,USA,31
104,USA_CSV0000000000006400.csv,USA_CSV0000000000014928.csv,63,13,0.1710526315789473,USA,76
105,USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__9.csv,12,40,0.7692307692307693,USA,52
