source,compare,coluna,tipo
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,vertalign,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,surva,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,sampleid,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,urbancode,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,curvesa,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,beginlrs,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,atgradesigns,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,donutexpfactor,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,shoulderwidthl,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,turnlanesl,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,routenumber,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,nhs,match
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,iri,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,typesignal,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,survc,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,routequalifier,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,stdexpfactor,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,percsight,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,donutvolumegroup,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,typeterrain,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,percgreen,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,mediantype,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,shouldertype,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,kfactor,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,perccombination,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,nonattcode,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,countycode,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,truckroute,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,ismetric,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,accesscontrol,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,isgrouped,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,turnlanesr,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,sectionid,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,futaadt,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,survg,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,issample,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,gradesd,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,curvesd,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,horzalign,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,curvesf,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,stdvolumegroup,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,futaadtyear,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,fsystem,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,peakcapacity,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,yearsurfimprov,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,peaklanes,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,snd,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,gradesf,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,specialsystems,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,avgcombination,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,gradesb,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,routesigning,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,aadt,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,yearrecord,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,samplingtech,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,survb,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,isdonut,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,climatezone,diferente
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,percsingleunit,diferente
