source,compare,coluna,tipo
csvData1549285__2.csv,csvData20409520__4.csv,gmsc,match
csvData1549285__2.csv,csvData20409520__4.csv,blk,match
csvData1549285__2.csv,csvData20409520__4.csv,tm,match
csvData1549285__2.csv,csvData20409520__4.csv,drtg,match
csvData1549285__2.csv,csvData20409520__4.csv,ast,match
csvData1549285__2.csv,csvData20409520__4.csv,age,diferente
csvData1549285__2.csv,csvData20409520__4.csv,opp,diferente
csvData1549285__2.csv,csvData20409520__4.csv,usg,diferente
csvData1549285__2.csv,csvData20409520__4.csv,trb,diferente
csvData1549285__2.csv,csvData20409520__4.csv,drb,diferente
csvData1549285__2.csv,csvData20409520__4.csv,tov,diferente
csvData1549285__2.csv,csvData20409520__4.csv,ortg,diferente
csvData1549285__2.csv,csvData20409520__4.csv,stl,diferente
csvData15936069__14.csv,csvData15936069__16.csv,g,match
csvData15936069__14.csv,csvData15936069__16.csv,pa,match
csvData15936069__14.csv,csvData15936069__16.csv,oppavg,match
csvData15936069__14.csv,csvData15936069__16.csv,ppf,diferente
csvData15936069__14.csv,csvData15936069__16.csv,lvl,diferente
csvData15936069__14.csv,csvData15936069__16.csv,opptav,diferente
csvData15936069__14.csv,csvData15936069__16.csv,slg,diferente
csvData15936069__14.csv,csvData15936069__16.csv,year,diferente
csvData15936069__14.csv,csvData15936069__16.csv,vorp,diferente
csvData15936069__14.csv,csvData15936069__16.csv,gs,diferente
csvData15936069__14.csv,csvData15936069__16.csv,ab,diferente
csvData917122__2.csv,csvData16083137__3.csv,trb,match
csvData917122__2.csv,csvData16083137__3.csv,efg,match
csvData917122__2.csv,csvData16083137__3.csv,g,match
csvData917122__2.csv,csvData16083137__3.csv,orb,match
csvData917122__2.csv,csvData16083137__3.csv,ast,match
csvData917122__2.csv,csvData16083137__3.csv,age,diferente
csvData917122__2.csv,csvData16083137__3.csv,opp,diferente
csvData917122__2.csv,csvData16083137__3.csv,usg,diferente
csvData917122__2.csv,csvData16083137__3.csv,date,diferente
csvData917122__2.csv,csvData16083137__3.csv,tov,diferente
csvData917122__2.csv,csvData16083137__3.csv,ortg,diferente
csvData917122__2.csv,csvData16083137__3.csv,trb,match
csvData917122__2.csv,csvData16083137__3.csv,efg,match
csvData917122__2.csv,csvData16083137__3.csv,g,match
csvData917122__2.csv,csvData16083137__3.csv,orb,match
csvData917122__2.csv,csvData16083137__3.csv,ast,match
csvData917122__2.csv,csvData16083137__3.csv,age,diferente
csvData917122__2.csv,csvData16083137__3.csv,opp,diferente
csvData917122__2.csv,csvData16083137__3.csv,usg,diferente
csvData917122__2.csv,csvData16083137__3.csv,date,diferente
csvData917122__2.csv,csvData16083137__3.csv,tov,diferente
csvData917122__2.csv,csvData16083137__3.csv,ortg,diferente
csvData917122__2.csv,csvData16083137__3.csv,trb,match
csvData917122__2.csv,csvData16083137__3.csv,efg,match
csvData917122__2.csv,csvData16083137__3.csv,g,match
csvData917122__2.csv,csvData16083137__3.csv,orb,match
csvData917122__2.csv,csvData16083137__3.csv,ast,match
csvData917122__2.csv,csvData16083137__3.csv,age,diferente
csvData917122__2.csv,csvData16083137__3.csv,opp,diferente
csvData917122__2.csv,csvData16083137__3.csv,usg,diferente
csvData917122__2.csv,csvData16083137__3.csv,date,diferente
csvData917122__2.csv,csvData16083137__3.csv,tov,diferente
csvData917122__2.csv,csvData16083137__3.csv,ortg,diferente
csvData25322806__4.csv,csvData8770780__8.csv,orb,match
csvData25322806__4.csv,csvData8770780__8.csv,tov,match
csvData25322806__4.csv,csvData8770780__8.csv,mp,match
csvData25322806__4.csv,csvData8770780__8.csv,stl,match
csvData25322806__4.csv,csvData8770780__8.csv,ts,diferente
csvData25322806__4.csv,csvData8770780__8.csv,drb,diferente
csvData25322806__4.csv,csvData8770780__8.csv,ortg,diferente
csvData25322806__4.csv,csvData8770780__8.csv,ast,diferente
csvData25322806__4.csv,csvData8770780__8.csv,drtg,diferente
csvData14518660__14.csv,csvData2852713__17.csv,pa,match
csvData14518660__14.csv,csvData2852713__17.csv,rpos,match
csvData14518660__14.csv,csvData2852713__17.csv,rk,match
csvData14518660__14.csv,csvData2852713__17.csv,rbaser,match
csvData14518660__14.csv,csvData2852713__17.csv,owar,diferente
csvData14518660__14.csv,csvData2852713__17.csv,salary,diferente
csvData14518660__14.csv,csvData2852713__17.csv,rbat,diferente
csvData14518660__14.csv,csvData2852713__17.csv,name,diferente
csvData14518660__14.csv,csvData2852713__17.csv,war,diferente
csvData14518660__14.csv,csvData2852713__17.csv,orar,diferente
csvData14518660__14.csv,csvData2852713__17.csv,possummary,diferente
csvData14518660__14.csv,csvData2852713__17.csv,raa,diferente
csvData14518660__14.csv,csvData2852713__17.csv,tm,diferente
csvData14518660__14.csv,csvData2852713__17.csv,pa,match
csvData14518660__14.csv,csvData2852713__17.csv,rpos,match
csvData14518660__14.csv,csvData2852713__17.csv,rk,match
csvData14518660__14.csv,csvData2852713__17.csv,rbaser,match
csvData14518660__14.csv,csvData2852713__17.csv,owar,diferente
csvData14518660__14.csv,csvData2852713__17.csv,salary,diferente
csvData14518660__14.csv,csvData2852713__17.csv,rbat,diferente
csvData14518660__14.csv,csvData2852713__17.csv,name,diferente
csvData14518660__14.csv,csvData2852713__17.csv,war,diferente
csvData14518660__14.csv,csvData2852713__17.csv,orar,diferente
csvData14518660__14.csv,csvData2852713__17.csv,possummary,diferente
csvData14518660__14.csv,csvData2852713__17.csv,raa,diferente
csvData14518660__14.csv,csvData2852713__17.csv,tm,diferente
csvData1902536__3.csv,csvData18661263__13.csv,3b,match
csvData1902536__3.csv,csvData18661263__13.csv,pos,match
csvData1902536__3.csv,csvData18661263__13.csv,r,match
csvData1902536__3.csv,csvData18661263__13.csv,player,match
csvData1902536__3.csv,csvData18661263__13.csv,h,diferente
csvData1902536__3.csv,csvData18661263__13.csv,cs,diferente
csvData1902536__3.csv,csvData18661263__13.csv,obp,diferente
csvData1902536__3.csv,csvData18661263__13.csv,slg,diferente
csvData1902536__3.csv,csvData18661263__13.csv,g,diferente
csvData1902536__3.csv,csvData18661263__13.csv,2b,diferente
csvData1902536__3.csv,csvData18661263__13.csv,ops,diferente
csvData1902536__3.csv,csvData18661263__13.csv,team,diferente
csvData20535739__7.csv,csvData19688700__5.csv,hr,match
csvData20535739__7.csv,csvData19688700__5.csv,g,match
csvData20535739__7.csv,csvData19688700__5.csv,player,match
csvData20535739__7.csv,csvData19688700__5.csv,gidp,match
csvData20535739__7.csv,csvData19688700__5.csv,ab,match
csvData20535739__7.csv,csvData19688700__5.csv,h,diferente
csvData20535739__7.csv,csvData19688700__5.csv,cs,diferente
csvData20535739__7.csv,csvData19688700__5.csv,obp,diferente
csvData20535739__7.csv,csvData19688700__5.csv,sf,diferente
csvData20535739__7.csv,csvData19688700__5.csv,rbi,diferente
csvData20535739__7.csv,csvData19688700__5.csv,sb,diferente
csvData20535739__7.csv,csvData19688700__5.csv,ops,diferente
csvData20535739__7.csv,csvData19688700__5.csv,sh,diferente
csvData13891302__8.csv,csvData436368__11.csv,3b,match
csvData13891302__8.csv,csvData436368__11.csv,team,match
csvData13891302__8.csv,csvData436368__11.csv,2b,match
csvData13891302__8.csv,csvData436368__11.csv,sh,match
csvData13891302__8.csv,csvData436368__11.csv,hr,diferente
csvData13891302__8.csv,csvData436368__11.csv,h,diferente
csvData13891302__8.csv,csvData436368__11.csv,bb,diferente
csvData13891302__8.csv,csvData436368__11.csv,rbi,diferente
csvData13891302__8.csv,csvData436368__11.csv,g,diferente
csvData13891302__8.csv,csvData436368__11.csv,player,diferente
csvData13891302__8.csv,csvData436368__11.csv,gidp,diferente
csvData13891302__8.csv,csvData436368__11.csv,ops,diferente
csvData13891302__8.csv,csvData436368__11.csv,ab,diferente
csvData13891302__8.csv,csvData436368__11.csv,r,diferente
csvData13891302__8.csv,csvData436368__11.csv,avg,diferente
csvData4798003__1.csv,csvData436368__11.csv,3b,match
csvData4798003__1.csv,csvData436368__11.csv,team,match
csvData4798003__1.csv,csvData436368__11.csv,g,match
csvData4798003__1.csv,csvData436368__11.csv,sh,match
