source,compare,col_iguais,col_diferentes,col_dificuldade
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,9,52,0.8524590163934426
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__27.csv,5,46,0.9019607843137255
USA_CSV0000000000033847__4.csv,USA_CSV0000000000037101__2.csv,12,47,0.7966101694915254
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__9.csv,8,52,0.8666666666666667
USA_CSV0000000000037101__16.csv,USA_CSV0000000000037101__5.csv,10,47,0.8245614035087719
USA_CSV0000000000034882__26.csv,USA_CSV0000000000034882__23.csv,10,37,0.7872340425531915
USA_CSV0000000000033847__12.csv,USA_CSV0000000000034882__4.csv,13,48,0.7868852459016393
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__15.csv,10,44,0.8148148148148148
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__16.csv,12,41,0.7735849056603774
USA_CSV0000000000034882__13.csv,USA_CSV0000000000034882__3.csv,16,47,0.746031746031746
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__6.csv,9,32,0.7804878048780488
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__2.csv,10,51,0.8360655737704918
USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__20.csv,13,50,0.7936507936507936
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__26.csv,16,41,0.7192982456140351
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__4.csv,9,56,0.8615384615384616
USA_CSV0000000000035902__16.csv,USA_CSV0000000000035902__2.csv,15,49,0.765625
USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__20.csv,13,51,0.796875
USA_CSV0000000000033847__5.csv,USA_CSV0000000000033847__14.csv,5,47,0.9038461538461539
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__15.csv,9,44,0.8301886792452831
USA_CSV0000000000033847__17.csv,USA_CSV0000000000034882__0.csv,13,48,0.7868852459016393
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__20.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__3.csv,USA_CSV0000000000033847__20.csv,12,50,0.8064516129032258
USA_CSV0000000000033847__3.csv,USA_CSV0000000000034882__0.csv,10,51,0.8360655737704918
USA_CSV0000000000035902__18.csv,USA_CSV0000000000034192.csv,27,89,0.7672413793103449
USA_CSV0000000000035902__17.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921
USA_CSV0000000000033847__12.csv,USA_CSV0000000000037101__5.csv,9,56,0.8615384615384616
USA_CSV0000000000033847__14.csv,USA_CSV0000000000037101__28.csv,16,43,0.7288135593220338
USA_CSV0000000000034882__22.csv,USA_CSV0000000000033847__3.csv,8,39,0.8297872340425532
USA_CSV0000000000034882__29.csv,USA_CSV0000000000033847__15.csv,10,39,0.7959183673469388
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__12.csv,10,39,0.7959183673469388
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__29.csv,15,48,0.7619047619047619
USA_CSV0000000000035902__15.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921
USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__1.csv,5,47,0.9038461538461539
USA_CSV0000000000033847__17.csv,USA_CSV0000000000033847__8.csv,13,45,0.7758620689655172
USA_CSV0000000000034882__29.csv,USA_CSV0000000000034882__4.csv,15,43,0.7413793103448276
USA_CSV0000000000033847__12.csv,USA_CSV0000000000033847__11.csv,13,45,0.7758620689655172
USA_CSV0000000000033847__14.csv,USA_CSV0000000000033847__26.csv,16,41,0.7192982456140351
USA_CSV0000000000033847__17.csv,USA_CSV0000000000037101__1.csv,9,56,0.8615384615384616
USA_CSV0000000000034882__22.csv,USA_CSV0000000000034882__17.csv,9,45,0.8333333333333334
USA_CSV0000000000034882__13.csv,USA_CSV0000000000033847__8.csv,15,46,0.7540983606557377
USA_CSV0000000000033847__3.csv,USA_CSV0000000000037101__1.csv,11,49,0.8166666666666667
USA_CSV0000000000037101__17.csv,USA_CSV0000000000034882__25.csv,5,42,0.8936170212765957
USA_CSV0000000000034882__13.csv,USA_CSV0000000000037101__8.csv,15,42,0.7368421052631579
USA_CSV0000000000034882__26.csv,USA_CSV0000000000033847__0.csv,5,46,0.9019607843137255
USA_CSV0000000000037101__16.csv,USA_CSV0000000000034882__0.csv,14,39,0.7358490566037735
USA_CSV0000000000037101__17.csv,USA_CSV0000000000034882__18.csv,6,39,0.8666666666666667
USA_CSV0000000000033847__3.csv,USA_CSV0000000000033847__28.csv,9,52,0.8524590163934426
USA_CSV0000000000033847__3.csv,USA_CSV0000000000033847.csv,26,72,0.7346938775510204
USA_CSV0000000000034882__12.csv,USA_CSV0000000000033847__10.csv,14,48,0.7741935483870968
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__18.csv,9,37,0.8043478260869565
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__27.csv,16,34,0.68
USA_CSV0000000000033847__14.csv,USA_CSV0000000000034882__0.csv,13,48,0.7868852459016393
USA_CSV0000000000035902__18.csv,USA_CSV0000000000033133.csv,38,75,0.6637168141592921
USA_CSV0000000000034882__9.csv,USA_CSV0000000000037101__13.csv,2,40,0.9523809523809523
USA_CSV0000000000033847__4.csv,USA_CSV0000000000034882__14.csv,12,38,0.76
USA_CSV0000000000033847__4.csv,USA_CSV0000000000033847__25.csv,10,50,0.8333333333333334
USA_CSV0000000000037101__17.csv,USA_CSV0000000000034882__9.csv,3,38,0.926829268292683
USA_CSV0000000000037101__17.csv,USA_CSV0000000000037101__35.csv,5,32,0.8648648648648649
USA_CSV0000000000036154__19.csv,USA_CSV0000000000036154__16.csv,16,2,0.1111111111111111
USA_CSV0000000000035412__14.csv,USA_CSV0000000000035412__15.csv,6,2,0.25
USA_CSV0000000000034882__30.csv,USA_CSV0000000000034882__34.csv,4,4,0.5
USA_CSV0000000000035902__47.csv,USA_CSV0000000000035902__48.csv,2,2,0.5
