query_table,candidate_table,query_column,candidate_column
CAN_CSV0000000000001724__13.csv,CAN_CSV0000000000001787__9.csv,RentLocation,RentLocation
UK_CSV0000000000003896__7.csv,UK_CSV0000000000002010__11.csv,Post-Op Q Anxiety,Post-Op Q Anxiety
UK_CSV0000000000003896__7.csv,UK_CSV0000000000002010__11.csv,Post-Op Q Wound,Post-Op Q Wound
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,STD_VOLUME_GROUP,STD_VOLUME_GROUP
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,ROUTE_SIGNING,ROUTE_SIGNING
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,TYPE_TERRAIN,TYPE_TERRAIN
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,SHOULDER_WIDTH_R,SHOULDER_WIDTH_R
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,RURAL_URBAN,RURAL_URBAN
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,COUNTY_CODE,COUNTY_CODE
USA_CSV0000000000037101__16.csv,USA_CSV0000000000033847__23.csv,FUT_AADT_YEAR,FUT_AADT_YEAR
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__27.csv,HORZ_ALIGN,HORZ_ALIGN
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__27.csv,VERT_ALIGN,VERT_ALIGN
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__27.csv,SPECIAL_SYSTEMS,SPECIAL_SYSTEMS
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__27.csv,TURN_LANES_L,TURN_LANES_L
USA_CSV0000000000033847__5.csv,USA_CSV0000000000034882__27.csv,YEAR_RECORD,YEAR_RECORD
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Pre-Op Q Anxiety,Pre-Op Q Anxiety
UK_CSV0000000000003896__0.csv,UK_CSV0000000000007396.csv,Revision Flag,Revision Flag
