query_table,candidate_table
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004972.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004975.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000471.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004970.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000474.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004974.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001197.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001226.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004967.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000736.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001198.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001215.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001227.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001230.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001231.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000559.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000002402.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001236.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000004973.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001229.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000012602.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000015770.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001233.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000014425.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000001251.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000007017.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000012583.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013001.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027218.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013199.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013513.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000000608.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005128.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005057.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000013497.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000027228.csv
CAN_CSV0000000000000474.csv,CAN_CSV0000000000005090.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000027172.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000565.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000556.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000002191.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000005138.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000604.csv
CAN_CSV0000000000000557.csv,CAN_CSV0000000000000577.csv
