query_table,candidate_table,query_column,candidate_column
csvData1549285__2.csv,csvData20409520__4.csv,DRtg,DRtg
csvData15936069__14.csv,csvData15936069__16.csv,oppAVG,oppAVG
csvData13638124__4.csv,csvData7320164__7.csv,GIDP,GIDP
csvData19387543__3.csv,csvData11762781.csv,avg,avg
csvData13051044__2.csv,csvData21266749.csv,BLK%,BLK%
csvData13051044__2.csv,csvData21266749.csv,ORB%,ORB%
csvData13051044__2.csv,csvData21266749.csv,GmSc,GmSc
csvData19132138__7.csv,csvData19132138__6.csv,oppOPS,oppOPS
csvData19132138__7.csv,csvData19132138__6.csv,oppSLG,oppSLG
csvData917122__2.csv,csvData16083137__3.csv,AST%,AST%
csvData917122__2.csv,csvData16083137__3.csv,ORB%,ORB%
csvData917122__2.csv,csvData16083137__3.csv,TRB%,TRB%
csvData12739105__3.csv,csvData12739105__4.csv,ORB%,ORB%
csvData12739105__3.csv,csvData12739105__4.csv,TRB%,TRB%
csvData12739105__3.csv,csvData12739105__4.csv,DRtg,DRtg
csvData25322806__4.csv,csvData8770780__8.csv,STL%,STL%
csvData14518660__14.csv,csvData2852713__17.csv,Rpos,Rpos
csvData14518660__14.csv,csvData2852713__17.csv,Rbaser,Rbaser
csvData16382327__5.csv,csvData16382327__4.csv,AST%,AST%
csvData16382327__5.csv,csvData16382327__4.csv,Opp,Opp
csvData13336059__13.csv,csvData13638124.csv,SLG,SLG
csvData1902536__3.csv,csvData18661263__13.csv,Player,Player
csvData16904536__2.csv,csvData7259418.csv,BLK%,BLK%
csvData15936069__16.csv,csvData15936069__17.csv,oppAVG,oppAVG
csvData15936069__16.csv,csvData15936069__17.csv,YEAR,YEAR
csvData20535739__7.csv,csvData19688700__5.csv,Player,Player
csvData13891302__8.csv,csvData436368__11.csv,Team,Team
csvData25441565__1.csv,csvData1635358__0.csv,ORtg,ORtg
csvData4798003__1.csv,csvData436368__11.csv,Team,Team
csvData25450714__14.csv,csvData25450714__14.csv,OPS,OPS
csvData2590167__12.csv,csvData4602349.csv,RBI,RBI
csvData19621512__18.csv,csvData24131822.csv,VORP,VORP
csvData19621512__18.csv,csvData24131822.csv,AGE,AGE
csvData19621512__18.csv,csvData24131822.csv,PPF,PPF
csvData19621512__18.csv,csvData24131822.csv,oppRPA+,oppRPA+
csvData7470046__2.csv,csvData13911260.csv,Date,Date
csvData7470046__2.csv,csvData13911260.csv,GmSc,GmSc
csvData7470046__2.csv,csvData13911260.csv,DRtg,DRtg
csvData23033509__0.csv,csvData2877720__15.csv,SLG,SLG
csvData23033509__0.csv,csvData2877720__15.csv,Player,Player
csvData23033509__4.csv,csvData2877720__14.csv,SLG,SLG
csvData23033509__4.csv,csvData2877720__14.csv,Player,Player
csvData9469123__10.csv,csvData9469123.csv,oppOBP,oppOBP
csvData9469123__10.csv,csvData9469123.csv,YEAR,YEAR
csvData9469123__10.csv,csvData9469123.csv,oppRPA+,oppRPA+
csvData1549285__0.csv,csvData17054209.csv,BLK%,BLK%
csvData1549285__0.csv,csvData17054209.csv,AST%,AST%
csvData1549285__0.csv,csvData17054209.csv,Opp,Opp
csvData1549285__0.csv,csvData17054209.csv,TRB%,TRB%
csvData1549285__0.csv,csvData17054209.csv,GmSc,GmSc
csvData10025189__3.csv,csvData8804961__3.csv,Team,Team
csvData14248779__2.csv,csvData19659867__5.csv,Opp,Opp
csvData14248779__2.csv,csvData19659867__5.csv,TOV%,TOV%
csvData4674540__15.csv,csvData29453038__8.csv,Team,Team
csvData24108736__5.csv,csvData2453904.csv,Player,Player
csvData19553885__12.csv,csvData19553885__14.csv,GIDP,GIDP
csvData19553885__12.csv,csvData19553885__14.csv,RBI,RBI
csvData9205349__3.csv,csvData4117039.csv,Shots,Shots
csvData9205349__3.csv,csvData4117039.csv,iCorsi/60,iCorsi/60
csvData7470046__3.csv,csvData17093328__0.csv,ORtg,ORtg
csvData7470046__3.csv,csvData17093328__0.csv,Date,Date
csvData7470046__3.csv,csvData17093328__0.csv,DRtg,DRtg
csvData3383853__3.csv,csvData4674540__13.csv,POS,POS
csvData25322806__5.csv,csvData553328.csv,STL%,STL%
csvData25322806__5.csv,csvData553328.csv,ORB%,ORB%
csvData20076526__3.csv,csvData20076526.csv,STL%,STL%
csvData20076526__3.csv,csvData20076526.csv,USG%,USG%
csvData22935665__3.csv,csvData22935665__4.csv,USG%,USG%
csvData22935665__3.csv,csvData22935665__4.csv,Opp,Opp
csvData8963593__3.csv,csvData8963593__2.csv,USG%,USG%
csvData26651945__13.csv,csvData2877720__7.csv,Player,Player
csvData2877720__7.csv,csvData2877720__7.csv,Player,Player
csvData23141915__0.csv,csvData13051044__0.csv,DRB%,DRB%
csvData23141915__0.csv,csvData13051044__0.csv,ORB%,ORB%
csvData9739809__4.csv,csvData9739809__2.csv,Team,Team
csvData9739809__4.csv,csvData9739809__2.csv,GIDP,GIDP
csvData17054209__2.csv,csvData25322806.csv,ORB%,ORB%
csvData17054209__2.csv,csvData25322806.csv,eFG%,eFG%
csvData2877720__14.csv,csvData29346752.csv,Player,Player
csvData2877720__14.csv,csvData29346752.csv,GIDP,GIDP
csvData13434912__8.csv,csvData27987124.csv,Player,Player
csvData13434912__8.csv,csvData27987124.csv,OBP,OBP
csvData26150573__1.csv,csvData23859791.csv,TOV%,TOV%
csvData26150573__1.csv,csvData23859791.csv,DRB%,DRB%
csvData26150573__1.csv,csvData23859791.csv,ORtg,ORtg
csvData26150573__1.csv,csvData23859791.csv,USG%,USG%
csvData4823585__6.csv,csvData4823585__7.csv,GIDP,GIDP
csvData27587184__5.csv,csvData7470046__1.csv,TOV%,TOV%
csvData7789467__2.csv,csvData12906779__12.csv,SLG,SLG
csvData20967043__0.csv,csvData14248779.csv,Date,Date
csvData13703215__0.csv,csvData14213420.csv,Team,Team
csvData13703215__0.csv,csvData14213420.csv,OBP,OBP
csvData1786628__8.csv,csvData4048077.csv,ORtg,ORtg
csvData7063593__2.csv,csvData11585188__5.csv,AST%,AST%
csvData23141915__0.csv,csvData1549285__2.csv,DRtg,DRtg
csvData1902536__12.csv,csvData1902536__10.csv,Player,Player
csvData26604328__1.csv,csvData704435.csv,AST%,AST%
csvData26604328__1.csv,csvData704435.csv,Date,Date
csvData26604328__1.csv,csvData704435.csv,ORB%,ORB%
csvData26604328__1.csv,csvData704435.csv,eFG%,eFG%
csvData14248779__2.csv,csvData16984008.csv,GmSc,GmSc
csvData26853929__7.csv,csvData7320164__8.csv,SLG,SLG
csvData29453038__6.csv,csvData2590167__11.csv,GIDP,GIDP
csvData29453038__6.csv,csvData2590167__11.csv,POS,POS
csvData19621512__8.csv,csvData29373882__14.csv,SLG,SLG
csvData13703215__18.csv,csvData13434912__2.csv,Team,Team
csvData25450714__16.csv,csvData10027553.csv,Player,Player
csvData13245391__1.csv,csvData14429913__5.csv,AST%,AST%
csvData2688573__2.csv,csvData20908482.csv,ibb,ibb
csvData2688573__2.csv,csvData20908482.csv,era,era
csvData7222492__8.csv,csvData7222492__5.csv,BPG,BPG
csvData13336059__5.csv,csvData25450714__9.csv,AVG,AVG
