arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 10 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 10 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 11 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 11 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 12 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 12 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 1 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 1 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 2 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 2 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 3 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 3 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 4 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 4 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 5 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 5 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 6 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 6 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 7 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 7 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 8 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 8 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 9 Semestre Bruto ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv, 9 Semestre FIES ,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv,Ano,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv,Área do conhecimento,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv,CNPJ da mantenedora,presente em ambos arquivos,
relatorio_dados_abertos_oferta_12019_18102021.csv,relatorio_dados_abertos_oferta_12022_15072022.csv,Código da Mesorregião,presente em ambos arquivos,
