Ano,Semestre,Nome Mantenedora,Código e-MEC da Mantenedora,CNPJ da mantenedora,Nome da IES,Código e-MEC da IES,Organização Acadêmica da IES,UF da IES,Município da IES,Nome do Local de oferta,Código do Local de Oferta,Município do Local de Oferta,UF do Local de Oferta,Nome da Microrregião,Código da Microrregião,Código da Mesorregião,Nome da Mesorregião,Área do conhecimento,Subárea do conhecimento,Código do Grupo de Preferência, Nota de Corte Grupo Preferência ,Código do Curso,Nome do Curso,Turno,Grau,Conceito,Vagas autorizadas e-mec,Vagas ofertadas FIES,Vagas além da Oferta,Vagas ocupadas,Participa do P-FIES,Vagas Ofertadas P-FIES,BANCO NORDESTE BRASIL   (004),ITAU UNIBANCO (PRAVALER)(341),BV FINANCEIRA (PRAVALER)(455),BANCO ANDBANK (PRAVALER)(65),BANCO DA AMAZONIA S.A.  (003), Valor bruto do curso , 1 Semestre Bruto , 2 Semestre Bruto , 3 Semestre Bruto , 4 Semestre Bruto , 5 Semestre Bruto , 6 Semestre Bruto , 7 Semestre Bruto , 8 Semestre Bruto , 9 Semestre Bruto , 10 Semestre Bruto , 11 Semestre Bruto , 12 Semestre Bruto , Valor do curso para FIES , Índice de correção - IPCA , 1 Semestre FIES , 2 Semestre FIES , 3 Semestre FIES , 4 Semestre FIES , 5 Semestre FIES , 6 Semestre FIES , 7 Semestre FIES , 8 Semestre FIES , 9 Semestre FIES , 10 Semestre FIES , 11 Semestre FIES , 12 Semestre FIES 
2019,1,ASSUPERO ENSINO SUPERIOR LTDA.,2415,6099229000101,UNIVERSIDADE PAULISTA,322,Universidade,SP,São Paulo,CAMPUS III - ANCHIETA,2639,São Paulo,SP,São Paulo,35061,3515,Metropolitana de São Paulo,CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO,"ENGENHARIA CIVIL E AMBIENTAL, ARQUITETURA E CURSOS RELACIONADOS",46077," 591,86 ",1156001,ARQUITETURA E URBANISMO,MATUTINO,Bacharelado,3,115,34,47,1,SIM,34,N,S,N,S,N," 55.760,30 "," 5.293,98 "," 3.983,98 "," 4.291,42 "," 6.085,07 "," 5.171,32 "," 6.084,90 "," 6.084,82 "," 6.253,03 "," 6.253,03 "," 6.258,75 ", -   , -   ," 49.125,47 ", 250% ," 3.705,78 "," 3.585,58 "," 3.862,28 "," 5.476,56 "," 4.654,19 "," 5.476,41 "," 5.476,34 "," 5.627,73 "," 5.627,73 "," 5.632,87 ", -   , -   
2019,1,UNIVERSIDADE BRASIL,16878,9099207000130,UNIVERSIDADE BRASIL,319,Universidade,SP,São Paulo,CAMPUS  - DESCALVADO - PQ UNIVERSITÁRIO,705030,Descalvado,SP,São Carlos,35025,3505,Araraquara,CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO,"ENGENHARIA DE PRODUÇÃO, DE MATERIAIS E CURSOS RELACIONADOS",45554," 541,00 ",92404,ENGENHARIA AMBIENTAL E SANITÁRIA,NOTURNO,Bacharelado,4,100,40,0,0,NAO,0,N,N,N,N,N," 73.260,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 "," 7.326,00 ", -   , -   ," 65.934,00 ", 100% ," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 "," 6.593,40 ", -   , -   
2019,1,ASSUPERO ENSINO SUPERIOR LTDA.,2415,6099229000101,FACULDADE PARANAENSE,2420,Faculdade ,PR,Curitiba,REPÚBLICA ARGENTINA,1069838,Curitiba,PR,Curitiba,41037,4110,Metropolitana de Curitiba,DIVERSAS ÁREAS,"CIÊNCIAS SOCIAIS, POLÍTICAS, ECONÔMICAS E CONTÁBEIS, PSICOLOGIA E SECRETARIADO",46532," 594,24 ",58286,CIÊNCIAS CONTÁBEIS,NOTURNO,Bacharelado,3,50,15,20,0,SIM,15,N,S,N,S,N," 28.646,47 "," 3.603,22 "," 3.320,94 "," 3.603,22 "," 3.320,94 "," 3.603,22 "," 3.595,50 "," 3.901,12 "," 3.698,31 ", -   , -   , -   , -   ," 25.601,69 ", 250% ," 3.062,73 "," 2.988,84 "," 3.242,89 "," 2.988,84 "," 3.242,89 "," 3.235,98 "," 3.511,04 "," 3.328,48 ", -   , -   , -   , -   
2019,1,ANHANGUERA EDUCACIONAL PARTICIPACOES S/A,16452,4310392000146,FACULDADE ANHANGUERA DE PINDAMONHANGABA,12791,Faculdade ,SP,Pindamonhangaba,UNIDADE SEDE,1039666,Pindamonhangaba,SP,São José dos Campos,35050,3513,Vale do Paraíba Paulista,CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO,"ENGENHARIA CIVIL E AMBIENTAL, ARQUITETURA E CURSOS RELACIONADOS",45977," 637,28 ",1303652,ARQUITETURA E URBANISMO,NOTURNO,Bacharelado,3,110,33,77,0,NAO,0,N,N,N,N,N," 81.150,00 "," 7.824,00 "," 6.384,00 "," 6.600,00 "," 6.259,00 "," 7.410,00 "," 6.137,00 "," 10.134,00 "," 10.134,00 "," 10.134,00 "," 10.134,00 ", -   , -   ," 71.305,00 ", 125% ," 5.868,00 "," 4.788,00 "," 4.950,00 "," 4.695,00 "," 5.558,00 "," 4.910,00 "," 10.134,00 "," 10.134,00 "," 10.134,00 "," 10.134,00 ", -   , -   
2019,1,INSTITUTO EDUCACIONAL SANTO AGOSTINHO LTDA,1264,3735981000103,FACULDADE SANTO AGOSTINHO,2275,Faculdade ,MG,Montes Claros,CAMPUS II - SHOPPING,1052618,Montes Claros,MG,Montes Claros,31007,3102,Norte de Minas,DIVERSAS ÁREAS,"DIREITO, COMÉRCIO EXTERIOR, BIBLIOTECONOMIA E CURSOS RELACIONADOS",44503," 634,20 ",53635,DIREITO,MATUTINO,Bacharelado,4,100,20,20,7,NAO,0,N,N,N,N,N," 91.368,00 "," 9.450,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 ", -   , -   ," 91.368,00 "," 110,02% "," 9.450,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 "," 9.102,00 ", -   , -   
2019,1,UNESBA - UNIAO DE ENSINO SUPERIOR DE BRASILIA S.S. LTDA.,1921,5158317000174,FACULDADE PROJEÇÃO DO GUARÁ,2964,Faculdade ,DF,Brasília,FACULDADE PROJEÇÃO DO GUARÁ,659360,Brasília,DF,Brasília,53001,5301,Distrito Federal,DIVERSAS ÁREAS,"ADMINISTRAÇÃO, ADMINISTRAÇÃO PÚBLICA, GESTÃO, LOGÍSTICA, NEGÓCIOS E CURSOS RELACIONADOS",47478," 585,50 ",69186,ADMINISTRAÇÃO,MATUTINO,Bacharelado,4,50,20,10,0,SIM,10,N,N,N,N,N," 37.612,80 "," 4.701,60 "," 4.701,60 "," 4.701,60 "," 4.701,60 "," 4.701,60 "," 4.701,60 "," 4.701,60 "," 4.701,60 ", -   , -   , -   , -   ," 35.732,16 ", 120% ," 4.466,52 "," 4.466,52 "," 4.466,52 "," 4.466,52 "," 4.466,52 "," 4.466,52 "," 4.466,52 "," 4.466,52 ", -   , -   , -   , -   
2019,1,GRUPO IBMEC EDUCACIONAL S.A,1223,4298309000160,Centro Universitário Metrocamp Wyden,2279,Centro Universitário,SP,Campinas,CAMPUS CENTRAL - SEDE,1045316,Campinas,SP,Campinas,35032,3507,Campinas,CURSOS DA ÁREA DE ENGENHARIA E CIÊNCIA DA COMPUTAÇÃO,CIÊNCIA DA COMPUTAÇÃO E SISTEMAS DE INFORMAÇÃO E CURSOS RELACIONADOS,45656," 556,20 ",59001,SISTEMA DE INFORMAÇÃO,MATUTINO,Bacharelado,4,50,20,25,0,SIM,5,N,S,S,S,N," 70.089,60 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 ", -   , -   , -   , -   ," 70.089,60 ", 102% ," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 "," 8.761,20 ", -   , -   , -   , -   
2019,1,ADTALEM EDUCACIONAL DO BRASIL S/A,1174,3681572000171,Centro Universitário FBV Wyden,1255,Centro Universitário,PE,Recife,CAMPUS  - RECIFE - IMBIRIBEIRA,658354,Recife,PE,Recife,26017,2605,Metropolitana de Recife,DIVERSAS ÁREAS,"COMUNICAÇÃO SOCIAL, JORNALISMO, PUBLICIDADE, MARKETING E CURSOS RELACIONADOS",43880," 560,04 ",82361,COMUNICAÇÃO SOCIAL - PUBLICIDADE E PROPAGANDA,NOTURNO,Bacharelado,4,60,24,30,3,SIM,6,S,S,S,S,N," 65.803,92 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 ", -   , -   , -   , -   ," 65.803,92 ", 102% ," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 "," 8.225,49 ", -   , -   , -   , -   
2019,1,FACULDADES METROPOLITANAS UNIDAS EDUCACIONAIS LTDA.,262,63063689000113,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,374,Centro Universitário,SP,São Paulo,FMU - LIBERDADE,657863,São Paulo,SP,São Paulo,35061,3515,Metropolitana de São Paulo,CURSOS DA AREA DE SAUDE,"SERVIÇO SOCIAL, FONOAUDIOLOGIA, TERAPIA OCUPACIONAL E CURSOS RELACIONADOS",46055," 530,88 ",7945,SERVIÇO SOCIAL,NOTURNO,Bacharelado,3,140,41,41,2,SIM,41,N,S,S,S,N," 32.276,46 "," 3.534,00 "," 3.676,08 "," 4.550,46 "," 4.807,20 "," 5.180,58 "," 4.799,22 "," 5.728,92 ", -   , -   , -   , -   , -   ," 32.276,46 ", 190% ," 3.534,00 "," 3.676,08 "," 4.550,46 "," 4.807,20 "," 5.180,58 "," 4.799,22 "," 5.728,92 ", -   , -   , -   , -   , -   
2019,1,FUNDACAO EDUCACIONAL DO BAIXO SAO FRANCISCO DR. RAIMUNDO MARINHO,71,12432605000130,FACULDADE RAIMUNDO MARINHO,5228,Faculdade ,AL,Maceió,FACULDADE RAIMUNDO MARINHO,1093665,Maceió,AL,Maceió,27011,2703,Leste Alagoano,CURSOS DA AREA DE SAUDE,"ENFERMAGEM, FISIOTERAPIA, FARMÁCIA, NUTRIÇÃO E CURSOS RELACIONADOS",43934," 531,88 ",1151389,ENFERMAGEM,NOTURNO,Bacharelado,3,100,10,2,0,NAO,0,N,N,N,N,N," 55.200,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 "," 5.520,00 ", -   , -   ," 50.600,00 ", 100% ," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 "," 5.060,00 ", -   , -   
