arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,DS_ETAPA,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,DT_NASCIMENTO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,MEDIA_MINIMA,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,MUNICIPIO_CANDIDATO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_CH_COM_PESO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_CN_COM_PESO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_L_COM_PESO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_M_COM_PESO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_MINIMA_CH,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_MINIMA_CN,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_MINIMA_L,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_MINIMA_M,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_MINIMA_R,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_R_COM_PESO,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,SIGLA_IES,presente em ambos arquivos,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,ANO,somente no arquivo_1,NU_ANO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,APROVADO,somente no arquivo_1,ST_APROVADO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CLASSIFICACAO,somente no arquivo_1,NU_CLASSIFICACAO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CODIGO_CAMPUS,somente no arquivo_1,NO_CAMPUS/SG_UF_CAMPUS/CO_CAMPUS
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CODIGO_CURSO,somente no arquivo_1,CO_IES_CURSO/NO_CURSO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CODIGO_IES,somente no arquivo_1,CO_IES
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CPF,somente no arquivo_1,NU_CPF
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,DS_PERIODICIDADE,somente no arquivo_1,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,EDICAO,somente no arquivo_1,NU_EDICAO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,ETAPA,somente no arquivo_1,CO_ETAPA
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,GRAU,somente no arquivo_1,DS_GRAU
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,INSCRICAO_ENEM,somente no arquivo_1,CO_INSCRICAO_ENEM
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,INSCRITO,somente no arquivo_1,NO_INSCRITO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,MATRICULA,somente no arquivo_1,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,MOD_CONCORRENCIA,somente no arquivo_1,TP_MOD_CONCORRENCIA/DS_MOD_CONCORRENCIA
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,MUNICIPIO_CAMPUS,somente no arquivo_1,NO_CAMPUS/CO_CAMPUS/NO_MUNUCIPIO_CAMPUS
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOME_CAMPUS,somente no arquivo_1,NO_CAMPUS/SG_UF_CAMPUS/CO_CAMPUS
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOME_CURSO,somente no arquivo_1,CO_IES_CURSO/NO_CURSO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOME_IES,somente no arquivo_1,NO_IES/CO_IES
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_CANDIDATO,somente no arquivo_1,SG_UF_CANDIDATO/NU_NOTA_CANDIDATO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_CH,somente no arquivo_1,NU_NOTA_CH/NU_NOTA_CN
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_CN,somente no arquivo_1,NU_NOTA_CH/NU_NOTA_CN
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_CORTE,somente no arquivo_1,NU_NOTACORTE
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_L,somente no arquivo_1,NU_NOTA_L
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_M,somente no arquivo_1,NU_NOTA_M
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,NOTA_R,somente no arquivo_1,NU_NOTA_R
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,OPCAO,somente no arquivo_1,ST_OPCAO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,PERCENTUAL_BONUS,somente no arquivo_1,NU_PERCENTUAL_BONUS
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,PESO_CH,somente no arquivo_1,NU_PESO_CN/NU_PESO_CH
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,PESO_CN,somente no arquivo_1,NU_PESO_CN/NU_PESO_CH
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,PESO_L,somente no arquivo_1,NU_PESO_L
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,PESO_M,somente no arquivo_1,NU_PESO_M
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,PESO_R,somente no arquivo_1,NU_PESO_R
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,QT_VAGAS_CONCORRENCIA,somente no arquivo_1,TP_MOD_CONCORRENCIA/DS_MOD_CONCORRENCIA
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,SEXO,somente no arquivo_1,TP_SEXO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,TIPO_MOD_CONCORRENCIA,somente no arquivo_1,TP_MOD_CONCORRENCIA/DS_MOD_CONCORRENCIA
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,TP_COTA,somente no arquivo_1,
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,TURNO,somente no arquivo_1,DS_TURNO/NU_ANO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,UF_CAMPUS,somente no arquivo_1,NO_CAMPUS/SG_UF_CAMPUS/CO_CAMPUS
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,UF_CANDIDATO,somente no arquivo_1,SG_UF_CANDIDATO/NU_NOTA_CANDIDATO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,UF_IES,somente no arquivo_1,NO_IES/SG_UF_IES/CO_IES
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CO_CAMPUS,somente no arquivo_2,UF_CAMPUS/CODIGO_CAMPUS/NOME_CAMPUS
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CO_ETAPA,somente no arquivo_2,ETAPA
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CO_IES,somente no arquivo_2,UF_IES
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CO_IES_CURSO,somente no arquivo_2,NOME_CURSO/CODIGO_CURSO
chamada_regular_sisu_2023_2.csv,ListagemChamadaRegular_2017-1.csv,CO_INSCRICAO_ENEM,somente no arquivo_2,INSCRICAO_ENEM
