business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category,Neighborhoods,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods
57552,Cafe Prague,424 Merchant St,San Francisco,CA,94111,37.795398,-122.400944,POINT (-122.400944 37.795398),,57552_20161116,11/16/2016 12:00:00 AM,70.0,Routine - Unscheduled,57552_20161116_103135,No person in charge of food facility,Low Risk,108.0,108.0,6.0,3.0,6.0
4900,HOME SERVICE MARKET,1700 HAYES St,San Francisco,CA,94117,37.774148,-122.444633,POINT (-122.444633 37.774148),,4900_20171116,11/16/2017 12:00:00 AM,94.0,Routine - Unscheduled,4900_20171116_103162,Other low risk violation,Low Risk,24.0,24.0,7.0,11.0,18.0
6660,Tuong Phong Market,628 Ellis St,San Francisco,CA,94102,37.784408,-122.416614,POINT (-122.416614 37.784408),,6660_20171214,12/14/2017 12:00:00 AM,86.0,Routine - Unscheduled,6660_20171214_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk,20.0,20.0,5.0,10.0,36.0
1042,LOVE 'N HAIGHT COFFEE & DELI,553 HAIGHT St,San Francisco,CA,94117,37.771964,-122.431336,POINT (-122.431336 37.771964),14155258190.0,1042_20171211,12/11/2017 12:00:00 AM,92.0,Routine - Unscheduled,1042_20171211_103131,Moderate risk vermin infestation,Moderate Risk,26.0,26.0,4.0,11.0,9.0
7243,CASA LUCAS #3,4555 MISSION St,San Francisco,CA,94112,37.725432,-122.434216,POINT (-122.434216 37.725432),,7243_20190220,02/20/2019 12:00:00 AM,75.0,Routine - Unscheduled,7243_20190220_103116,Inadequate food safety knowledge or lack of certified food safety manager,Moderate Risk,90.0,90.0,9.0,1.0,7.0
1154,SUNFLOWER RESTAURANT,506 Valencia St,San Francisco,CA,94103,37.764678,-122.421905,POINT (-122.421905 37.764678),14155625023.0,1154_20180110,01/10/2018 12:00:00 AM,81.0,Routine - Unscheduled,1154_20180110_103103,High risk food holding temperature,High Risk,37.0,37.0,3.0,5.0,20.0
59577,Pasta Moto of San Francisco Centre LLC,845 Market St FE6,San Francisco,CA,94103,37.784848,-122.406892,POINT (-122.406892 37.784848),,59577_20170427,04/27/2017 12:00:00 AM,77.0,Routine - Unscheduled,59577_20170427_103129,Insufficient hot water or running water,Moderate Risk,32.0,32.0,5.0,10.0,34.0
302,MOULIN ROUGE,887 GEARY St,San Francisco,CA,94109,37.786084,-122.417889,POINT (-122.417889 37.786084),,302_20170728,07/28/2017 12:00:00 AM,81.0,Routine - Unscheduled,302_20170728_103120,Moderate risk food holding temperature,Moderate Risk,20.0,20.0,6.0,10.0,36.0
1977,BURMA SUPERSTAR RESTAURANT,309 CLEMENT St,San Francisco,CA,94118,37.783004,-122.462539,POINT (-122.462539 37.783004),,1977_20170103,01/03/2017 12:00:00 AM,91.0,Routine - Unscheduled,1977_20170103_103154,Unclean or degraded floors walls or ceilings,Low Risk,5.0,5.0,8.0,4.0,11.0
83945,Z. Cioccolato,474 Columbus Ave,San Francisco,CA,94133,,,,,83945_20180228,02/28/2018 12:00:00 AM,96.0,Routine - Unscheduled,83945_20180228_103154,Unclean or degraded floors walls or ceilings,Low Risk,,,,,
7276,RADMAN'S PRODUCE MARKET,201D TURK St,San Francisco,CA,94102,37.782939,-122.412479,POINT (-122.412479 37.782939),,7276_20180323,03/23/2018 12:00:00 AM,91.0,Routine - Unscheduled,7276_20180323_103108,Contaminated or adulterated food,High Risk,20.0,20.0,5.0,10.0,36.0
3522,Bow Hon Restaurant,850 Grant Ave,San Francisco,CA,94108,37.794958,-122.406367,POINT (-122.406367 37.794958),,3522_20190109,01/09/2019 12:00:00 AM,,Reinspection/Followup,,,,104.0,104.0,6.0,3.0,6.0
