inspection_date,inspector,district,subdistrict,subsector,permit_number,dba,permit_type,street_address,street_address_clean,inspection_type,inspection_frequency_type,total_time,facility_rating_status,census,suspension_notes,inspection_notes,violation_count,violation_codes,latitude,longitude,point,analysis_neighborhood,supervisor_district,data_as_of,data_loaded_at
2025/05/14 12:00:00 AM,Rochelle Veloso,2,204,103,90114,SAN FRANCISCO MARRIOTT FISHERMAN'S WHARF,"H26 - RESTAURANT OVER 2,000 SQFT",1250 COLUMBUS AVE,1250 COLUMBUS AVE,Site Visit,2.0,40.0,,103,,,,,37.805670000001,-122.417734500002,POINT (-122.4177345 37.80567),North Beach,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/08 12:00:00 AM,Jesus Zapien,4,402,162,91276,A MANO,"H26 - RESTAURANT OVER 2,000 SQFT",450 HAYES ST,450 HAYES ST,Reinspection,2.0,45.0,Pass,162,,,3.0,"114115 (b,c) - Maintain nonfood contact surfaces clean. Thoroughly clean and degrease the cooking equipment and shelves above cooking equipment., 113984(d), 114097, 114099.1, 114099.4, 114099.6, 114101(b, c, d), 114105, 114109, 114111, 114113, 11415 (a, b, D), 114117, 114125(b), 114141 - Properly wash, rinse and sanitize all food contact surfaces. Make a 100 ppm bleach sanitizing solution or a 200 ppm quaternary ammonia solution for the third compartment., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature.",37.776813902395,-122.423776615996,POINT (-122.423776616 37.776813902),Hayes Valley,5.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/08 12:00:00 AM,John  Wells,2,208,123,118419,CANTOO LATIN ASIAN ROTISSERIE,"H25 - RESTAURANT 1,000 - 2,000 SQFT",572 OFARRELL ST,572 OFARRELL ST,Routine,2.0,60.0,Pass,123,,,6.0,"113980, 113984 (a, b, d, e, f), 113986, 114060, 114067 (a, d, e), 114069, 114073, 114077, 114089.1(c), 114143(c) - Ensure all food is separated and protected from potential cross contamination. Store produce and ready-to-eat foods completely separate or above raw foods including but not limited to raw eggs, fish, meat, ratites, game animals, and poultry. Provide adequate sneeze-guard protection, a container that has a tight fitting and securely attached lid, or dispense food from an approved mechanical dispenser., 114143(d), 114266, 114268, 114268.1, 114271, 114272 - Provide walls / ceilings using materials that are durable, smooth, nonabsorbent, light-colored, and washable surfaces. All floor surfaces, other than the customer service areas, shall be approved, smooth, durable, and made of nonabsorbent material that is easily cleanable. Approved base coving shall be provided in all areas, except customer service areas and where food is stored in original unopened containers. Food facilities shall be fully enclosed. All food facilities shall be kept clean and in good repair., 113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature., 114000 - Label all potentially hazardous foods for use with Time as a Public Health Control implementation with the date and discard time. The discard time shall be 4 hours after food preparation has begun or after removing from proper temperature controls of 41°F or 135°F. Discard potentially hazardous foods, under Time as a Public Health Control, when 4 hours have elapsed. Obtain written approval for Time as Public Health Control from San Francisco Environmental Health., 114135, 114185.1 114185.3 [d-e] - Store wiping cloths used to wipe service counters, scales, or other surfaces that may come into contact with food in clean water with sanitizer or use only once; separate sanitizing containers shall be provided for wiping cloths used with raw animal foods., 114047, 114049, 114051, 114053, 114055, 114069(b) - Elevate all food at least 6 inches off of the floor to prevent contamination. Properly label bulk ingredient/food containers with common name.",37.785816000001,-122.414139000002,POINT (-122.414139 37.785816),Tenderloin,5.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/12 12:00:00 AM,Sophia Huie,No District,No Sub District,No Sub Sector,105364,301 BATTERY LLC,"H26 - RESTAURANT OVER 2,000 SQFT",301 BATTERY ST FL 2ND,301 BATTERY ST,Routine,1.0,45.0,Pass,115,,,,,37.794294000001,-122.400796500002,POINT (-122.4007965 37.794294),Chinatown,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/15 12:00:00 AM,Jessica Jang,5,501,426,06744138,YZ KITCHEN LLC,"H25 - RESTAURANT 1,000 - 2,000 SQFT",2121 CLEMENT ST,2121 CLEMENT ST,New Ownership (I),2.0,90.0,Pass,426,,,,,37.781901000001,-122.482102500002,POINT (-122.4821025 37.781901),Outer Richmond,1.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/09 12:00:00 AM,Katie Dea,3,304,177,81643,OASIS,H86 - BARS/TAVERNS W/O FOOD PREP,298 11TH ST,298 11TH ST,Routine,1.0,90.0,Pass,177,,,6.0,"114067(h), 114123, 114143(a, b), 114256-114256.2, 114256.4, 114257-114257.1, 114259, 114259.2-114259.3, 114279, 114281, 114282 - Keep clean and free of litter or rubbish the premises of each food facility; non-food items shall be stored and displayed separate from food and food-contact surfaces; the facility shall be kept vermin proof; open-air barbecues shall be operated in an approved manner., 113947.1-113947.6, 113948 - Obtain a state approved food safety certification course within 60 days of operation or when a Food Safety Manager has left the facility. Maintain copies of food safety certificates (food safety manager and food handler cards) on site., 113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility., 114259, 114259.1, 114259.4, 114259.5 - Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects., 114171, 114189.1, 114190, 114192, 114193, 114193.1, 114199, 114201, 114269 - Protect the potable water supply with a backflow protection device, as required by applicable plumbing codes. All plumbing, plumbing fixtures, and grease interceptors shall be installed in compliance with local plumbing ordinances, shall be maintained so as to prevent any contamination, and shall be kept clean, fully operative, and in good repair. Any hose used for conveying potable water shall be of approved materials, labeled, properly stored, and used for no other purpose., 114381 [e], 114381(a), 114387 - Make available the most recent routine inspection report. Post the Health Permit to Operate and restaurant license certificate in a conspicuous area for public view.",37.771893000001,-122.414400000002,POINT (-122.4144 37.771893),Mission,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/13 12:00:00 AM,William Bajjalieh,5,505,352,90758,HOOK FISH COMPANY,"H24 - RESTAURANT UNDER 1,000 SQFT",4542 IRVING ST,4542 IRVING ST,Routine,2.0,60.0,Pass,352,,,,,37.762380000001,-122.506866000002,POINT (-122.506866 37.76238),Sunset/Parkside,4.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/14 12:00:00 AM,Mary Joanne Freitas,1,106,257,76615,TOPS CAFE,"H25 - RESTAURANT 1,000 - 2,000 SQFT",2460 SAN BRUNO AVE,2460 SAN BRUNO AVE,Routine,2.0,45.0,Pass,257,,,1.0,"113996, 113998, 114037, 114429, 114429.3, 114429.5 - Keep potentially hazardous foods (PHF) cold at 41°F or below or hot held at 135°F or above. Immediately discontinue storing PHF at room temperature.",37.730862000001,-122.405247000002,POINT (-122.405247 37.730862),Portola,9.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2025/05/07 12:00:00 AM,Sophia Huie,2,202,121,87548,EM DELI SF,H03 - RETAIL MKTS W/O PREP (UNDER 5001),714 POST STREET,714 POST STREET,Routine,1.0,45.0,Pass,121,,,4.0,"113953(c), 114163(a)(3), 114189, 114192.1, 114195, 114279 - Immediately provide hot running potable water of at least 120°F or greater for the entire food preparation facility., 114250, 114250.1, 114276 - Maintain toilet facilities clean, sanitary, and in good repair. Toilet rooms shall be separated by a well-fitting self-closing door. Toilet tissue shall be provided in a permanently installed dispenser at each toilet. The number of toilet facilities shall be in accordance with local building and plumbing ordinances. Toilet facilities shall be provided for patrons: in establishments where there is onsite consumption of food; with more than 20,000 sq ft.; establishments offering on-site liquor consumption., 114259, 114259.1, 114259.4, 114259.5 - Eliminate the infestation/activity of cockroaches/rodents/flies/vermin from the food facility by using only approved methods. Remove all evidence of the infestation and thoroughly clean and sanitize all affected surfaces. Construct, equip, maintain and operate the food facility so as to prevent the entrance and harborage of animals, birds and vermin including, but not limited to, rodents and insects., 113953, 113953.1, 113953.2, 114067(f) - Provide soap and single-use towels in dispensers, or a drying device at each handwash sink at all times. Maintain all handwash sinks unobstructed and accessible at all times.",37.787823000001,-122.413684500002,POINT (-122.4136845 37.787823),Nob Hill,3.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
2024/06/07 12:00:00 AM,Luz Brown,3,302,180,06734067,ANANDA FUARA KITCHENS,H07 - RETAIL MKTS W/FOOD PREP (UNDER 5001),475 6TH ST,475 6TH ST,New Ownership (I),1.0,75.0,Pass,180,,,,,37.776582000001,-122.402614500002,POINT (-122.4026145 37.776582),South of Market,6.0,2025/05/20 11:15:25 AM,2025/05/20 11:33:47 AM
