Coluna,Tipo
SURVYEAR,Inteiro
FIPST,Inteiro
STABR,String
SEANAME,String
STREET,String
CITY,String
STNAME,String
ZIP,Inteiro
ZIP4,Float
PHONE,String
PKTCH,String
KGTCH,String
ELMTCH,String
SECTCH,String
UGTCH,String
TOTTCH,String
AIDES,String
CORSUP,String
ELMGUI,String
SECGUI,String
TOTGUI,String
LIBSPE,String
LIBSUP,String
LEAADM,String
LEASUP,String
SCHADM,String
SCHSUP,String
STUSUP,String
OTHSUP,String
PK,String
KG,String
G01,String
G02,String
G03,String
G04,String
G05,String
G06,String
G07,String
G08,String
G09,String
G10,String
G11,String
G12,String
UG,String
MEMBER,String
REGDIP,String
OTHDIP,String
EQUIV,String
OTHCOM,String
AMPK,String
ASPK,String
HIPK,String
BLPK,String
WHPK,String
AMKG,String
ASKG,String
HIKG,String
BLKG,String
WHKG,String
AM01,String
AS01,String
HI01,String
BL01,String
WH01,String
AM02,String
AS02,String
HI02,String
BL02,String
WH02,String
AM03,String
AS03,String
HI03,String
BL03,String
WH03,String
AM04,String
AS04,String
HI04,String
BL04,String
WH04,String
AM05,String
AS05,String
HI05,String
BL05,String
WH05,String
AM06,String
AS06,String
HI06,String
BL06,String
WH06,String
AM07,String
AS07,String
HI07,String
BL07,String
WH07,String
AM08,String
AS08,String
HI08,String
BL08,String
WH08,String
AM09,String
AS09,String
HI09,String
BL09,String
WH09,String
AM10,String
AS10,String
HI10,String
BL10,String
WH10,String
AM11,String
AS11,String
HI11,String
BL11,String
WH11,String
AM12,String
AS12,String
HI12,String
BL12,String
WH12,String
AMUG,String
ASUG,String
HIUG,String
BLUG,String
WHUG,String
AM,String
AS,String
HI,String
BL,String
WH,String
AMREGDIP,String
ASREGDIP,String
HIREGDIP,String
BLREGDIP,String
WHREGDIP,String
AMODIP,String
ASODIP,String
HIODIP,String
BLODIP,String
WHODIP,String
AMEQUIV,String
ASEQUIV,String
HIEQUIV,String
BLEQUIV,String
WHEQUIV,String
AMOHC,String
ASOHC,String
HIOHC,String
BLOHC,String
WHOHC,String
IPKTCH,String
IKGTCH,String
IELMTCH,String
ISECTCH,String
IUGTCH,String
ITOTTCH,String
IAIDES,String
ICORSUP,String
IELMGUI,String
ISECGUI,String
ITOTGUI,String
ILIBSPE,String
ILIBSUP,String
ILEAADM,String
ILEASUP,String
ISCHADM,String
ISCHSUP,String
ISTUSUP,String
IOTHSUP,String
IPK,String
IKG,String
IG01,String
IG02,String
IG03,String
IG04,String
IG05,String
IG06,String
IG07,String
IG08,String
IG09,String
IG10,String
IG11,String
IG12,String
IUG,String
IMEMBER,String
