SURVYEAR,FIPST,STABR,SEANAME,STREET,CITY,STNAME,ZIP,ZIP4,PHONE,PKTCH,KGTCH,ELMTCH,SECTCH,UGTCH,TOTTCH,AIDES,CORSUP,ELMGUI,SECGUI,TOTGUI,LIBSPE,LIBSUP,LEAADM,LEASUP,SCHADM,SCHSUP,STUSUP,OTHSUP,PK,KG,G01,G02,G03,G04,G05,G06,G07,G08,G09,G10,G11,G12,UG,MEMBER,REGDIP,OTHDIP,EQUIV,OTHCOM,AMPK,ASPK,HIPK,BLPK,WHPK,AMKG,ASKG,HIKG,BLKG,WHKG,AM01,AS01,HI01,BL01,WH01,AM02,AS02,HI02,BL02,WH02,AM03,AS03,HI03,BL03,WH03,AM04,AS04,HI04,BL04,WH04,AM05,AS05,HI05,BL05,WH05,AM06,AS06,HI06,BL06,WH06,AM07,AS07,HI07,BL07,WH07,AM08,AS08,HI08,BL08,WH08,AM09,AS09,HI09,BL09,WH09,AM10,AS10,HI10,BL10,WH10,AM11,AS11,HI11,BL11,WH11,AM12,AS12,HI12,BL12,WH12,AMUG,ASUG,HIUG,BLUG,WHUG,AM,AS,HI,BL,WH,AMREGDIP,ASREGDIP,HIREGDIP,BLREGDIP,WHREGDIP,AMODIP,ASODIP,HIODIP,BLODIP,WHODIP,AMEQUIV,ASEQUIV,HIEQUIV,BLEQUIV,WHEQUIV,AMOHC,ASOHC,HIOHC,BLOHC,WHOHC,IPKTCH,IKGTCH,IELMTCH,ISECTCH,IUGTCH,ITOTTCH,IAIDES,ICORSUP,IELMGUI,ISECGUI,ITOTGUI,ILIBSPE,ILIBSUP,ILEAADM,ILEASUP,ISCHADM,ISCHSUP,ISTUSUP,IOTHSUP,IPK,IKG,IG01,IG02,IG03,IG04,IG05,IG06,IG07,IG08,IG09,IG10,IG11,IG12,IUG,IMEMBER
1999,1,AL,DEPARTMENT OF EDUCATION,"50 N RIPLEY ST, ROOM 5327",MONTGOMERY,ALABAMA,36130,-3901.0,(334) 242-9590,561,3442,23913,20708,N,48624,6270,467,884,817,1701,1294,398,1189,1265,3047,2181,1123,20933,10548,56120,61517,59203,60033,60012,58381,57703,58969,56201,61150,52304,46015,42576,N,740732,36244,N,2807,3610,M,M,M,M,M,179,378,1011,20530,33932,254,368,919,23520,36357,277,431,848,22180,35428,339,380,733,22489,36066,376,385,687,21990,36536,382,399,673,21068,35840,407,402,597,20758,35448,428,380,575,21146,36415,464,389,489,19610,35225,504,476,503,22800,36818,540,399,395,18896,32048,474,403,312,15618,29191,517,406,254,14773,26615,N,N,N,N,N,5141,5196,7996,265378,445919,663,241,163,11496,23681,N,N,N,N,N,M,M,M,M,M,39,16,30,2079,1446,I,R,R,R,R,T,R,R,R,R,R,R,R,R,R,R,R,R,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,T
1999,8,CO,DEPARTMENT OF EDUCATION,"201 EAST COLFAX AVE, ROOM",DENVER,COLORADO,80203,-1799.0,(303) 866-6838,317,1253,19063,20139,N,40772,8842,749,229,982,1211,729,772,898,2307,1924,3491,2806,15171,12857,50378,55171,55855,55883,56154,55156,54957,54856,54599,58710,52548,47725,41999,1261,708109,36958,N,3366,243,157,353,4052,888,7407,688,1433,12653,2970,32634,739,1433,13659,3428,35912,767,1525,13155,3454,36954,699,1508,12782,3335,37559,655,1460,12311,3466,38262,647,1571,11534,3183,38221,630,1595,11411,3146,38175,607,1400,10962,2975,38912,611,1518,10456,2948,39066,631,1566,11696,3228,41589,547,1601,9233,2627,38540,446,1420,7504,2438,35917,375,1403,5673,2034,32514,59,6,366,36,794,8258,19792,147447,40156,492456,272,1070,4973,1609,29034,N,N,N,N,N,70,70,710,157,2359,1,4,48,2,188,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,38,ND,DEPARTMENT OF PUBLIC INSTRUCTI,600 E BOULEVARD AVE,BISMARK,NORTH_DAKOTA,58505,-440.0,(701) 328-4886,89,278,4495,3288,N,8150,1743,94,152,119,271,192,202,464,170,407,326,474,2639,647,7560,7999,7895,8040,8135,8343,8523,8689,9137,9677,9395,9405,9306,N,112751,8388,N,1629,M,46,6,17,11,567,613,59,111,103,6674,689,67,153,106,6984,698,66,127,99,6905,700,70,126,108,7036,649,64,118,95,7209,641,55,112,83,7452,661,80,111,82,7589,709,72,110,64,7734,678,72,86,68,8233,781,71,126,58,8641,636,74,93,62,8530,563,51,76,60,8655,502,51,75,59,8619,N,N,N,N,N,8566,858,1441,1058,100828,323,57,55,47,7906,N,N,N,N,N,591,12,47,35,944,M,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,17,IL,IILINOIS STATE BOARD OF EDUC,100 N. FIRST STREET,SPRINGFIELD,ILLINOIS,62777,-1.0,(217) 782-4313,1480,4905,68700,31030,18700,124815,29664,2067,983,1914,2897,1962,2258,3727,6862,5681,9525,7735,47345,58604,149840,162324,158998,164982,158444,155168,153710,148459,149397,164554,145536,126866,126984,3734,2027600,112556,N,M,M,71,1749,12278,17126,27380,180,4441,27137,32741,85341,256,4787,28497,38982,89802,196,4793,26670,36245,91094,210,4899,26242,40267,93364,245,4871,23797,34328,95203,282,5028,22443,33231,94184,221,4999,22110,31807,94573,223,4802,20107,29819,93508,247,5041,19795,29394,94920,303,5255,22574,34968,101454,263,5324,17786,27416,94747,216,4940,13366,20841,87503,194,5010,12707,23397,85676,5,24,387,2124,1194,3112,65963,295896,432686,1229943,165,4731,10467,16964,80229,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,R,R,R,R,R,R,I,R,R,R,R,R,I,R,I,R,I,R,I,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,50,VT,DEPARTMENT OF EDUCATION,120 STATE STREET,MONTPELIER,VERMONT,5620,-2501.0,(802) 828-3151,72,301,2892,3280,1929,8474,3770,280,165,205,370,220,211,146,325,407,556,672,1977,2491,6893,7273,7462,7772,7965,8168,8035,8040,8177,8748,8356,7795,7014,370,104559,6521,N,M,20,5,34,18,33,2401,12,87,27,70,6697,36,104,40,102,6991,34,74,47,93,7214,41,71,43,88,7529,46,94,48,98,7679,62,68,36,94,7908,44,91,34,88,7778,30,78,32,60,7840,44,81,41,76,7935,58,93,37,63,8497,43,98,43,55,8117,50,119,51,61,7514,43,93,34,42,6802,6,6,2,1,355,554,1191,533,1024,101257,M,M,M,M,M,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,59,DC,"US DEPARTMENT OF INTERIOR, BIA","1849 C STREET, ROOM 3512-",WASHINGTON,BUREAU_OF_INDIAN_AFFAIRS,20240,,(202) 208-5810,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,4614,4418,4412,4172,4134,4158,3975,3876,3691,4001,3238,2422,1965,N,49076,N,N,M,N,N,N,N,N,N,4614,N,N,N,N,4418,N,N,N,N,4412,N,N,N,N,4172,N,N,N,N,4134,N,N,N,N,4158,N,N,N,N,3975,N,N,N,N,3876,N,N,N,N,3691,N,N,N,N,4001,N,N,N,N,3238,N,N,N,N,2422,N,N,N,N,1965,N,N,N,N,N,N,N,N,N,49076,N,N,N,N,N,N,N,N,N,N,N,N,N,N,M,M,M,M,M,N,N,N,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,72,PR,DEPARTMENT OF EDUCATION,"OFFICE 500, 5TH FLOOR",SAN JUAN,PUERTO_RICO,919,-759.0,(809) -75-9-20,72,1197,20601,15952,3527,41349,218,395,389,518,907,981,200,1500,219,1424,4244,2635,17819,619,43261,51589,48094,46939,49835,50331,47470,49789,45842,43438,43885,38037,34428,19462,613019,30479,N,15978,M,0,0,619,0,0,0,0,43261,0,0,0,0,51589,0,0,0,0,48094,0,0,0,0,46939,0,0,0,0,49835,0,0,0,0,50331,0,0,0,0,47470,0,0,0,0,49789,0,0,0,0,45842,0,0,0,0,43438,0,0,0,0,43885,0,0,0,0,38037,0,0,0,0,34428,0,0,N,N,19462,N,N,0,0,613019,0,0,0,0,30479,0,0,N,N,N,N,N,M,M,15978,M,M,N,N,M,N,N,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,29,MO,DEPT. OF ELEM. & SEC. EDUCATIO,PO BOX 480,JEFFERSON CITY,MISSOURI,65102,-480.0,(573) 751-2569,1198,3186,28087,30661,758,63890,10131,783,1062,1526,2588,1566,835,1170,7636,2920,3561,3709,18287,18181,64608,68807,71642,70898,70359,69386,68862,69354,69850,75791,68523,62280,56213,9356,914110,52531,N,5221,M,61,200,371,3419,14130,213,746,1331,11540,50778,239,719,1393,13548,52908,292,771,1348,13643,55588,222,789,1255,13521,55111,248,763,1216,12431,55701,229,731,1108,11865,55453,246,767,1117,11446,55286,206,713,1035,11206,56194,233,743,938,10610,57326,194,804,1077,12963,60860,191,809,846,10734,56039,177,776,726,8506,52183,141,877,727,7376,47239,93,54,47,5445,3717,2985,10262,14535,158253,728513,104,667,587,6687,44486,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,R,R,R,R,R,R,R,R,R,R,R,R,C,R,R,R,C,R,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,53,WA,WA STATE DEPT OF EDUCATION,PO BOX 47200,OLYMPIA,WASHINGTON,98504,-7200.0,(360) 753-1701,37,1991,23467,20424,4449,50368,10031,779,371,1537,1908,1318,846,1117,2360,2662,4053,2967,17624,6134,68699,75988,77383,77993,79257,77928,76893,76932,77543,86602,80493,73383,68486,N,1003714,55418,N,5013,N,260,318,1088,481,3987,1748,4916,9137,3931,48967,2055,5382,9676,4396,54479,2267,5350,9047,4375,56344,2182,5448,8347,4379,57637,2277,5466,7903,4130,59481,2322,5436,7485,4079,58606,2157,5467,7057,3980,58232,2187,5281,6861,3915,58688,2185,5363,6432,3792,59771,2524,6099,7472,4307,66200,2115,6056,6368,3777,62177,1693,5784,5054,3262,57590,1533,5567,4332,2993,54061,N,N,N,N,N,27505,71933,96259,51797,756220,M,M,M,M,M,N,N,N,N,N,M,M,M,M,M,M,M,M,M,M,R,R,R,R,R,R,R,C,R,R,R,R,R,R,R,R,R,C,A,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
1999,16,ID,IDAHO DEPARTMENT OF EDUCATION,PO BOX 83720,BOISE,IDAHO,83720,-27.0,(208) -33-2-68,98,479,6383,6681,N,13641,2497,262,208,370,578,194,245,118,523,714,766,457,4197,2158,17024,18400,18437,18618,19125,18719,18909,18827,18589,20038,19791,18674,17811,16,245136,15716,N,M,31,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,N,N,N,N,N,3139,2919,25034,1811,212233,119,197,865,58,14477,N,N,N,N,N,M,M,M,M,M,0,1,1,0,29,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R
