Year,Town,Net Investment In Capital Assets,Unrestricted Net Position,Total Net Position,Change In Net Position,Nonspendable Fund Balance,Restricted Fund Balance,Committed Fund Balance,Assigned Fund Balance,Total Fund Balance,Unassigned Fund Balance,Unrestricted Fund Balance,Restatement Fund Balance Flag,Inter Gov Revenue,Tax Revenue,Total Revenue,Education,Annual Debt Service,Total Expenditures,Total Transfers In,Other Financing Sources,Total Trans To General Fund,Other Financing Uses,Operating Surplus Deficit Including Transactions,Previous Year Operating Surplus Def Including Transactions,Operating Surplus Deficit Including Sources and Uses,Special Or Extraordinary Items,Large Deficit Indicator Entprise Fund,Large Deficit Indicator Internal Service Fund,Regional School District (RSD) Debt,Town Bonded Long Term Debt,Total Bonded Long-Term Debt,Net Pension Liability,Current Year Adjusted Taxes Collectible,Current Year Taxes Collected,Property Tax Collection Rate (current Year),Total Adjusted Taxes Collectible,Total Taxes Collected,Overall Tot Tax Colleton Rate,Population,Area Limit,Net Grand List,EGL,RPA Identifier,Deficit Bonds,10-Year Scheduled Repayment Principal Amount,Total Net OPEB Liability
2019,SUFFIELD,97465042,-358330,98970210,1202059,0,0,0,544744,8246097,7701353,8246097,False,18674066,41343705,63331984,41380658,3206275,60083363,248719,248719,248719,5229128,-1731788,290497,-1731788,0,0,-1196012,0,17240372,17240372,10855954,41268035,40794135,0.9885,42190990,41125622,0.9747,15814,42.26,1406135346,2099279393.0,Capitol,False,0,5377298
2019,CORNWALL,6059721,3673369,9784236,294480,12595,0,0,429883,2514329,2071851,2501734,False,474674,6716736,7436921,4159044,360873,6482046,0,0,0,595000,359875,-67465,359875,0,0,0,818644,2040000,2858644,0,6498899,6438949,0.9908,6872842,6577613,0.957,1362,46.06,389809200,565972391.4,Northwest Hills,False,0,0
2019,ROCKY HILL,52282953,-18186214,34167599,4952056,0,0,0,668386,5786109,5117723,5786109,False,8868613,68994399,80492777,44999956,6040679,80341032,0,0,0,499643,-347898,-50648,-347898,0,0,0,0,48002357,48002357,4165076,68372340,68009821,0.9947,69310566,68754519,0.992,20115,13.45,2094054395,3102901837.0,Capitol,False,0,18731797
2019,COLUMBIA,15381893,5141971,20882642,637988,40425,0,0,572000,4318636,3706211,4278211,False,4029361,14314879,18791031,13661767,166750,17546733,13022,13022,13022,836646,420674,85895,420674,0,0,0,0,475438,475438,0,14353081,14182969,0.9881,14516983,14224366,0.9798,5379,21.37,487126160,742444901.6,Capitol,False,0,540372
2019,TRUMBULL,147891644,-82879722,65070729,14465550,0,0,195296,2153754,25923059,23574009,25923059,False,14867187,157930156,181756789,117843291,11894440,180891780,980257,1024621,980257,0,1845266,1872954,1889630,0,0,-412707,0,89854580,89854580,66800812,158197679,155834733,0.9851,160490909,157346553,0.9804,35673,23.32,4649669046,6823143797.0,Greater Bridgeport,False,0,28724830
2019,WINDHAM,66160740,-25668747,43617277,-2038469,133941,387561,0,0,7388832,6867330,6867330,False,34365571,39823919,77218628,51586668,2461572,76930697,322713,322713,322713,318886,291758,-2383953,291758,0,0,-967738,0,11198800,11198800,8306472,39049727,38700171,0.991,40024932,39203998,0.9795,24561,26.97,893208537,1415621220.0,Southeastern CT,False,0,10908086
2019,WOLCOTT,48705693,-28790341,23164891,1413412,545218,0,0,711051,6696554,5440285,6151336,False,19425893,40331171,60585310,40809287,4966292,61361382,1200917,1576975,1200917,65000,359845,759069,735903,0,0,0,0,37968474,37968474,11815176,40161925,39257252,0.9775,41753761,39911329,0.9559,16587,20.44,1234450029,1835063728.0,Naugatuck Valley,False,0,28055489
2019,FAIRFIELD,320783000,-114270000,224823000,14816000,0,0,0,1324000,36012000,34688000,36012000,False,32629000,284491000,336838000,201656000,24873000,330726000,734000,734000,734000,5485000,1361000,5193000,1361000,0,0,0,0,179008000,179008000,61792000,285677000,282288000,0.9881,294154000,284013000,0.9655,62045,29.9,10866237887,16468486024.0,Greater Bridgeport,False,0,110043000
2019,OLD LYME,19854187,14420731,34274918,1930066,1048112,0,0,1253143,11309944,9008689,10261832,False,566406,34913298,36689318,26343259,348376,34857935,38400,38779,38400,1131000,738783,626481,739162,0,0,0,19527513,1815000,21342513,0,34751872,34354838,0.9886,35385731,34702581,0.9807,7306,23.02,1581760454,2311940149.0,Lower CT River Valley,False,0,0
2019,GROTON (City of),17575130,8837628,26472758,-592520,25926,0,213363,800000,6674075,5634786,6648149,False,118489,5290265,12219679,0,383706,14565203,4086140,4086140,4086140,740323,1000293,793936,1000293,0,0,0,0,2905000,2905000,2974674,5234807,5204339,0.9942,5300218,5252858,0.9911,0,0.0,0,0.0,,False,0,4613628
