arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Education,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,EGL,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Other_Financing_Sources,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Other_Financing_Uses,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Population,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,RPA Identifier,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Total_Adjusted_Taxes_Collectible,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Total_Expenditures,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Total_Revenue,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Total_Taxes_Collected,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,TOWN_Bonded_Long_Term_Debt,presente em ambos arquivos,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,ACGLFY,somente no arquivo_1,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,ACMR,somente no arquivo_1,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,area lmt,somente no arquivo_1,Area Limit
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Change In Net Assets,somente no arquivo_1,Change In Net Position
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Comptroller Town Code,somente no arquivo_1,Town
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,County_Identifier,somente no arquivo_1,
Municipal_Fiscal_Indicators__2012.csv,Municipal_Fiscal_Indicators__2019.csv,Curr_Year_Adjusted_Taxes_Collectible,somente no arquivo_1,Current Year Taxes Collected/Current Year Adjusted Taxes Collectible/Year
