Agency Number - Agency Name,Agency Contract No.,Agency Contract Amendment No.,"Contractor Name
(Search for Vendor)",Contractor Name D/B/A (Optional),Statewide Vendor Number (Optional),Purpose of the Contract,Purpose of the Contract Description (Optional),Contract Effective Start Date,Contract Effective End Date,Period of Performance Start Date,Period of Performance End Date,Federal Amount,State Amount,Other Amount,Cost of Contract,Explanation of Costs (Optional),Contract Modifications,Procurement Type,Non-Financial Contract Yes/No (Optional),Minority/Woman Owned,Small Business,Veteran
085 - Office of the Secretary of State,6691,6691,Ferry County Auditor,,,EY - Software Licenses and Maintenance,,12/05/2019 12:00:00 AM,,12/05/2019 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7124,7124,Skamania County Auditor,,,EB - Communications/Telecommunications,,04/20/2021 12:00:00 AM,2026-06-30T00:00:00.000,04/20/2021 12:00:00 AM,2026-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7127,7127,Thurston County Auditor,,,EB - Communications/Telecommunications,,05/03/2021 12:00:00 AM,2026-06-30T00:00:00.000,05/03/2021 12:00:00 AM,2026-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6941,6941,Lincoln County Auditor,,,NZ - Other Grants and Benefits,,05/22/2020 12:00:00 AM,2024-09-30T00:00:00.000,05/22/2020 12:00:00 AM,2024-09-30T00:00:00.000,$   - 0,$   - 0,$   - 0,$   - 0,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,4480,4480,Innovative Interfaces Incorp,,,ER - Other Contractual Services,,06/05/1995 12:00:00 AM,,06/05/1995 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,,Sole Source,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6971,6971-5,Microsoft Corporation,,,ER - Other Contractual Services,,06/15/2023 12:00:00 AM,2024-06-14T00:00:00.000,06/15/2023 12:00:00 AM,2024-06-14T00:00:00.000,$   - 0,"$   267,930.00",$   - 0,"$   267,930.00",,Master Contract,Master Contract,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6859,6859,Skagit County Auditor,,,ER - Other Contractual Services,,06/01/2020 12:00:00 AM,,06/01/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,6683,6683,Asotin County Auditor,,,EY - Software Licenses and Maintenance,,03/13/2020 12:00:00 AM,,03/13/2020 12:00:00 AM,,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
085 - Office of the Secretary of State,7642,7642-1,Kitsap Regional Library Foundat,,,ER - Other Contractual Services,,10/28/2022 12:00:00 AM,2024-06-30T00:00:00.000,10/28/2022 12:00:00 AM,2024-06-30T00:00:00.000,$   - 0,$   - 0,$   - 0,,,Interlocal Agreement,Interlocal Agreement,,Not Certified,Not Certified,Not Certified
075 - Office of the Governor,K422,K422,"TRIO Northwest Business Solutions, Inc.",Trio Group,T000196959,CZ - Other Professional Services,PDF Content Creation & Accessibility (Equity),05/22/2023 12:00:00 AM,2023-12-15T00:00:00.000,05/22/2023 12:00:00 AM,2023-06-30T00:00:00.000,$   - 0,"$   40,000.00",$   - 0,"$   40,000.00",Direct Buy,,Direct Buy - Non-Competitive,No,Not Certified,Y,Not Certified
