Coluna,Tipo
DT_GERACAO,Data
HH_GERACAO,Hora
ANO_ELEICAO,Inteiro
CD_TIPO_ELEICAO,Inteiro
NM_TIPO_ELEICAO,String
NR_TURNO,Inteiro
CD_ELEICAO,Inteiro
DS_ELEICAO,String
DT_ELEICAO,Data
TP_ABRANGENCIA,String
SG_UF,String
SG_UE,String
NM_UE,String
CD_CARGO,Inteiro
DS_CARGO,String
SQ_CANDIDATO,Inteiro
NR_CANDIDATO,Inteiro
NM_CANDIDATO,String
NM_URNA_CANDIDATO,String
NM_SOCIAL_CANDIDATO,String
NR_CPF_CANDIDATO,Inteiro
NM_EMAIL,String
CD_SITUACAO_CANDIDATURA,Inteiro
DS_SITUACAO_CANDIDATURA,String
CD_DETALHE_SITUACAO_CAND,Inteiro
DS_DETALHE_SITUACAO_CAND,String
TP_AGREMIACAO,String
NR_PARTIDO,Inteiro
SG_PARTIDO,String
NM_PARTIDO,String
SQ_COLIGACAO,Inteiro
NM_COLIGACAO,String
DS_COMPOSICAO_COLIGACAO,String
CD_NACIONALIDADE,Inteiro
DS_NACIONALIDADE,String
SG_UF_NASCIMENTO,String
CD_MUNICIPIO_NASCIMENTO,Inteiro
NM_MUNICIPIO_NASCIMENTO,String
DT_NASCIMENTO,Data
NR_IDADE_DATA_POSSE,Inteiro
NR_TITULO_ELEITORAL_CANDIDATO,Inteiro
CD_GENERO,Inteiro
DS_GENERO,String
CD_GRAU_INSTRUCAO,Inteiro
DS_GRAU_INSTRUCAO,String
CD_ESTADO_CIVIL,Inteiro
DS_ESTADO_CIVIL,String
CD_COR_RACA,Inteiro
DS_COR_RACA,String
CD_OCUPACAO,Inteiro
DS_OCUPACAO,String
VR_DESPESA_MAX_CAMPANHA,Inteiro
CD_SIT_TOT_TURNO,Inteiro
DS_SIT_TOT_TURNO,String
ST_REELEICAO,String
ST_DECLARAR_BENS,String
NR_PROTOCOLO_CANDIDATURA,Inteiro
NR_PROCESSO,Inteiro
CD_SITUACAO_CANDIDATO_PLEITO,Inteiro
DS_SITUACAO_CANDIDATO_PLEITO,String
CD_SITUACAO_CANDIDATO_URNA,Inteiro
DS_SITUACAO_CANDIDATO_URNA,String
ST_CANDIDATO_INSERIDO_URNA,String
