Coluna,Tipo
DT_GERACAO,Data
HH_GERACAO,Hora
ANO_ELEICAO,Inteiro
CD_TIPO_ELEICAO,Inteiro
NM_TIPO_ELEICAO,String
NR_TURNO,Inteiro
CD_ELEICAO,Inteiro
DS_ELEICAO,String
DT_ELEICAO,Data
TP_ABRANGENCIA,String
SG_UF,String
SG_UE,Inteiro
NM_UE,String
CD_CARGO,Inteiro
DS_CARGO,String
SQ_CANDIDATO,Inteiro
NR_CANDIDATO,Inteiro
NM_CANDIDATO,String
NM_URNA_CANDIDATO,String
NM_SOCIAL_CANDIDATO,String
NR_CPF_CANDIDATO,Inteiro
DS_EMAIL,String
CD_SITUACAO_CANDIDATURA,Inteiro
DS_SITUACAO_CANDIDATURA,String
TP_AGREMIACAO,String
NR_PARTIDO,Inteiro
SG_PARTIDO,String
NM_PARTIDO,String
NR_FEDERACAO,Inteiro
NM_FEDERACAO,String
SG_FEDERACAO,String
DS_COMPOSICAO_FEDERACAO,String
SQ_COLIGACAO,Inteiro
NM_COLIGACAO,String
DS_COMPOSICAO_COLIGACAO,String
SG_UF_NASCIMENTO,String
DT_NASCIMENTO,Data
NR_TITULO_ELEITORAL_CANDIDATO,Inteiro
CD_GENERO,Inteiro
DS_GENERO,String
CD_GRAU_INSTRUCAO,Inteiro
DS_GRAU_INSTRUCAO,String
CD_ESTADO_CIVIL,Inteiro
DS_ESTADO_CIVIL,String
CD_COR_RACA,Inteiro
DS_COR_RACA,String
CD_OCUPACAO,Inteiro
DS_OCUPACAO,String
CD_SIT_TOT_TURNO,Inteiro
DS_SIT_TOT_TURNO,String
