Coluna,Tipo
ANO,Inteiro
EDICAO,Inteiro
ETAPA,Inteiro
DS_ETAPA,String
CODIGO_IES,Inteiro
NOME_IES,String
SIGLA_IES,String
UF_IES,String
CODIGO_CAMPUS,Inteiro
NOME_CAMPUS,String
UF_CAMPUS,String
MUNICIPIO_CAMPUS,String
CODIGO_CURSO,Inteiro
NOME_CURSO,String
GRAU,String
TURNO,String
DS_PERIODICIDADE,String
TP_COTA,String
TIPO_MOD_CONCORRENCIA,String
MOD_CONCORRENCIA,String
QT_VAGAS_CONCORRENCIA,Inteiro
PERCENTUAL_BONUS,Float
PESO_L,Inteiro
PESO_CH,Inteiro
PESO_CN,Inteiro
PESO_M,Inteiro
PESO_R,Inteiro
NOTA_MINIMA_L,String
NOTA_MINIMA_CH,String
NOTA_MINIMA_CN,String
NOTA_MINIMA_M,String
NOTA_MINIMA_R,Inteiro
MEDIA_MINIMA,String
CPF,String
INSCRICAO_ENEM,String
INSCRITO,String
SEXO,String
DT_NASCIMENTO,Inteiro
UF_CANDIDATO,String
MUNICIPIO_CANDIDATO,String
OPCAO,Inteiro
NOTA_L,String
NOTA_CH,String
NOTA_CN,String
NOTA_M,String
NOTA_R,Inteiro
NOTA_L_COM_PESO,String
NOTA_CH_COM_PESO,String
NOTA_CN_COM_PESO,String
NOTA_M_COM_PESO,String
NOTA_R_COM_PESO,Inteiro
NOTA_CANDIDATO,String
NOTA_CORTE,String
CLASSIFICACAO,Float
APROVADO,String
MATRICULA,String
