Coluna,Tipo
NU_ANO,Inteiro
NU_EDICAO,Inteiro
CO_ETAPA,Inteiro
DS_ETAPA,String
CO_IES,Inteiro
NO_IES,String
SIGLA_IES,String
SG_UF_IES,String
CO_CAMPUS,Inteiro
NO_CAMPUS,String
SG_UF_CAMPUS,String
NO_MUNUCIPIO_CAMPUS,String
CO_IES_CURSO,Inteiro
NO_CURSO,String
DS_GRAU,String
DS_TURNO,String
TP_MOD_CONCORRENCIA,String
DS_MOD_CONCORRENCIA,String
NU_PERCENTUAL_BONUS,Float
NU_PESO_L,Inteiro
NU_PESO_CH,Inteiro
NU_PESO_CN,String
NU_PESO_M,String
NU_PESO_R,Inteiro
NOTA_MINIMA_L,String
NOTA_MINIMA_CH,String
NOTA_MINIMA_CN,String
NOTA_MINIMA_M,String
NOTA_MINIMA_R,String
MEDIA_MINIMA,String
NU_CPF,String
CO_INSCRICAO_ENEM,String
NO_INSCRITO,String
TP_SEXO,String
DT_NASCIMENTO,String
SG_UF_CANDIDATO,String
MUNICIPIO_CANDIDATO,String
ST_OPCAO,Inteiro
NU_NOTA_L,String
NU_NOTA_CH,String
NU_NOTA_CN,String
NU_NOTA_M,String
NU_NOTA_R,Inteiro
NOTA_L_COM_PESO,String
NOTA_CH_COM_PESO,String
NOTA_CN_COM_PESO,String
NOTA_M_COM_PESO,String
NOTA_R_COM_PESO,Inteiro
NU_NOTA_CANDIDATO,String
NU_NOTACORTE,String
NU_CLASSIFICACAO,Inteiro
ST_APROVADO,String
