arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,DS_ETAPA,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,DT_NASCIMENTO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,MEDIA_MINIMA,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,MUNICIPIO_CANDIDATO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_CH_COM_PESO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_CN_COM_PESO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_L_COM_PESO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_M_COM_PESO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_MINIMA_CH,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_MINIMA_CN,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_MINIMA_L,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_MINIMA_M,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_MINIMA_R,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NOTA_R_COM_PESO,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,SIGLA_IES,presente em ambos arquivos,
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,CO_CAMPUS,somente no arquivo_1,UF_CAMPUS/CODIGO_CAMPUS/NOME_CAMPUS
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,CO_ETAPA,somente no arquivo_1,ETAPA
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,CO_IES,somente no arquivo_1,UF_IES
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,CO_IES_CURSO,somente no arquivo_1,NOME_CURSO/CODIGO_CURSO
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,CO_INSCRICAO_ENEM,somente no arquivo_1,INSCRICAO_ENEM
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,DS_GRAU,somente no arquivo_1,GRAU
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,DS_MOD_CONCORRENCIA,somente no arquivo_1,MOD_CONCORRENCIA/TIPO_MOD_CONCORRENCIA/QT_VAGAS_CONCORRENCIA
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,DS_TURNO,somente no arquivo_1,TURNO
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NO_CAMPUS,somente no arquivo_1,UF_CAMPUS/NOTA_M/NOME_CAMPUS
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NO_CURSO,somente no arquivo_1,NOME_CURSO
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NO_IES,somente no arquivo_1,NOME_IES/UF_IES
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NO_INSCRITO,somente no arquivo_1,INSCRITO
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NO_MUNUCIPIO_CAMPUS,somente no arquivo_1,MUNICIPIO_CAMPUS/CODIGO_CAMPUS/NOME_CAMPUS
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NU_ANO,somente no arquivo_1,TURNO/ANO
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NU_CLASSIFICACAO,somente no arquivo_1,CLASSIFICACAO
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NU_CPF,somente no arquivo_1,CPF
ListagemListaEspera_2017-1.csv,lista_de_espera_sisu_2023_2.csv,NU_EDICAO,somente no arquivo_1,EDICAO
