Coluna,Tipo
nu_ano,Inteiro
nu_edicao,Inteiro
ds_etapa,String
cod_ies,Inteiro
ies,String
sigla_ies,String
uf_ies,String
cod_campus,Inteiro
campus,String
uf_campus,String
municipio_campus,String
codigo_curso,Inteiro
nome_curso,String
grau,String
turno,String
tp_modalidade,String
ds_modalidade,String
qt_bonus_perc,String
nu_peso_l,String
nu_peso_ch,String
nu_peso_cn,String
nu_peso_m,String
nu_peso_r,String
nota_minima_l,String
nota_minima_ch,String
nota_minima_cn,String
nota_minima_m,String
nota_minima_r,String
media_minima,String
cpf,String
co_inscricao_enem,String
no_inscrito,String
tp_sexo,String
dt_nascimento,Inteiro
uf_origem,String
municipio_candidato,String
st_opcao,Inteiro
nu_nota_l,String
nu_nota_ch,String
nu_nota_cn,String
nu_nota_m,String
nu_nota_r,String
nota_l_com_peso,String
nota_ch_com_peso,String
nota_cn_com_peso,String
nota_m_com_peso,String
nota_r_com_peso,String
nota_concorrencia,String
nu_notacorte,String
nu_classificacao,Float
st_aprovado,String
st_matricula,String
ds_matricula,String
