Coluna,Tipo
inspection_date,String
inspector,String
district,String
subdistrict,String
subsector,String
permit_number,String
dba,String
permit_type,String
street_address,String
street_address_clean,String
inspection_type,String
inspection_frequency_type,Float
total_time,Float
facility_rating_status,String
census,String
suspension_notes,Float
inspection_notes,Float
violation_count,Float
violation_codes,String
latitude,Float
longitude,Float
point,String
analysis_neighborhood,String
supervisor_district,Float
data_as_of,String
data_loaded_at,String
