arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,inspection_date,presente em ambos arquivos,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,inspection_type,presente em ambos arquivos,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,Analysis Neighborhoods,somente no arquivo_1,analysis_neighborhood
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_address,somente no arquivo_1,street_address
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_city,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_id,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_latitude,somente no arquivo_1,latitude
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_location,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_longitude,somente no arquivo_1,longitude
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_name,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_phone_number,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_postal_code,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,business_state,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,Current Police Districts,somente no arquivo_1,district
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,Current Supervisor Districts,somente no arquivo_1,district/supervisor_district
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,inspection_id,somente no arquivo_1,inspection_notes/inspector
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,inspection_score,somente no arquivo_1,inspection_notes/inspector
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,Neighborhoods,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,risk_category,somente no arquivo_1,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,SF Find Neighborhoods,somente no arquivo_1,analysis_neighborhood
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,violation_description,somente no arquivo_1,violation_count/violation_codes
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,violation_id,somente no arquivo_1,violation_count/violation_codes
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,analysis_neighborhood,somente no arquivo_2,SF Find Neighborhoods/Analysis Neighborhoods/Neighborhoods
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,census,somente no arquivo_2,
Health_Inspection_Scores__2016-2019_.csv,Health_Inspection_Scores__2024-Present_.csv,data_as_of,somente no arquivo_2,
