arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
st111a.xls,st861b.xls,CITY,presente em ambos arquivos,
st111a.xls,st861b.xls,PHONE,presente em ambos arquivos,
st111a.xls,st861b.xls,SEANAME,presente em ambos arquivos,
st111a.xls,st861b.xls,STABR,presente em ambos arquivos,
st111a.xls,st861b.xls,STREET,presente em ambos arquivos,
st111a.xls,st861b.xls,SURVYEAR,presente em ambos arquivos,
st111a.xls,st861b.xls,ZIP,presente em ambos arquivos,
st111a.xls,st861b.xls,AIDES,somente no arquivo_1,Instructional Aides
st111a.xls,st861b.xls,AM01F,somente no arquivo_1,
st111a.xls,st861b.xls,AM01M,somente no arquivo_1,
st111a.xls,st861b.xls,AM02F,somente no arquivo_1,
st111a.xls,st861b.xls,AM02M,somente no arquivo_1,
st111a.xls,st861b.xls,AM03F,somente no arquivo_1,
st111a.xls,st861b.xls,AM03M,somente no arquivo_1,
st111a.xls,st861b.xls,AM04F,somente no arquivo_1,
st111a.xls,st861b.xls,AM04M,somente no arquivo_1,
st111a.xls,st861b.xls,AM05F,somente no arquivo_1,
st111a.xls,st861b.xls,AM05M,somente no arquivo_1,
st111a.xls,st861b.xls,AM06F,somente no arquivo_1,
st111a.xls,st861b.xls,AM06M,somente no arquivo_1,
st111a.xls,st861b.xls,AM07F,somente no arquivo_1,
st111a.xls,st861b.xls,AM07M,somente no arquivo_1,
st111a.xls,st861b.xls,AM08F,somente no arquivo_1,
st111a.xls,st861b.xls,AM08M,somente no arquivo_1,
st111a.xls,st861b.xls,AM09F,somente no arquivo_1,
st111a.xls,st861b.xls,AM09M,somente no arquivo_1,
st111a.xls,st861b.xls,AM10F,somente no arquivo_1,
st111a.xls,st861b.xls,AM10M,somente no arquivo_1,
st111a.xls,st861b.xls,AM11F,somente no arquivo_1,
st111a.xls,st861b.xls,AM11M,somente no arquivo_1,
st111a.xls,st861b.xls,AM12F,somente no arquivo_1,
st111a.xls,st861b.xls,AM12M,somente no arquivo_1,
st111a.xls,st861b.xls,AMKGF,somente no arquivo_1,
st111a.xls,st861b.xls,AMKGM,somente no arquivo_1,
st111a.xls,st861b.xls,AMPKF,somente no arquivo_1,
st111a.xls,st861b.xls,AMPKM,somente no arquivo_1,
st111a.xls,st861b.xls,AMUGF,somente no arquivo_1,
st111a.xls,st861b.xls,AMUGM,somente no arquivo_1,
st111a.xls,st861b.xls,AS01F,somente no arquivo_1,
st111a.xls,st861b.xls,AS01M,somente no arquivo_1,
st111a.xls,st861b.xls,AS02F,somente no arquivo_1,
st111a.xls,st861b.xls,AS02M,somente no arquivo_1,
st111a.xls,st861b.xls,AS03F,somente no arquivo_1,
st111a.xls,st861b.xls,AS03M,somente no arquivo_1,
st111a.xls,st861b.xls,AS04F,somente no arquivo_1,
st111a.xls,st861b.xls,AS04M,somente no arquivo_1,
