Coluna,Tipo
SURVYEAR,Inteiro
FIPST,Inteiro
STABR,String
SEANAME,String
STREET,String
CITY,String
STNAME,String
ZIP,Inteiro
ZIP4,Float
PHONE,Inteiro
PKTCH,Float
KGTCH,Float
ELMTCH,Float
SECTCH,Float
UGTCH,Float
TOTTCH,Float
AIDES,Float
CORSUP,Float
ELMGUI,Float
SECGUI,Float
OTHGUI,Float
TOTGUI,Float
LIBSPE,Float
LIBSUP,Float
LEAADM,Float
LEASUP,Float
SCHADM,Float
SCHSUP,Float
STUSUP,Float
OTHSUP,Float
PK,Inteiro
KG,Inteiro
G01,Inteiro
G02,Inteiro
G03,Inteiro
G04,Inteiro
G05,Inteiro
G06,Inteiro
G07,Inteiro
G08,Inteiro
G09,Inteiro
G10,Inteiro
G11,Inteiro
G12,Inteiro
UG,Inteiro
MEMBER,Inteiro
AMPKM,Inteiro
AMPKF,Inteiro
ASPKM,Inteiro
ASPKF,Inteiro
HIPKM,Inteiro
HIPKF,Inteiro
BLPKM,Inteiro
BLPKF,Inteiro
WHPKM,Inteiro
WHPKF,Inteiro
HPPKM,Inteiro
HPPKF,Inteiro
TRPKM,Inteiro
TRPKF,Inteiro
AMKGM,Inteiro
AMKGF,Inteiro
ASKGM,Inteiro
ASKGF,Inteiro
HIKGM,Inteiro
HIKGF,Inteiro
BLKGM,Inteiro
BLKGF,Inteiro
WHKGM,Inteiro
WHKGF,Inteiro
HPKGM,Inteiro
HPKGF,Inteiro
TRKGM,Inteiro
TRKGF,Inteiro
AM01M,Inteiro
AM01F,Inteiro
AS01M,Inteiro
AS01F,Inteiro
HI01M,Inteiro
HI01F,Inteiro
BL01M,Inteiro
BL01F,Inteiro
WH01M,Inteiro
WH01F,Inteiro
HP01M,Inteiro
HP01F,Inteiro
TR01M,Inteiro
TR01F,Inteiro
AM02M,Inteiro
AM02F,Inteiro
AS02M,Inteiro
AS02F,Inteiro
HI02M,Inteiro
HI02F,Inteiro
BL02M,Inteiro
BL02F,Inteiro
WH02M,Inteiro
WH02F,Inteiro
HP02M,Inteiro
HP02F,Inteiro
TR02M,Inteiro
TR02F,Inteiro
AM03M,Inteiro
AM03F,Inteiro
AS03M,Inteiro
AS03F,Inteiro
HI03M,Inteiro
HI03F,Inteiro
BL03M,Inteiro
BL03F,Inteiro
WH03M,Inteiro
WH03F,Inteiro
HP03M,Inteiro
HP03F,Inteiro
TR03M,Inteiro
TR03F,Inteiro
AM04M,Inteiro
AM04F,Inteiro
AS04M,Inteiro
AS04F,Inteiro
HI04M,Inteiro
HI04F,Inteiro
BL04M,Inteiro
BL04F,Inteiro
WH04M,Inteiro
WH04F,Inteiro
HP04M,Inteiro
HP04F,Inteiro
TR04M,Inteiro
TR04F,Inteiro
AM05M,Inteiro
AM05F,Inteiro
AS05M,Inteiro
AS05F,Inteiro
HI05M,Inteiro
HI05F,Inteiro
BL05M,Inteiro
BL05F,Inteiro
WH05M,Inteiro
WH05F,Inteiro
HP05M,Inteiro
HP05F,Inteiro
TR05M,Inteiro
TR05F,Inteiro
AM06M,Inteiro
AM06F,Inteiro
AS06M,Inteiro
AS06F,Inteiro
HI06M,Inteiro
HI06F,Inteiro
BL06M,Inteiro
BL06F,Inteiro
WH06M,Inteiro
WH06F,Inteiro
HP06M,Inteiro
HP06F,Inteiro
TR06M,Inteiro
TR06F,Inteiro
AM07M,Inteiro
AM07F,Inteiro
AS07M,Inteiro
AS07F,Inteiro
HI07M,Inteiro
HI07F,Inteiro
BL07M,Inteiro
BL07F,Inteiro
WH07M,Inteiro
WH07F,Inteiro
HP07M,Inteiro
HP07F,Inteiro
TR07M,Inteiro
TR07F,Inteiro
AM08M,Inteiro
AM08F,Inteiro
AS08M,Inteiro
AS08F,Inteiro
HI08M,Inteiro
HI08F,Inteiro
BL08M,Inteiro
BL08F,Inteiro
WH08M,Inteiro
WH08F,Inteiro
HP08M,Inteiro
HP08F,Inteiro
TR08M,Inteiro
TR08F,Inteiro
AM09M,Inteiro
AM09F,Inteiro
AS09M,Inteiro
AS09F,Inteiro
HI09M,Inteiro
HI09F,Inteiro
BL09M,Inteiro
BL09F,Inteiro
WH09M,Inteiro
WH09F,Inteiro
HP09M,Inteiro
HP09F,Inteiro
TR09M,Inteiro
TR09F,Inteiro
AM10M,Inteiro
AM10F,Inteiro
AS10M,Inteiro
AS10F,Inteiro
HI10M,Inteiro
HI10F,Inteiro
BL10M,Inteiro
BL10F,Inteiro
WH10M,Inteiro
WH10F,Inteiro
HP10M,Inteiro
HP10F,Inteiro
TR10M,Inteiro
TR10F,Inteiro
AM11M,Inteiro
AM11F,Inteiro
AS11M,Inteiro
AS11F,Inteiro
HI11M,Inteiro
HI11F,Inteiro
BL11M,Inteiro
BL11F,Inteiro
WH11M,Inteiro
WH11F,Inteiro
HP11M,Inteiro
HP11F,Inteiro
TR11M,Inteiro
TR11F,Inteiro
AM12M,Inteiro
AM12F,Inteiro
AS12M,Inteiro
AS12F,Inteiro
HI12M,Inteiro
HI12F,Inteiro
BL12M,Inteiro
BL12F,Inteiro
WH12M,Inteiro
WH12F,Inteiro
HP12M,Inteiro
HP12F,Inteiro
TR12M,Inteiro
TR12F,Inteiro
AMUGM,Inteiro
AMUGF,Inteiro
ASUGM,Inteiro
ASUGF,Inteiro
HIUGM,Inteiro
HIUGF,Inteiro
BLUGM,Inteiro
BLUGF,Inteiro
WHUGM,Inteiro
WHUGF,Inteiro
HPUGM,Inteiro
HPUGF,Inteiro
TRUGM,Inteiro
TRUGF,Inteiro
