Municipality,Initials,Fisc_Year_End,numbered,Comptroller Town Code,County_Identifier,Invested In Capital Assets Net of Related Debt,Unrestricted Net Assets,Total Net Assets,Change In Net Assets,Inter_Gov_Rev,Tax_Rev,Total_Revenue,Education,Debt_Service,Total_Expenditures,TOTAL_Trans_to_Genl_Fund,Other_Financing_Sources,TOTAL_Trans_from_Genl_Fund,Other_Financing_Uses,Operating_Surplus_(Deficit)_Including_Transfers,Prior_Yr_OP_Surplus_(Def)_including_sources_and_uses,Operating_Surplus_(Deficit)_Including_Sources_And_Uses,Special / Extraordinary Items,RSD_DEBT,TOWN_Bonded_Long_Term_Debt,Total_Bonded_Long_Term_Debt_(RSD_+_Town),Reserv_Fund_Bal,Design_Fund_Bal,Total_Fund_Bal,Restatement (Y or N),Unreserved_Fund_Bal,Deficit - Individual Enterprise Funds (Y or N),Deficit - Individual Internal Service Funds (Y or N),Curr_Year_Adjusted_Taxes_Collectible,Curr_Year_Taxes_Collected,Curr_Year_Tax_Collection_Rate,Total_Adjusted_Taxes_Collectible,Total_Taxes_Collected,Overal_Total_Tax_Collection_Rate,Population,Moody's_Bond_Ratings,area lmt,ACGLFY,EGL,TANF Recipients,empl,ACMR,enrollmt,RPA Identifier
BETHLEHEM,BP,2010,10,10,L,4647825,2754256,7402081,634163,1303034,8574722,10089587,6808906,166974,9261747,0,0,403313,403313,424527,267028.0,424527,0,1223382.82,0,1223382.82,1626.0,300000.0,1175296,N,1173670.0,N,N,8488564,8302768,0.978112198953792,8893100,8463300,0.951670396149824,3616.0,,19.36,398161162.0,569541445.71,14.0,0.078755469129801,21.41,495.04,COG of Central Naugatuck Valley
COLEBROOK,BP,2011,29,29,L,5196851,1546998,6750260,588985,987607,4630437,5680431,3801654,173144,5598043,6083,6083,191000,191000,-102529,-7151.0,-102529,0,685284.78,678845,1364129.78,,,1050896,N,,N,N,4675741,4581293,0.979800420938628,4811605,4620662,0.96031615230261,1476.0,,31.49,188432660.0,250747152.23,0.0,0.049875311720698,24.81,253.2,Litchfield Hills Cncl of Elected Ofcls
COVENTRY,JG,2011,32,32,T,94777800,12089691,106870715,590900,10795520,25462109,36954790,25860037,2786122,37502062,699035,699035,128682,128682,23081,381631.0,23081,0,,24118806,24118806.0,,,3064463,Y,,N,N,25513165,24983390,0.97923523012531,26412736,25268114,0.956664012391598,12418.0,Aa3,37.72,955456543.0,1366219704.29,37.0,0.078835324818019,26.58,1927.34,Windham Region COG
WEST HARTFORD,JG,2011,155,155,H,167371000,23842000,193715000,3558000,32117000,192984000,231255000,139573000,19809000,214638000,878000,878000,16786000,16786000,709000,1142000.0,709000,0,,145095000,145095000.0,,,18711000,N,,N,N,192761000,190585000,0.988711409465608,195238000,192005000,0.983440723629621,63317.0,Aaa,21.98,4999850463.0,7137413505.5,258.0,0.074163067831282,38.38,10446.45,Capital Region COG
BRIDGEWATER,JG,2009,16,16,L,3798753,4544128,9082025,-340841,203694,6360804,6808881,4818496,0,6873488,0,0,142305,142305,-206912,148980.0,-206912,0,422100.02,0,422100.02,0.0,0.0,1211186,N,,N,N,6345365,6302844,0.993298888243623,6494624,6343259,0.97669380090364,,,16.23,,549555901.27,,0.062196307094266,15.5,232.37,
PLYMOUTH,BP,2010,112,111,L,159710588,11279775,172669725,-448521,13272340,24634459,38830430,24102428,4042910,38802615,625000,7730000,535700,7544252,117115,456803.0,213563,0,,20252163,20252163.0,719569.0,200000.0,3054450,N,2334881.0,N,N,24541174,23684247,0.965082069830889,26487602,24315919,0.918011339795879,12246.0,Aa3,21.72,817521852.0,1153756485.26,75.0,0.112900966521922,30.1,1943.43,Central CT RPA
ROXBURY,BP,2011,121,120,L,11219636,3194132,16027455,684888,196556,8429475,8964885,6219646,96162,8728624,0,0,375497,375497,-139236,-157320.0,-139236,0,353279.99,182953,536232.99,,,1616391,Y,,N,N,8458503,8366949,0.989176098891258,8535583,8411439,0.985455709352249,2249.0,,26.22,743680900.0,970846027.89,1.0,0.053973013493253,11.4,294.26,Northwestern CT COG
ANSONIA,BP,2010,2,2,NH,30648977,19552172,50207878,-937437,26465983,28819951,57791187,32282747,8982720,57010349,0,0,0,0,780838,961217.0,780838,0,,25054330,25054330.0,2589084.0,309974.0,9210616,N,6621532.0,N,N,29387424,28460138,0.968446162548987,31832641,29235841,0.918423356704836,19283.0,A1,6.03,1164802258.0,1533969463.52,302.0,0.109928741092637,25.25,2867.97,Valley COG
GRANBY,,2012,56,56,H,46714142,9103401,56334211,-694414,11210292,31683669,43587000,29506830,3430415,43678546,335011,335011,1165029,1165029,-921564,,-921564,0,,23681404,23681404.0,,,3537640,,,,,31627866,31293869,0.989439787053606,32054483,31513085,0.983110069190634,11316.0,Aa2,,1057105520.0,1397471124.39,9.0,0.062261753494282,30.1,2147.51,
STAMFORD,KE,2007,136,135,F,209551641,52860125,262411766,25303781,35462340,342983578,408263643,216863390,40720490,371990525,3129801,3129801,39665728,39665728,-262809,-2296784.0,-262809,0,,322245937,322245937.0,10792469.0,2804312.0,18982097,N,8189628.0,Y,N,338789500,333025662,0.982986963881702,349398731,337405009,0.965673252545385,118475.0,Aaa,37.71,11197766035.0,35699097438.66,591.0,0.037146922587872,30.68,15088.43,South Western RPA
LEDYARD,JG,2011,73,72,NL,43422064,5697588,49372665,-263336,17568699,29840426,50107766,30952093,1366778,48377905,464304,464304,1949953,1949953,244212,-335920.0,244212,0,,14562550,14562550.0,,,3526873,N,,N,N,29777543,29380101,0.986652961931748,30219160,29645412,0.981013767424376,15019.0,Aa2,38.14,1173556592.0,1647387295.25,62.0,0.07339340763576,25.65,2538.26,Southeastern CT COG
MADISON,KE,2007,77,76,NH,67250116,10540243,78527127,1163587,4817458,53907756,62008771,41242537,4658276,58833014,124100,124100,2674000,2674000,625857,188506.0,625857,0,,41271474,41271474.0,618450.0,300000.0,7731990,N,7113540.0,N,N,54147022,53891741,0.995285410156075,54588315,53877538,0.986979319658429,18793.0,Aa1,36.18,2430548879.0,4665396275.95,10.0,0.030076685589085,22.28,3947.2,South Central Regional COG
SOUTH WINDSOR,BP,2011,131,132,H,133875251,3127155,137002406,4855488,19887065,77616815,98652239,66904426,5114605,97249164,163016,265119,982159,982159,583932,370319.0,686035,0,,36546678,36546678.0,,,6377124,N,,N,N,77518490,76539598,0.98737214824489,80378609,77244898,0.961013122284811,25729.0,Aa2,27.96,2730908520.0,3813398098.18,41.0,0.065183476904294,28.34,4683.47,Capital Region COG
SALEM,,2012,122,121,NL,15129445,2014832,17645694,1308125,4093867,10573859,14942507,10625583,90630,13462152,46360,46360,1462058,1462058,64657,,64657,0,,855673,855673.0,,,1413699,,,,,10595639,10393687,0.980940082990747,10968993,10553796,0.962148120615995,4188.0,A1,,429139917.0,557332251.26,19.0,0.076682316118936,24.5,704.99,
MONTVILLE,,2012,87,86,NL,49703439,14765686,64556428,4678430,21184224,33987794,57496725,39577389,4166665,57750668,106903,128332,0,0,-147040,,-125611,0,,46177600,46177600.0,,,5928650,,,,,35053257,33078939,0.943676617553684,36258207,33590245,0.926417707306928,19686.0,Aa3,,1519656255.0,2002452063.08,80.0,0.085597567927038,23.0,2633.53,
BROOKLYN,,2012,19,19,W,23164916,2621982,26262834,349463,9690564,11808746,22021499,16973810,2889756,21370443,0,11145,447490,447490,203566,,214711,0,,4662866,4662866.0,,,1970823,,,,,11708068,11397984,0.97351535710247,12405245,11628203,0.93736181752154,8203.0,A1,,521979567.0,699341454.98,61.0,0.093835107699926,22.38,1264.51,
EAST HADDAM,KE,2008,40,41,M,43830231,21719688,65990909,12684479,11649505,19615568,32601192,23363965,1802200,31490544,597901,1097901,1555652,1555652,152897,938695.0,652897,0,,20457417,20457417.0,0.0,879533.0,6875583,N,,N,N,19513888,19324721,0.990306032298638,19680988,19450054,0.988266137858526,,,54.33,,1468673777.22,,0.043461612100326,27.78,1463.2,
ASHFORD,,2012,3,3,W,12401512,3095434,16899822,362223,5120557,8882703,14422540,11084777,499209,13933046,0,0,93463,93463,396031,,396031,0,2543487.65,2905000,5448487.65,,,1822521,,,,,8826425,8641907,0.979094820383111,9378234,8793547,0.937654893234696,4284.0,Aa3,,343837767.0,405748470.94,21.0,0.081440877055599,25.6,702.71,
ANSONIA,BP,2011,2,2,NH,32141271,15168208,47316957,-2890921,27166329,29439270,59512462,31895845,8830110,60091435,0,0,0,0,-578973,780838.0,-578973,0,,21736351,21736351.0,,,8631643,N,,N,N,29887189,28877719,0.966223989817176,32416514,29594471,0.91294427895609,19219.0,A1,6.03,1164619962.0,1484130265.01,341.0,0.102419969512195,25.75,2795.42,Valley COG
RIDGEFIELD,VR,2008,119,118,F,62909126,16539249,79496819,5955498,29887903,104080550,142818165,98454741,13982516,140385235,22940,22940,1790776,1790776,665094,1345943.0,665094,0,,125102361,125102361.0,799156.0,1200000.0,9903640,Y,,N,N,104203399,103123944,0.989640884938888,106462472,103597402,0.973088451299534,,,34.43,,8052661302.44,,0.038279132791328,24.87,5573.48,
DURHAM,BP,2010,38,38,M,40021564,4051631,44147238,-1230199,3892833,20409758,24693067,20032348,0,25148721,252305,252305,101350,101350,-304699,-672838.0,-304699,0,12066042.72,0,12066042.72,74043.0,0.0,2224500,N,2150457.0,N,N,20428866,20193606,0.988483942280497,20762339,20385197,0.981835283587268,7406.0,,23.6,780169188.0,1095711674.38,3.0,0.065949485500468,26.2,1371.68,Midstate RPA
TRUMBULL,VR,2008,145,144,F,89417684,-34338170,55079514,9239844,12849439,111383015,130178838,84817231,19525501,131771459,526493,1011875,40000,40000,-1106128,5549010.0,-620746,0,,77820514,77820514.0,1926157.0,0.0,15732946,N,,N,N,111554093,109807119,0.98433966918632,113762038,110616011,0.972345546411537,,,23.29,,7420089444.3,,0.044749369924391,22.22,6857.5,
COVENTRY,JG,2009,32,32,T,93201542,12357291,105561011,1636508,12365688,24121508,37018495,25815014,4322786,37652013,1017384,1017384,217019,217019,166847,192869.0,166847,0,,23660470,23660470.0,358753.0,0.0,2655886,N,,N,N,24067778,23522202,0.977331683880415,24779275,23891650,0.964178734042864,,,37.72,,1446495746.3,,0.071040534893439,28.09,2024.59,
BRIDGEWATER,JG,2010,16,16,L,3854219,4435829,9048128,-33897,156725,6318428,6689005,4678658,0,6597324,0,0,39172,39172,52509,-206912.0,52509,0,338430.05,0,338430.05,0.0,378519.0,1263695,N,1263695.0,N,N,6275770,6249242,0.995772948976779,6413153,6298011,0.98204596085576,1725.0,,16.23,413262998.0,529125497.04,2.0,0.06610703043022,15.2,232.07,Housatonic Council of Elected Ofcls
FAIRFIELD,VR,2008,51,51,F,229184000,7972000,237608000,4650000,46542000,202652000,266152000,169304000,24141000,263366000,463000,463000,3911000,3911000,-662000,670000.0,-662000,0,,222833000,222833000.0,1989000.0,500000.0,11538000,N,,N,Y,202188000,200151000,0.989925218113835,204526000,201170000,0.983591328241886,,,30.03,,17072416749.85,,0.046245212074358,17.41,9768.72,
