Agency Name,Agency Contract No.,Contractor Name,Contractor Name D/B/A (Optional),Statewide Vendor Number (Optional),Purpose of the Contract,Purpose of the Contract Description (Optional),Contract Effective Start Date,Contract Effective End Date,Period of Performance Start Date,Period of Performance End Date,Federal Amount,State Amount,Other Amount,Cost of Contract,Explanation of Costs (Optional),Procurement Type (Competitive or Non-Competitive),Small Business Status (Optional)
"Attorney General, Office of the (ATG)",2159,Pacifica Law Group,,,CB-Legal and Expert Witness Services,Outside Legal Services,12/01/2015 12:00:00 AM,03/31/2020 12:00:00 AM,12/01/2015 12:00:00 AM,03/31/2020 12:00:00 AM,0.0,96219.0,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8819,Moe  Royce Howard,,SWV0183036-00,CB-Legal and Expert Witness Services,Mediation,01/11/2019 12:00:00 AM,03/11/2019 12:00:00 AM,01/11/2019 12:00:00 AM,03/11/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8880,Washington Arbitration &,"Washington Arbitration & Mediation Service, Inc.",SWV0031441-00,CB-Legal and Expert Witness Services,Mediation,01/28/2019 12:00:00 AM,03/28/2019 12:00:00 AM,01/28/2019 12:00:00 AM,03/28/2019 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8454,Maisano  Nancy,Nancy Maisano,SWV0043426-00,CB-Legal and Expert Witness Services,Mediation,08/20/2018 12:00:00 AM,10/20/2018 12:00:00 AM,08/20/2018 12:00:00 AM,10/20/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8834-1,Alarm Center Inc,,SWV0076325-00,"EE-Repairs, Alterations, and Maintenance",Professional Services,01/17/2019 12:00:00 AM,11/29/2019 12:00:00 AM,01/17/2019 12:00:00 AM,11/29/2019 12:00:00 AM,0.0,521.67,0,521.67,,Master Contract,
"Attorney General, Office of the (ATG)",K8434,Practical Dispute Resolution,Kubik Mediation,SWV0082763-00,CB-Legal and Expert Witness Services,Mediation,09/20/2018 12:00:00 AM,11/20/2018 12:00:00 AM,09/20/2018 12:00:00 AM,11/20/2018 12:00:00 AM,0.0,0.0,0,0.0,Financial No Max,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",K8196-1,Toivola  Pertti T,,SWV0241041-00,CJ-Employee Training Services,Professional Services,07/15/2018 12:00:00 AM,07/20/2018 12:00:00 AM,07/15/2018 12:00:00 AM,07/20/2018 12:00:00 AM,0.0,0.0,0,0.0,,Direct Buy - Non-Competitive,
"Attorney General, Office of the (ATG)",2294,Hillis Clark Martin & Peterson,,,CB-Legal and Expert Witness Services,Outside Legal Services,10/01/2016 12:00:00 AM,09/30/2018 12:00:00 AM,10/01/2016 12:00:00 AM,09/30/2018 12:00:00 AM,0.0,134832.23,0,0.0,,Competitive Solicitation - Exceptions,
"Attorney General, Office of the (ATG)",2342 (1),Garvey Schubert & Barer,,,CB-Legal and Expert Witness Services,Outside Legal Services,07/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,07/01/2017 12:00:00 AM,09/30/2019 12:00:00 AM,0.0,0.0,0,0.0,Amendment did not modify cost,Competitive Solicitation - Exceptions,
Arts Commission (ART),AIE2019-086,Kim Nunes,,0244300,"CA-Management, Organizational and Major Information Technology Services",,10/21/2018 12:00:00 AM,10/22/2018 12:00:00 AM,10/21/2018 12:00:00 AM,10/22/2018 12:00:00 AM,0.0,61.35,0,61.35,,Direct Buy - Non-Competitive,
