Coluna,Tipo
MASCARA,Inteiro
CO_IBGE,Inteiro
NU_ANO,Inteiro
UF,String
SIGLA,String
MUNIC,String
DEP,String
LOC,String
CODFUNC,String
NIVELPRE,Inteiro
NIV_1GRAU,Inteiro
NIV_2GRAU,Inteiro
ENSSUPLET,Inteiro
PERMANEN,Inteiro
NOESTAB,Inteiro
PROVISOR,Inteiro
FORAESTA,Inteiro
FUNCION,Inteiro
PROFESS,Inteiro
VPE1001,Float
VPE1002,Float
VPE1003,Float
VPE1004,Float
VPE1005,Float
VPE1006,Float
VPE1007,Float
VPE1008,Float
VPE1009,Float
VPE1010,Float
VPE1011,Float
VPE1012,Float
VPE1013,Float
VPE1014,Float
VPE1015,Float
VPE1016,Float
VPE1101,Float
VPE1102,Float
VPE1103,Float
VPE1104,Float
VPE1105,Float
VPE1201,Float
VPE1202,Float
VPE1203,Float
VPE1204,Float
VPE1205,Float
VPE1301,Float
VPE1302,Float
VPE1303,Float
VPE1304,Float
VPE1305,Float
VPE1306,Float
VPE1307,Float
VPE1308,Float
VPE1309,Float
VPE1310,Float
VPE1311,Float
VPE1312,Float
VPE1313,Float
VPE1314,Float
VPE1315,Float
VPE1316,Float
VPE1317,Float
VPE1318,Float
VPE1319,Float
VPE1320,Float
VPE1321,Float
VPE1401,Float
VPE1402,Float
VPE1403,Float
VEF2001,Float
VEF2002,Float
VEF2003,Float
VEF2004,Float
VEF2005,Float
VEF2006,Float
VEF2007,Float
VEF2008,Float
VEF2009,Float
VEF2010,Float
VEF2011,Float
VEF2012,Float
VEF2013,Float
VEF2014,Float
VEF2015,Float
VEF2016,Float
VEF2101,Float
VEF2102,Float
VEF2103,Float
VEF2104,Float
VEF2105,Float
VEF2106,Float
VEF2107,Float
VEF2108,Float
VEF2109,Float
VEF2110,Float
VEF2111,Float
VEF2112,Float
VEF2113,Float
VEF2114,Float
VEF2115,Float
VEF2116,Float
VEF2117,Float
VEF2118,Float
VEF2119,Float
VEF2120,Float
VEF2121,Float
VEF2122,Float
VEF2123,Float
VEF2124,Float
VEF2125,Float
VEF2126,Float
VEF2127,Float
VEF2128,Float
VEF2129,Float
VEF2130,Float
VEF2131,Float
VEF2132,Float
VEF2133,Float
VEF2134,Float
VEF2135,Float
VEF2136,Float
VEF2137,Float
VEF2138,Float
VEF2139,Float
VEF2140,Float
VEF2141,Float
VEF2142,Float
VEF2143,Float
VEF2144,Float
VEF2145,Float
VEF2146,Float
VEF2147,Float
VEF2148,Float
VEF2201,Float
VEF2202,Float
VEF2203,Float
VEF2204,Float
VEF2205,Float
VEF2206,Float
VEF2207,Float
VEF2208,Float
VEF2209,Float
VEF2210,Float
VEF2211,Float
VEF2212,Float
VEF2213,Float
VEF2214,Float
VEF2215,Float
VEF2216,Float
VEF2217,Float
VEF2218,Float
VEF2219,Float
VEF2220,Float
VEF2221,Float
VEF2222,Float
VEF2223,Float
VEF2224,Float
VEF2225,Float
VEF2226,Float
VEF2227,Float
VEF2228,Float
VEF2229,Float
VEF2230,Float
VEF2231,Float
VEF2232,Float
VEF2233,Float
VEF2234,Float
VEF2235,Float
VEF2236,Float
VEF2237,Float
VEF2238,Float
VEF2239,Float
VEF2240,Float
VEF2241,Float
VEF2242,Float
VEF2243,Float
VEF2244,Float
VEF2245,Float
VEF2246,Float
VEF2247,Float
VEF2248,Float
VEF2249,Float
VEF2250,Float
VEF2251,Float
VEF2252,Float
VEF2253,Float
VEF2254,Float
VEF2301,Inteiro
VEF2302,Inteiro
VEF2303,Inteiro
VEF2304,Inteiro
VEF2305,Inteiro
VEF2306,Inteiro
VEF2307,Inteiro
VEF2308,Inteiro
VEF2309,Inteiro
VEF2310,Inteiro
VEF2311,Inteiro
VEF2312,Inteiro
VEF2313,Inteiro
VEF2314,Inteiro
VEF2315,Inteiro
VEF2316,Inteiro
VEF2317,Inteiro
VEF2318,Inteiro
VEF2319,Inteiro
VEF2320,Inteiro
VEF2321,Inteiro
VEF2322,Inteiro
VEF2323,Inteiro
VEF2324,Inteiro
VEF2325,Inteiro
VEF2326,Inteiro
VEF2327,Inteiro
VEF2328,Inteiro
VEF2329,Inteiro
VEF2330,Inteiro
VEF2331,Inteiro
VEF2332,Inteiro
VEF2333,Inteiro
VEF2334,Inteiro
VEF2335,Inteiro
VEF2336,Inteiro
VEF2337,Inteiro
VEF2338,Inteiro
VEF2339,Inteiro
VEF2340,Inteiro
VEF2341,Inteiro
VEF2342,Inteiro
VEF2343,Inteiro
VEF2344,Inteiro
VEF2345,Inteiro
VEF2346,Inteiro
VEF2347,Inteiro
VEF2348,Inteiro
VEF2349,Inteiro
VEF2350,Inteiro
VEF2351,Inteiro
VEF2352,Inteiro
VEF2353,Inteiro
VEF2354,Inteiro
VEF2355,Inteiro
VEF2356,Inteiro
VEF2357,Inteiro
VEF2358,Inteiro
VEF2359,Inteiro
VEF2360,Inteiro
VEF2361,Inteiro
VEF2362,Inteiro
VEF2363,Inteiro
VEF2364,Inteiro
VEF2365,Inteiro
VEF2366,Inteiro
VEF2367,Inteiro
VEF2401,Float
VEF2402,Float
VEF2403,Float
VEF2404,Float
VEF2405,Float
VEF2406,Float
VEF2407,Float
VEF2408,Float
VEF2409,Float
VEF2410,Float
VEF2411,Float
VEF2412,Float
VEF2413,Float
VEF2414,Float
VEF2415,Float
VEF2416,Float
VEF2417,Float
VEF2418,Float
VEF2419,Float
VEF2420,Float
VEF2421,Float
VEF2422,Float
VEF2423,Float
VEF2424,Float
VEF2601,Float
VEF2602,Float
VEF2603,Float
VEF2604,Float
VEF2605,Float
VEF2606,Float
VEF2607,Float
VEF2608,Float
VEF2609,Float
VEF2610,Float
VEF2611,Float
VEF2612,Float
VEF2613,Float
VEF2614,Float
VEF2615,Float
VEF2616,Float
VEF2617,Float
VEF2618,Float
VEF2619,Float
VEF2620,Float
VEF2621,Float
VEF2622,Float
VEF2623,Float
VEF2624,Float
VEF2625,Float
VEF2626,Float
VEF2627,Float
VEF2628,Float
VEF2629,Float
VEF2630,Float
VEF2631,Float
VEF2632,Float
VEF2701,Float
VEF2702,Float
VEF2703,Float
VEF2704,Float
VEF2705,Float
VEF2706,Float
VEF2707,Float
VEM2001,Inteiro
VEM2002,Inteiro
VEM2003,Inteiro
VEM2004,Inteiro
VEM2005,Inteiro
VEM2006,Inteiro
VEM2007,Inteiro
VEM2008,Inteiro
VEM2101,Float
VEM2102,Float
VEM2103,Float
VEM2104,Float
VEM2105,Float
VEM2106,Float
VEM2107,Float
VEM2108,Float
VEM2109,Float
VEM2110,Float
VEM2111,Float
VEM2112,Float
VEM2113,Float
VEM2114,Float
VEM2115,Float
VEM2116,Float
VEM2117,Float
VEM2118,Float
VEM2119,Float
VEM2120,Float
VEM2121,Float
VEM2122,Float
VEM2123,Float
VEM2124,Float
VEM2125,Float
VEM2126,Float
VEM2127,Float
VEM2128,Float
VEM2129,Float
VEM2130,Float
VEM2201,Float
VEM2202,Float
VEM2203,Float
VEM2204,Float
VEM2205,Float
VEM2206,Float
VEM2207,Float
VEM2208,Float
VEM2209,Float
VEM2210,Float
VEM2211,Float
VEM2212,Float
VEM2213,Float
VEM2214,Float
VEM2215,Float
VEM2216,Float
VEM2217,Float
VEM2218,Float
VEM2219,Float
VEM2220,Float
VEM2221,Float
VEM2222,Float
VEM2223,Float
VEM2224,Float
VEM2225,Float
VEM2226,Float
VEM2227,Float
VEM2228,Float
VEM2229,Float
VEM2230,Float
VEM2301,Inteiro
VEM2302,Inteiro
VEM2303,Inteiro
VEM2304,Inteiro
VEM2305,Inteiro
VEM2306,Inteiro
VEM2307,Inteiro
VEM2308,Inteiro
VEM2309,Inteiro
VEM2310,Inteiro
VEM2311,Inteiro
VEM2312,Inteiro
VEM2313,Inteiro
VEM2314,Inteiro
VEM2315,Inteiro
VEM2316,Inteiro
VEM2317,Inteiro
VEM2318,Inteiro
VEM2319,Inteiro
VEM2320,Inteiro
VEM2321,Inteiro
VEM2322,Inteiro
VEM2323,Inteiro
VEM2324,Inteiro
VEM2325,Inteiro
VEM2326,Inteiro
VEM2327,Inteiro
VEM2328,Inteiro
VEM2329,Inteiro
VEM2330,Float
VEM2331,Inteiro
VEM2332,Inteiro
VEM2333,Inteiro
VEM2334,Inteiro
VEM2335,Inteiro
VEM2401,Float
VEM2402,Float
VEM2403,Float
VEM2404,Float
VEM2405,Float
VEM2406,Float
VEM2407,Float
VEM2408,Float
VEM2409,Float
VEM2410,Float
VEM2411,Float
VEM2412,Float
VEM2501,Float
VEM2502,Float
VEM2503,Float
VEM2504,Float
VEM2505,Float
VEM2506,Float
VEM2507,Float
VEM2508,Float
VEM2509,Float
VEM2510,Float
VEM2511,Float
