arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,CODFUNC,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,CO_IBGE,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,DEP,somente no arquivo_1,TP_DEPENDENCIA/IN_ACESSIBILIDADE_PISOS_TATEIS/IN_AGUA_REDE_PUBLICA/IN_DEPENDENCIAS_OUTRAS/IN_DEPENDENCIAS_PNE/IN_ENERGIA_REDE_PUBLICA/IN_ESGOTO_REDE_PUBLICA/TP_AEE
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,ENSSUPLET,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,FORAESTA,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,FUNCION,somente no arquivo_1,QT_FUNCIONARIOS/TP_SITUACAO_FUNCIONAMENTO/IN_BANHEIRO_FUNCIONARIOS
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,LOC,somente no arquivo_1,IN_LOCAL_FUNC_SALAS_EMPRESA/IN_LOCAL_FUNC_UNID_PRISIONAL/IN_LOCAL_FUNC_SALAS_OUTRA_ESC/IN_LOCAL_FUNC_PREDIO_ESCOLAR/TP_LOCALIZACAO/IN_LOCAL_FUNC_CASA_PROFESSOR/TP_LOCALIZACAO_DIFERENCIADA/IN_LOCAL_FUNC_TEMPLO_IGREJA/IN_LOCAL_FUNC_GALPAO/IN_LOCAL_FUNC_PRISIONAL_SOCIO/IN_LOCAL_FUNC_OUTROS/IN_LOCAL_FUNC_SOCIOEDUCATIVO/TP_REDE_LOCAL
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,MASCARA,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,MUNIC,somente no arquivo_1,CO_MUNICIPIO/NO_MUNICIPIO
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,NIV_1GRAU,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,NIV_2GRAU,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,NIVELPRE,somente no arquivo_1,IN_ESP_CE/IN_INF_PRE
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,NOESTAB,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,NU_ANO,somente no arquivo_1,NU_ANO_CENSO
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,PERMANEN,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,PROFESS,somente no arquivo_1,IN_SALA_PROFESSOR/IN_LOCAL_FUNC_CASA_PROFESSOR/IN_DORMITORIO_PROFESSOR
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,PROVISOR,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,SIGLA,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,UF,somente no arquivo_1,NO_UF/CO_UF/SG_UF
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2001,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2002,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2003,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2004,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2005,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2006,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2007,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2008,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2009,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2010,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2011,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2012,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2013,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2014,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2015,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2016,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2101,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2102,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2103,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2104,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2105,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2106,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2107,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2108,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2109,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2110,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2111,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2112,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2113,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2114,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2115,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2116,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2117,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2118,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2119,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2120,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2121,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2122,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2123,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2124,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2125,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2126,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2127,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2128,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2129,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2130,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2131,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2132,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2133,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2134,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2135,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2136,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2137,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2138,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2139,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2140,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2141,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2142,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2143,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2144,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2145,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2146,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2147,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2148,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2201,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2202,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2203,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2204,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2205,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2206,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2207,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2208,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2209,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2210,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2211,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2212,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2213,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2214,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2215,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2216,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2217,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2218,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2219,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2220,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2221,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2222,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2223,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2224,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2225,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2226,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2227,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2228,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2229,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2230,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2231,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2232,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2233,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2234,somente no arquivo_1,
CENSOESC_1995.CSV,microdados_ed_basica_2010.csv,VEF2235,somente no arquivo_1,
