Coluna,Tipo
NU_ANO_CENSO,Inteiro
NO_REGIAO,String
CO_REGIAO,Inteiro
NO_UF,String
SG_UF,String
CO_UF,Inteiro
NO_MUNICIPIO,String
CO_MUNICIPIO,Inteiro
NO_MESORREGIAO,String
CO_MESORREGIAO,Inteiro
NO_MICRORREGIAO,String
CO_MICRORREGIAO,Inteiro
CO_DISTRITO,Inteiro
CO_ENTIDADE,Inteiro
NO_ENTIDADE,String
TP_DEPENDENCIA,Inteiro
TP_CATEGORIA_ESCOLA_PRIVADA,Inteiro
TP_LOCALIZACAO,Inteiro
TP_LOCALIZACAO_DIFERENCIADA,Inteiro
DS_ENDERECO,String
NU_ENDERECO,String
DS_COMPLEMENTO,String
NO_BAIRRO,String
CO_CEP,Inteiro
NU_DDD,Float
NU_TELEFONE,Float
TP_SITUACAO_FUNCIONAMENTO,Inteiro
CO_ORGAO_REGIONAL,Float
DT_ANO_LETIVO_INICIO,String
DT_ANO_LETIVO_TERMINO,String
IN_VINCULO_SECRETARIA_EDUCACAO,Inteiro
IN_VINCULO_SEGURANCA_PUBLICA,Inteiro
IN_VINCULO_SECRETARIA_SAUDE,Inteiro
IN_VINCULO_OUTRO_ORGAO,Inteiro
IN_CONVENIADA_PP,Inteiro
TP_CONVENIO_PODER_PUBLICO,Inteiro
IN_MANT_ESCOLA_PRIVADA_EMP,Inteiro
IN_MANT_ESCOLA_PRIVADA_ONG,Inteiro
IN_MANT_ESCOLA_PRIVADA_OSCIP,Inteiro
IN_MANT_ESCOLA_PRIV_ONG_OSCIP,Inteiro
IN_MANT_ESCOLA_PRIVADA_SIND,Inteiro
IN_MANT_ESCOLA_PRIVADA_SIST_S,Inteiro
IN_MANT_ESCOLA_PRIVADA_S_FINS,Inteiro
NU_CNPJ_ESCOLA_PRIVADA,Float
NU_CNPJ_MANTENEDORA,Float
TP_REGULAMENTACAO,Inteiro
TP_RESPONSAVEL_REGULAMENTACAO,Inteiro
CO_ESCOLA_SEDE_VINCULADA,Inteiro
CO_IES_OFERTANTE,Inteiro
IN_LOCAL_FUNC_PREDIO_ESCOLAR,Inteiro
TP_OCUPACAO_PREDIO_ESCOLAR,Inteiro
IN_LOCAL_FUNC_SALAS_EMPRESA,Inteiro
IN_LOCAL_FUNC_SOCIOEDUCATIVO,Inteiro
IN_LOCAL_FUNC_UNID_PRISIONAL,Inteiro
IN_LOCAL_FUNC_PRISIONAL_SOCIO,Inteiro
IN_LOCAL_FUNC_TEMPLO_IGREJA,Inteiro
IN_LOCAL_FUNC_CASA_PROFESSOR,Inteiro
IN_LOCAL_FUNC_GALPAO,Inteiro
TP_OCUPACAO_GALPAO,Inteiro
IN_LOCAL_FUNC_SALAS_OUTRA_ESC,Inteiro
