MASCARA,NR_ANO,NO_DISTRITO,CODMUNIC,NO_MUNICIPIO,EH_CAPITAL,SG_UF,NO_UF,NO_REGIAO,IN_FUNCIONAMENTO,IN_DEP_ADM,IN_NATUREZA,QT_SERV_SEM_ESCOLARIDADE,QT_SERV_COM_1GRAU,QT_SERV_COM_2GRAU,QT_SERV_COM_SUPERIOR,QT_SERV_COM_ESPECIALIZACAO,QT_SERV_COM_MESTRADO,QT_SERV_COM_DOUTORADO,QT_TOTAL_SERVIDORES,QT_TOTAL_SERVIDORES_ESTAB,QT_DOCEN_FEMI_AFAST,QT_DOCEN_MASC_AFAST,QT_DOCEN_MASC_EXERC,QT_DOCEN_FEMI_EXERC,QT_DOCEN_AFAST_CURS_POS,QT_DOCEN_AFAST_OUTROS_MOT,QT_DOCEN_PARC_SEM_GRADU,QT_DOCEN_INT_SEM_GRADU,QT_DOCEN_PARC_GRADU,QT_DOCEN_INT_GRADU,QT_DOCEN_PARC_ESPEC,QT_DOCEN_INT_ESPEC,QT_DOCEN_PARC_MESTRADO,QT_DOCEN_INT_MESTRADO,QT_DOCEN_PARC_DOUTORADO,QT_DOCEN_INT_DOUTORADO
712,1995,TERESINA,220200311001,TERESINA,S,PI,Piaui,NORDESTE,1,4,4,0.0,0.0,0,0,0,0,0,7,0,0,0,5,2,0,0,0,0,2,0,3,0,2,0,0,0
441,1995,SAO JOAO DA BOA VISTA,350703049102,SAO JOAO DA BOA VISTA,N,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,6,0,0,0,18,4,0,0,0,0,15,0,6,0,1,0,0,0
526,1995,JUIZ DE FORA,311206536702,JUIZ DE FORA,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,5,0,1,1,24,2,0,2,0,0,24,0,2,0,0,0,0,0
723,1995,ITAJUBA,311005632404,ITAJUBA,N,MG,Minas Gerais,SUDESTE,1,1,4,101.0,51.0,130,67,2,0,0,0,351,1,30,107,4,31,0,0,0,3,11,0,7,2,38,2,48
40,1995,VARZEA GRANDE,510401708402,VARZEA GRANDE,N,MT,Mato Grosso,CENTRO-OESTE,1,4,3,,,0,0,0,0,0,5,0,0,0,10,9,0,0,0,0,10,0,9,0,0,0,0,0
291,1995,CARATINGA,310804013404,CARATINGA,N,MG,Minas Gerais,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,6,0,0,0,8,2,0,0,0,0,4,0,6,0,0,0,0,0
301,1995,LORENA,351305127207,LORENA,N,SP,Sao Paulo,SUDESTE,1,4,3,,,0,0,0,0,0,17,0,0,0,28,4,0,0,0,0,13,0,15,0,2,0,2,0
334,1995,SAO PAULO,351506150308,SAO PAULO,S,SP,Sao Paulo,SUDESTE,1,4,4,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
209,1995,BAGE,430603101602,BAGE,N,RS,Rio Grando do Sul,SUL,1,4,1,145.0,109.0,139,107,25,1,0,0,526,37,40,290,277,13,64,0,0,120,25,293,34,67,15,13,0
137,1995,TANGARA DA SERRA,510301307958,TANGARA DA SERRA,N,MT,Mato Grosso,CENTRO-OESTE,1,2,2,0.0,0.0,0,0,0,0,0,9,0,0,0,4,5,0,0,0,0,2,0,7,0,0,0,0,0
