MASCARA,ANO,ORDEMORGACAD,NOMEORGACAD,CATEGADM,COD_DEP,CATADM,CATADMPARTSE,CATADMCOMUN,CATADMCONFESS,CATADMFILANT,CODMUNIC,MUNICIPIO,EH_CAPITAL,COD_UF,NOMEUF,SIGLA,REGIAO,NUMERODEIES,I0311,I0312,I0313,I0314,I0321,I0322,I0323,I0324,I0331,I0332,I0333,I0334,I0341,I0342,I0343,I0344,I0351,I0352,I0353,I0354,I0361,I0362,I0363,I0364,I0371,I0372,I0373,I0374,I0411,I0412,I0413,I0414,I0421,I0422,I0423,I0424,I0431,I0432,I0433,I0434,I0441,I0442,I0443,I0444,I0451,I0452,I0453,I0454,I0461,I0462,I0463,I0464,I0471,I0472,I0473,I0474,I0511,I0512,I0513,I0611,I07101,I07102,I07103,I07104,I07105,I07106,I07107,I07108,I07201,I07202,I07203,I07204,I07205,I07206,I07207,I07208,I07301,I07302,I07303,I07304,I07305,I07306,I07307,I07308,I07401,I07402,I07403,I07404,I07405,I07406,I07407,I07408,I07501,I07502,I07503,I07504,I07505,I07506,I07507,I07508,I0811,I0812,I0822,I0823,I0832,I0833,I0841,I0842,I0843,I0852,I0853,I0911,I0912,I0921,I0922,I0931,I0932,I0941,I0942,I0951,I0952,I1111,I1112,I1113,I1114,I1115,I1116,I1121,I1122,I1123,I1124,I1125,I1126,I1131,I1132,I1133,I1134,I1135,I1136,I1141,I1142,I1143,I1144,I1145,I1146,I1151,I1152,I1153,I1154,I1155,I1156,I1162,I1163,I1165,I1166,I1172,I1173,I1175,I1176,I1211,I1221,I1231,I1241,I1251,I1261,I1271,I1281,I13011,I13021,I13031,I13041,I13051,I13061,I13071,I13081,I13091,I13101,I13111,I13121,I13131,I0111,I0112,I14011,I14012,I14013,I14014,I14015,I14016,I14017,I14021,I14022,I14023,I14024,I14025,I14026,I14027,I14031,I14032,I14033,I14034,I14035,I14036,I14037,I14041,I14042,I14043,I14044,I14045,I14046,I14047,I14051,I14052,I14053,I14054,I14055,I14056,I14057,I14061,I14062,I14063,I14064,I14065,I14066,I14067,I14071,I14072,I14073,I14074,I14075,I14076,I14077,I14081,I14082,I14083,I14084,I14085,I14086,I14087,I14091,I14092,I14093,I14094,I14095,I14096,I14097,I14101,I14102,I14103,I14104,I14105,I14106,I14107,I14111,I14112,I14113,I14114,I14115,I14116,I14117,I14121,I14122,I14123,I14124,I14125,I14126,I14127,I14131,I14132,I14133,I14134,I14135,I14136,I14137,I14141,I14142,I14143,I14144,I14145,I14146,I14147,I14151,I14152,I14153,I14154,I14155,I14156,I14157,I14161,I14162,I14163,I14164,I14165,I14166,I14167,I0211,I0212,I0213,I0214,I1511,I1521,I1531,I1541,I1551,I1561,I1571,I1581,I1611,I1612,I1613,I1621,I1622,I1623,I1631,I1632,I1633,I1711,I1712,I1713,I1811,I1812,I1813
522,2000,4,Faculdade,PRIVADA,4,PARTICULAR,S,N,N,N,500100103207,CORUMBA,N,50,Mato Grosso do Sul,MS,Centro-Oeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,3.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,28.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,333449.0,15156.0,0.0,0.0,0.0,0.0,0.0,11703.0,60430.0,0.0,547.0,0.0,169516.0,18938.0,0.0,99070.0,9740.0,5397.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,315.0,235.0,3.0,2.0,0.0,0.0,0.0,225.0,358.0,0.0,3.0,0.0,0.0,0.0,11.0,15.0,0.0,0.0,0.0,0.0,0.0,241.0,250.0,0.0,0.0,0.0,0.0,0.0,96.0,116.0,1.0,0.0,0.0,0.0,0.0,1172.0,3206.0,7.0,12.0,0.0,0.0,0.0,1280.0,1730.0,4.0,9.0,0.0,0.0,0.0,2020.0,2314.0,0.0,2.0,0.0,0.0,0.0,5850.0,1705.0,160.0,35.0,S,S,S,N,S,N,N,N,1.0,,,3.0,,,2.0,,,11.0,5.0,5.0,,,
738,2000,4,Faculdade,PRIVADA,4,COMUN/CONFES/FILANT,N,N,N,S,110200300023,ARIQUEMES,N,11,Rondonia,RO,Norte,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
741,2000,1,Universidade,PRIVADA,4,COMUN/CONFES/FILANT,N,N,N,S,350201443402,RIBEIRAO PRETO,N,35,São Paulo,SP,Sudeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,12.0,,,18.0,13.0,,,77.0,71.0,,,101.0,69.0,,,8.0,5.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,17.0,22.0,26.0,26.0,43.0,19.0,37.0,30.0,33.0,29.0,35.0,33.0,30.0,26.0,16.0,25.0,34.0,20.0,25.0,23.0,13.0,3.0,12.0,,,,,,,,,,,,592.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53581269.0,1883390.0,795051.0,0.0,0.0,0.0,0.0,1228375.0,17612901.0,0.0,631242.0,1330541.0,2445635.0,1927605.0,0.0,20231756.0,146464.0,4776766.0,68334.0,0.0,255575.0,1.0,,3047.0,5876.0,27.0,15.0,0.0,39.0,0.0,499.0,1024.0,5.0,2.0,0.0,3.0,0.0,969.0,1552.0,12.0,2.0,4.0,0.0,1.0,4437.0,9773.0,218.0,117.0,34.0,11.0,4.0,423.0,511.0,12.0,0.0,6.0,0.0,0.0,19661.0,41516.0,70.0,1.0,390.0,31.0,3.0,8069.0,16597.0,342.0,18.0,30.0,10.0,3.0,9192.0,14271.0,21.0,5.0,30.0,3.0,0.0,194.0,286.0,5.0,26.0,0.0,0.0,0.0,25.0,43.0,4.0,3.0,0.0,3.0,0.0,76.0,110.0,5.0,3.0,4.0,0.0,1.0,164.0,309.0,38.0,22.0,6.0,12.0,5.0,13.0,16.0,3.0,0.0,4.0,0.0,0.0,597.0,901.0,36.0,0.0,286.0,26.0,5.0,587.0,884.0,15.0,0.0,3.0,13.0,4.0,989.0,1555.0,3.0,0.0,3.0,0.0,0.0,63388.0,21129.0,11065.0,10065.0,S,S,S,S,S,S,S,S,3.0,0.0,0.0,0.0,16.0,0.0,12.0,0.0,0.0,530.0,343.0,873.0,,,
661,2000,4,Faculdade,PRIVADA,4,PARTICULAR,S,N,N,N,530100100108,BRASILIA,S,53,Distrito Federal,DF,Centro-Oeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,19.0,0.0,0.0,12.0,10.0,0.0,0.0,31.0,27.0,0.0,0.0,11.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,9.0,16.0,23.0,0.0,0.0,2.0,2.0,7.0,11.0,29.0,51.0,0.0,0.0,0.0,0.0,3.0,4.0,8.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,,,,,,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,13082416.0,,,,,,,365484.0,8370224.0,,114348.0,,,1158615.0,,2737711.0,273321.0,396419.0,54624.0,,,1.0,2.0,2541.0,5079.0,2687.0,,,,,154.0,197.0,386.0,,,,,729.0,1415.0,698.0,,,,,382.0,670.0,842.0,,,,,210.0,292.0,29.0,,,,,2897.0,6451.0,2767.0,,,,,6764.0,11593.0,2499.0,,,,,2717.0,4382.0,92.0,,,,,2541.0,5654.0,3330.0,,,,,154.0,204.0,470.0,,,,,729.0,1670.0,860.0,,,,,382.0,665.0,995.0,,,,,210.0,335.0,33.0,,,,,2897.0,7121.0,3467.0,,,,,6764.0,13365.0,3134.0,,,,,2717.0,4497.0,120.0,,,,,22100.0,,,,,,,,,,,,1.0,0.0,0.0,4.0,7.0,0.0,0.0,2.0,0.0,221.0,39.0,260.0,,,
412,2000,1,Universidade,PRIVADA,4,COMUN/CONFES/FILANT,N,S,N,N,351204652205,SOROCABA,N,35,São Paulo,SP,Sudeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,37.0,28.0,0.0,0.0,36.0,11.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,7.0,11.0,8.0,8.0,13.0,0.0,3.0,1.0,17.0,10.0,13.0,10.0,16.0,8.0,11.0,10.0,19.0,12.0,14.0,16.0,8.0,3.0,7.0,3.0,4.0,2.0,4.0,4.0,5.0,,,,,,,,,,,,253.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25214705.0,276089.0,0.0,0.0,0.0,23340.0,0.0,7912413.0,12077652.0,0.0,392391.0,0.0,136990.0,275525.0,0.0,5337086.0,221597.0,1929740.0,12181407.0,0.0,874159.0,1.0,2.0,3072.0,4885.0,58.0,18.0,0.0,0.0,0.0,1153.0,1406.0,8.0,1.0,0.0,2.0,0.0,374.0,520.0,24.0,1.0,0.0,0.0,0.0,840.0,1211.0,27.0,0.0,10.0,2.0,2.0,162.0,193.0,15.0,0.0,0.0,0.0,0.0,13475.0,2915.0,432.0,76.0,300.0,7.0,4.0,14864.0,25618.0,209.0,44.0,200.0,2.0,2.0,9668.0,13292.0,61.0,21.0,700.0,0.0,0.0,3194.0,5180.0,61.0,19.0,0.0,0.0,0.0,1177.0,1474.0,9.0,1.0,0.0,2.0,0.0,385.0,534.0,25.0,1.0,0.0,0.0,0.0,928.0,1504.0,28.0,0.0,10.0,2.0,2.0,163.0,194.0,15.0,0.0,0.0,0.0,0.0,15011.0,25363.0,454.0,79.0,300.0,7.0,4.0,15238.0,26363.0,220.0,46.0,200.0,2.0,2.0,9792.0,13527.0,64.0,22.0,700.0,0.0,0.0,70289.0,20082.0,6024.0,4018.0,N,S,S,S,S,N,N,N,3.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,426.0,197.0,623.0,,,
679,2000,1,Universidade,PRIVADA,4,COMUN/CONFES/FILANT,N,S,N,N,430101106106,CRUZ ALTA,N,43,Rio Grande do Sul,RS,Sul,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,31.0,0.0,0.0,19.0,17.0,0.0,0.0,31.0,28.0,0.0,0.0,39.0,18.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,2.0,9.0,10.0,8.0,25.0,12.0,12.0,18.0,14.0,20.0,16.0,53.0,31.0,11.0,18.0,5.0,7.0,18.0,5.0,24.0,15.0,3.0,4.0,3.0,4.0,1.0,2.0,2.0,8.0,,,,,,,,,,,,76.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,16954012.0,2550555.0,123198.0,0.0,38460.0,127439.0,0.0,87719.0,12250201.0,0.0,210395.0,327831.0,0.0,180447.0,1182428.0,3801378.0,137847.0,253473.0,1537383.0,0.0,0.0,1.0,2.0,1150.0,1953.0,19.0,5.0,0.0,0.0,0.0,922.0,1600.0,8.0,4.0,0.0,0.0,0.0,51.0,90.0,0.0,0.0,0.0,0.0,0.0,1903.0,2768.0,39.0,18.0,0.0,0.0,0.0,838.0,1213.0,19.0,5.0,0.0,0.0,0.0,6917.0,10104.0,108.0,10.0,0.0,0.0,0.0,4451.0,5806.0,63.0,0.0,0.0,0.0,0.0,3315.0,3954.0,9.0,2.0,0.0,0.0,0.0,79.0,118.0,21.0,20.0,3.0,45.0,0.0,39.0,70.0,6.0,1.0,0.0,1.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,160.0,239.0,46.0,6.0,3.0,0.0,0.0,323.0,445.0,25.0,35.0,0.0,5.0,0.0,2321.0,3476.0,104.0,7.0,27.0,26.0,0.0,670.0,791.0,35.0,0.0,2.0,4.0,0.0,413.0,491.0,10.0,0.0,2.0,3.0,0.0,59098.0,1179.0,1013.0,0.0,N,S,N,N,S,N,N,N,2.0,0.0,0.0,7.0,0.0,0.0,16.0,3.0,0.0,120.0,160.0,205.0,,,
627,2000,4,Faculdade,PRIVADA,4,PARTICULAR,S,N,N,N,351104354003,TATUI,N,35,São Paulo,SP,Sudeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,6.0,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1197047.0,,,,,,,,479946.0,,9973.0,,,5851.0,,117530.0,,40979.0,,,31008.0,1.0,2.0,1751.0,2475.0,101.0,,52.0,,,654.0,740.0,,,76.0,,,746.0,846.0,,,,,,624.0,727.0,,,,,,,,,,,,,5960.0,9775.0,5655.0,156.0,43.0,,,1250.0,2120.0,1005.0,16.0,73.0,,,447.0,757.0,325.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7397.0,3328.0,145.0,225.0,S,S,N,N,S,S,N,N,1.0,,,2.0,,,,1.0,,20.0,4.0,24.0,,,
514,2000,4,Faculdade,PRIVADA,4,PARTICULAR,S,N,N,N,330601804557,RIO DE JANEIRO,S,33,Rio de Janeiro,RJ,Sudeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,6.0,0.0,0.0,3.0,2.0,0.0,0.0,7.0,8.0,0.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,17.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825428.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,911147.0,0.0,9935.0,0.0,0.0,43941.0,0.0,816364.0,0.0,10171.0,8738.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599.0,1082.0,0.0,0.0,0.0,0.0,0.0,2253.0,5824.0,251.0,0.0,0.0,0.0,0.0,1198.0,1537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618.0,1105.0,0.0,0.0,0.0,0.0,0.0,2460.0,5994.0,289.0,0.0,48.0,0.0,0.0,1210.0,1556.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,30.0,0.0,S,N,N,N,N,S,N,N,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,42.0,9.0,5.0,,,
860,2000,1,Universidade,FEDERAL,1,FEDERAL,N,N,N,N,240401808102,NATAL,S,24,Rio Grande do Norte,RN,Nordeste,1,123.0,464.0,0.0,0.0,96.0,218.0,0.0,0.0,271.0,341.0,0.0,0.0,295.0,203.0,0.0,0.0,55.0,24.0,0.0,0.0,5.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,5.0,13.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,137.0,43.0,48.0,0.0,0.0,0.0,0.0,140.0,186.0,36.0,43.0,0.0,0.0,0.0,0.0,249.0,305.0,19.0,29.0,0.0,0.0,0.0,0.0,145.0,243.0,4.0,4.0,0.0,0.0,0.0,0.0,1480.0,9.0,0.0,213.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,,,,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,9.0,13.0,0.0,0.0,0.0,0.0,7.0,88.0,11.0,0.0,0.0,0.0,0.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,14.0,1.0,,,,,,,37279.0,211502312.0,,,5267195.0,3593420.0,119522011.0,65727602.0,5879118.0,2975339.0,,,1614051.0,20175899.0,11680.0,1191144.0,122087.0,881845.0,35999.0,1.0,15.0,16933.0,38349.0,298.0,763.0,33.0,0.0,0.0,1209.0,1694.0,100.0,120.0,13.0,0.0,0.0,8206.0,18972.0,108.0,248.0,17.0,0.0,0.0,10006.0,26803.0,101.0,122.0,13.0,0.0,0.0,2602.0,3809.0,22.0,3.0,53.0,0.0,0.0,31175.0,77022.0,373.0,246.0,26.0,0.0,0.0,15712.0,31310.0,241.0,132.0,89.0,0.0,0.0,12493.0,24326.0,60.0,65.0,88.0,0.0,0.0,2694.0,3323.0,0.0,0.0,23.0,0.0,0.0,64.0,104.0,0.0,0.0,0.0,0.0,0.0,895.0,1260.0,0.0,0.0,0.0,0.0,2.0,574.0,934.0,0.0,0.0,0.0,0.0,0.0,61.0,21.0,0.0,0.0,0.0,0.0,0.0,1866.0,3268.0,0.0,0.0,35.0,6.0,1.0,903.0,1274.0,0.0,0.0,0.0,3.0,0.0,902.0,1273.0,0.0,0.0,0.0,0.0,1.0,176898.0,9938.0,7951.0,3975.0,S,S,S,S,N,S,S,S,9.0,0.0,0.0,23.0,0.0,0.0,17.0,0.0,0.0,1461.0,572.0,1224.0,18082381.0,172901.0,22612.0
137,2000,4,Faculdade,PRIVADA,4,COMUN/CONFES/FILANT,N,N,N,S,311004844102,MUZAMBINHO,N,31,Minas Gerais,MG,Sudeste,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,6.0,,,1.0,1.0,,,2.0,7.0,,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,14.0,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1085029.0,338733.0,,,,,,115817.0,940411.0,,,,9769.0,1275.0,,617944.0,3391.0,20161.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700.0,900.0,500.0,300.0,30.0,30.0,,,,,,,,,1000.0,100.0,,,S,S,S,N,S,N,N,N,,,1.0,,2.0,,,,,8.0,9.0,6.0,,,
