Coluna,Tipo
NU_ANO_CENSO,Inteiro
NO_REGIAO_IES,String
CO_REGIAO_IES,Inteiro
NO_UF_IES,String
SG_UF_IES,String
CO_UF_IES,Inteiro
NO_MUNICIPIO_IES,String
CO_MUNICIPIO_IES,Inteiro
IN_CAPITAL_IES,Inteiro
NO_MESORREGIAO_IES,String
CO_MESORREGIAO_IES,Inteiro
NO_MICRORREGIAO_IES,String
CO_MICRORREGIAO_IES,Inteiro
TP_ORGANIZACAO_ACADEMICA,Inteiro
TP_CATEGORIA_ADMINISTRATIVA,Inteiro
NO_MANTENEDORA,String
CO_MANTENEDORA,Inteiro
CO_IES,Inteiro
NO_IES,String
SG_IES,String
DS_ENDERECO_IES,String
DS_NUMERO_ENDERECO_IES,String
DS_COMPLEMENTO_ENDERECO_IES,String
NO_BAIRRO_IES,String
NU_CEP_IES,Inteiro
QT_TEC_TOTAL,Inteiro
QT_TEC_FUNDAMENTAL_INCOMP_FEM,Inteiro
QT_TEC_FUNDAMENTAL_INCOMP_MASC,Inteiro
QT_TEC_FUNDAMENTAL_COMP_FEM,Inteiro
QT_TEC_FUNDAMENTAL_COMP_MASC,Inteiro
QT_TEC_MEDIO_FEM,Inteiro
QT_TEC_MEDIO_MASC,Inteiro
QT_TEC_SUPERIOR_FEM,Inteiro
QT_TEC_SUPERIOR_MASC,Inteiro
QT_TEC_ESPECIALIZACAO_FEM,Inteiro
QT_TEC_ESPECIALIZACAO_MASC,Inteiro
QT_TEC_MESTRADO_FEM,Inteiro
QT_TEC_MESTRADO_MASC,Inteiro
QT_TEC_DOUTORADO_FEM,Inteiro
QT_TEC_DOUTORADO_MASC,Inteiro
IN_ACESSO_PORTAL_CAPES,Inteiro
IN_ACESSO_OUTRAS_BASES,Inteiro
IN_ASSINA_OUTRA_BASE,Inteiro
IN_REPOSITORIO_INSTITUCIONAL,Inteiro
IN_BUSCA_INTEGRADA,Inteiro
IN_SERVICO_INTERNET,Inteiro
IN_PARTICIPA_REDE_SOCIAL,Inteiro
IN_CATALOGO_ONLINE,Inteiro
QT_PERIODICO_ELETRONICO,Inteiro
QT_LIVRO_ELETRONICO,Inteiro
QT_DOC_TOTAL,Inteiro
QT_DOC_EXE,Inteiro
QT_DOC_EX_FEMI,Inteiro
QT_DOC_EX_MASC,Inteiro
QT_DOC_EX_SEM_GRAD,Inteiro
QT_DOC_EX_GRAD,Inteiro
QT_DOC_EX_ESP,Inteiro
QT_DOC_EX_MEST,Inteiro
QT_DOC_EX_DOUT,Inteiro
QT_DOC_EX_INT,Inteiro
QT_DOC_EX_INT_DE,Inteiro
QT_DOC_EX_INT_SEM_DE,Inteiro
QT_DOC_EX_PARC,Inteiro
QT_DOC_EX_HOR,Inteiro
QT_DOC_EX_0_29,Inteiro
QT_DOC_EX_30_34,Inteiro
QT_DOC_EX_35_39,Inteiro
QT_DOC_EX_40_44,Inteiro
QT_DOC_EX_45_49,Inteiro
QT_DOC_EX_50_54,Inteiro
QT_DOC_EX_55_59,Inteiro
QT_DOC_EX_60_MAIS,Inteiro
QT_DOC_EX_BRANCA,Inteiro
QT_DOC_EX_PRETA,Inteiro
QT_DOC_EX_PARDA,Inteiro
QT_DOC_EX_AMARELA,Inteiro
QT_DOC_EX_INDIGENA,Inteiro
QT_DOC_EX_COR_ND,Inteiro
QT_DOC_EX_BRA,Inteiro
QT_DOC_EX_EST,Inteiro
QT_DOC_EX_COM_DEFICIENCIA,Inteiro
