NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_CATEGORIA_ADMINISTRATIVA,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2010,Centro-Oeste,5,Mato Grosso,MT,51,Alta Floresta,5100250,0,Norte Mato-grossense,1,Alta Floresta,2,3,5,UNIFLOR - UNIÃO DAS FACULDADES DE ALTA FLORESTA - MT,683,930,FACULDADE DE EDUCAÇÃO DE ALTA FLORESTA,FEAFLOR,Avenida Leandro Adorno,s/n,,Alta Floresta,78580000,22,0,0,0,0,11,4,1,1,3,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,22,20,12,8,0,0,13,5,2,3,3,0,3,14,1,3,1,5,4,3,0,3,13,1,3,0,0,3,20,0,0
2010,Sudeste,3,Espírito Santo,ES,32,Serra,3205002,0,Central Espírito-santense,3,Vitória,9,3,5,INSTITUTO BATISTA DE EDUCAÇÃO DE VITÓRIA,742,1342,FACULDADE DE PEDAGOGIA DA SERRA,FABAVI,Rua 1d,80,,CIVIT II,29165157,37,0,0,2,0,10,7,4,3,3,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,17,17,10,7,0,0,1,11,5,3,0,3,0,14,0,2,2,4,5,3,1,0,10,0,5,0,0,0,17,0,0
2010,Sudeste,3,Minas Gerais,MG,31,Belo Horizonte,3106200,1,Metropolitana de Belo Horizonte,7,Belo Horizonte,30,3,5,JUNTA DE EDUCAÇÃO DA CONVENÇÃO BATISTA MINEIRA,898,1346,FACULDADE BATISTA DE MINAS GERAIS,FBMG,Rua Ponte Nova,665,,Floresta,31110150,38,2,4,4,0,8,10,5,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,53,17,36,0,0,12,35,6,10,0,10,16,27,3,11,18,6,10,3,2,0,39,0,8,0,0,3,53,0,1
2010,Norte,1,Acre,AC,12,Rio Branco,1200401,1,Vale do Acre,2,Rio Branco,4,3,4,SOCIEDADE DE ENSINO SUPERIOR DO ACRE  LTDA- AESACRE,801,1226,INSTITUTO DE ENSINO SUPERIOR DO ACRE,IESACRE,Travessa Ponta Porã,100,,José Augusto,69910100,140,1,1,25,15,49,27,14,4,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,23,11,12,0,0,15,8,0,4,1,3,11,8,2,4,9,2,4,1,0,1,2,0,20,0,0,1,23,0,0
2010,Nordeste,2,Rio Grande do Norte,RN,24,Natal,2408102,1,Leste Potiguar,4,Natal,18,3,5,CENTRO INTEGRADO PARA FORMAÇÃO DE EXECUTIVOS,485,724,"FACULDADE DE CIÊNCIAS, CULTURA E EXTENSÃO DO RIO GRANDE DO NORTE",FACEX,Rua Orlando Silva,2896,,Capim Macio,59080020,110,0,0,0,0,38,30,21,5,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,165,162,91,71,0,0,71,74,17,41,0,41,26,95,23,39,34,18,25,7,6,10,68,4,45,0,0,31,160,2,1
2010,Sudeste,3,Minas Gerais,MG,31,Itabirito,3131901,0,Metropolitana de Belo Horizonte,7,Ouro Preto,33,3,5,FUNDAÇÃO JOSÉ BONIFÁCIO LAFAYETTE DE ANDRADA,220,1254,FACULDADE DE ADMINISTRAÇÃO DE ITABIRITO,FAI,Rua Matozinhos,293,,Matozinhos,35450000,13,2,1,0,0,2,0,3,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,20,17,10,7,0,0,8,9,0,0,0,0,1,16,0,4,9,1,3,0,0,0,0,0,0,0,0,1,17,0,0
2010,Centro-Oeste,5,Goiás,GO,52,Goiânia,5208707,1,Centro Goiano,3,Goiânia,10,3,4,CENTRO TECNOLÓGICO CAMBURY LTDA.,795,1160,FACULDADE CAMBURY,CAMBURY,Avenida C 07,1094,Quadra 08 Lote 01 E,Setor Sol Nascente,74410220,109,0,0,2,7,20,18,26,16,9,8,2,1,0,0,1,0,0,0,0,0,0,0,0,0,180,155,76,79,54,5,60,34,2,0,0,0,0,155,20,51,29,19,23,6,6,1,17,2,7,0,0,103,155,0,0
2010,Nordeste,2,Piauí,PI,22,Teresina,2211001,1,Centro-Norte Piauiense,2,Teresina,3,3,4,CENTRO DE ENSINO UNIFICADO DE TERESINA,645,916,FACULDADE DE CIÊNCIAS HUMANAS E JURÍDICAS DE TERESINA,FACULDADE CEUT,Avenida dos Expedicionários,790,,São João,64046700,122,4,12,6,11,39,22,9,9,7,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,221,216,113,103,0,3,148,63,2,13,0,13,64,139,24,43,56,37,20,15,8,13,64,2,89,0,0,61,216,0,0
2010,Norte,1,Rondônia,RO,11,Porto Velho,1100205,1,Madeira-Guaporé,1,Porto Velho,1,3,4,UNIÃO DAS ESCOLAS SUPERIORES DE RONDÔNIA LTDA.,1144,1515,FACULDADE DE EDUCAÇÃO DE PORTO VELHO,UNIRON,Avenida Mamoré,1403,,3 Marias,78910541,18,0,0,3,2,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,41,26,15,0,0,20,18,3,4,1,3,7,30,7,9,4,5,9,2,5,0,10,2,13,0,1,13,41,0,0
2010,Sudeste,3,São Paulo,SP,35,Osasco,3534401,0,Metropolitana de São Paulo,15,Osasco,57,2,5,FUNDAÇÃO INSTITUTO DE ENSINO PARA OSASCO,176,244,CENTRO UNIVERSITÁRIO FIEO,UNIFIEO,"Rua Narciso Sturlini, 883",883,,Bussocaba,6018903,289,17,30,6,18,71,71,42,27,2,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,395,381,152,229,0,22,39,206,114,73,0,73,32,276,12,29,56,47,72,57,42,66,290,7,12,13,1,40,375,6,0
