NU_ANO_CENSO,NO_REGIAO_IES,CO_REGIAO_IES,NO_UF_IES,SG_UF_IES,CO_UF_IES,NO_MUNICIPIO_IES,CO_MUNICIPIO_IES,IN_CAPITAL_IES,NO_MESORREGIAO_IES,CO_MESORREGIAO_IES,NO_MICRORREGIAO_IES,CO_MICRORREGIAO_IES,TP_ORGANIZACAO_ACADEMICA,TP_REDE,TP_CATEGORIA_ADMINISTRATIVA,IN_COMUNITARIA,IN_CONFESSIONAL,NO_MANTENEDORA,CO_MANTENEDORA,CO_IES,NO_IES,SG_IES,DS_ENDERECO_IES,DS_NUMERO_ENDERECO_IES,DS_COMPLEMENTO_ENDERECO_IES,NO_BAIRRO_IES,NU_CEP_IES,QT_TEC_TOTAL,QT_TEC_FUNDAMENTAL_INCOMP_FEM,QT_TEC_FUNDAMENTAL_INCOMP_MASC,QT_TEC_FUNDAMENTAL_COMP_FEM,QT_TEC_FUNDAMENTAL_COMP_MASC,QT_TEC_MEDIO_FEM,QT_TEC_MEDIO_MASC,QT_TEC_SUPERIOR_FEM,QT_TEC_SUPERIOR_MASC,QT_TEC_ESPECIALIZACAO_FEM,QT_TEC_ESPECIALIZACAO_MASC,QT_TEC_MESTRADO_FEM,QT_TEC_MESTRADO_MASC,QT_TEC_DOUTORADO_FEM,QT_TEC_DOUTORADO_MASC,IN_ACESSO_PORTAL_CAPES,IN_ACESSO_OUTRAS_BASES,IN_ASSINA_OUTRA_BASE,IN_REPOSITORIO_INSTITUCIONAL,IN_BUSCA_INTEGRADA,IN_SERVICO_INTERNET,IN_PARTICIPA_REDE_SOCIAL,IN_CATALOGO_ONLINE,QT_PERIODICO_ELETRONICO,QT_LIVRO_ELETRONICO,QT_DOC_TOTAL,QT_DOC_EXE,QT_DOC_EX_FEMI,QT_DOC_EX_MASC,QT_DOC_EX_SEM_GRAD,QT_DOC_EX_GRAD,QT_DOC_EX_ESP,QT_DOC_EX_MEST,QT_DOC_EX_DOUT,QT_DOC_EX_INT,QT_DOC_EX_INT_DE,QT_DOC_EX_INT_SEM_DE,QT_DOC_EX_PARC,QT_DOC_EX_HOR,QT_DOC_EX_0_29,QT_DOC_EX_30_34,QT_DOC_EX_35_39,QT_DOC_EX_40_44,QT_DOC_EX_45_49,QT_DOC_EX_50_54,QT_DOC_EX_55_59,QT_DOC_EX_60_MAIS,QT_DOC_EX_BRANCA,QT_DOC_EX_PRETA,QT_DOC_EX_PARDA,QT_DOC_EX_AMARELA,QT_DOC_EX_INDIGENA,QT_DOC_EX_COR_ND,QT_DOC_EX_BRA,QT_DOC_EX_EST,QT_DOC_EX_COM_DEFICIENCIA
2023,Nordeste,2,Rio Grande do Norte,RN,24,Natal,2408102,1,Leste Potiguar,4,Natal,18,2,2,5,0,0,LIGA DE ENSINO DO RIO GRANDE DO NORTE,846,1264,CENTRO UNIVERSITÁRIO DO RIO GRANDE DO NORTE,UNI-RN,Rua Prefeita Eliane Barros,2000,-,Tirol,59014540.0,111,0,0,0,8,14,19,24,17,19,9,1,0,0,0,0,0,1,1,0,1,1,1,34,27000,140,126,60,66,0,0,16,60,50,56,9,47,70,0,0,8,23,20,29,21,7,18,105,2,18,0,0,1,126,0,4
2023,Sudeste,3,Minas Gerais,MG,31,Brumadinho,3109006,0,Metropolitana de Belo Horizonte,7,Belo Horizonte,30,3,2,4,0,0,INSTITUICAO EDUCACIONAL CECILIA MARIA DE MELO BARCELOS LTDA,1096,1670,FACULDADE ASA DE BRUMADINHO,IECEMB - FAB,Rodovia Mg 040,Km 49,-,.,35460000.0,41,0,2,4,8,3,4,5,4,3,7,1,0,0,0,0,0,0,1,0,1,1,1,120,0,28,28,7,21,0,0,2,24,2,6,3,3,20,2,0,3,3,7,6,3,3,3,19,2,2,0,0,5,28,0,1
2023,Nordeste,2,Pernambuco,PE,26,Recife,2611606,1,Metropolitana de Recife,5,Recife,17,2,2,4,0,0,SOCIEDADE CULTURAL E EDUCACIONAL SANTA RITA DE CASSIA LTDA - ME,1101,1676,CENTRO UNIVERSITÁRIO SÃO MIGUEL,UNISÃOMIGUEL,Edifício Portal da Boa Vista,130,NOVA SEDE - Fernandes Vieira n.130,Boa Vista,50050903.0,32,0,0,0,1,8,5,5,9,1,1,2,0,0,0,0,0,1,0,1,1,1,0,165,2810,129,58,34,24,0,0,4,38,16,13,0,13,43,2,1,4,11,9,13,10,4,6,18,0,34,1,0,5,58,0,0
2023,Sul,4,Santa Catarina,SC,42,Joinville,4209102,0,Norte Catarinense,2,Joinville,8,3,2,5,1,0,CAMPANHA NACIONAL DE ESCOLAS DA COMUNIDADE,407,1530,Faculdade CNEC Joinville,,Rua Coronel Francisco Gomes,1290,-,Anita Garibaldi,89202250.0,7,0,0,0,0,1,5,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,1,10,13350,11,11,8,3,0,0,3,6,2,1,1,0,10,0,2,2,2,2,3,0,0,0,10,0,1,0,0,0,11,0,0
2023,Centro-Oeste,5,Mato Grosso do Sul,MS,50,Ponta Porã,5006606,0,Sudoeste de Mato Grosso do Sul,4,Dourados,10,3,2,5,0,0,ASSOCIACAO DE ENSINO SUPERIOR PONTAPORANENSE-AESP,15808,940,Faculdades Magsul,FAMAG,Avenida Presidente Vargas,725,- de 413 a 1799 - lado ímpar,Centro,79904616.0,25,0,0,2,1,5,6,6,1,1,1,0,0,2,0,1,0,0,1,1,1,1,1,9477,3715,55,52,27,25,0,0,19,23,10,5,5,0,16,31,4,6,10,10,9,5,3,5,32,1,12,1,0,6,52,0,0
2023,Nordeste,2,Piauí,PI,22,Teresina,2211001,1,Centro-Norte Piauiense,2,Teresina,3,2,2,4,0,0,INSTITUTO DE ENSINO SUPERIOR DO PIAUI S.A.,16550,1563,CENTRO UNIVERSITÁRIO UNINOVAFAPI,UNINOVAFAPI,Rua Vitorino Orthiges Fernandes,6123,-,Uruguai,64073505.0,212,0,1,0,3,52,39,40,15,28,20,3,4,3,4,1,0,1,1,1,1,0,1,20756,12000,230,230,124,106,0,0,78,90,62,34,0,34,190,6,13,49,53,31,33,19,21,11,28,4,25,1,0,172,230,0,1
2023,Sul,4,Santa Catarina,SC,42,Florianópolis,4205407,1,Grande Florianópolis,5,Florianópolis,16,3,2,4,0,0,CESUSC - COMPLEXO DE ENSINO SUPERIOR DE SANTA CATARINA LTDA,973,1469,FACULDADE CESUSC,,"Rodovia SC 401, Km 10",s/n,CAMPUS  - FLORIANÓPOLIS - SANTO ANTÔNIO DE LISBOA,Santo Antônio de Lisboa,88050001.0,61,4,2,1,2,20,6,9,4,10,1,2,0,0,0,0,0,1,1,1,1,0,1,802,23156,129,129,59,70,0,0,29,71,29,17,0,17,59,53,5,21,25,26,19,24,6,3,107,1,5,0,0,16,125,4,1
2023,Sudeste,3,Espírito Santo,ES,32,Castelo,3201407,0,Sul Espírito-santense,4,Cachoeiro de Itapemirim,12,3,2,4,0,0,"MULTIVIX CACHOEIRO  ENSINO, PESQUISA E EXTENSAO LTDA",833,1245,Faculdade de Castelo - Multivix Castelo,Multivix Castelo,Avenida Nicanor Marques,245,-,Centro,29360000.0,9,0,0,1,0,1,1,2,0,2,0,1,1,0,0,0,0,1,1,1,1,0,0,5000,23000,42,42,27,15,0,0,16,15,11,0,0,0,35,7,3,12,13,8,5,1,0,0,27,0,6,0,0,9,42,0,0
2023,Sudeste,3,São Paulo,SP,35,Praia Grande,3541000,0,Metropolitana de São Paulo,15,Santos,63,3,2,4,0,0,SERVICOS EDUCACIONAIS DO LITORAL PAULISTA LTDA.,1247,1898,FACULDADE DO LITORAL SUL PAULISTA,FALS,Rua Marechal Eurico Gaspar Dutra,836,-,Canto do Forte,11700330.0,18,0,0,0,0,2,6,6,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,28,28,14,14,0,0,6,13,9,15,0,15,13,0,0,2,4,6,5,5,2,4,20,0,3,0,0,5,28,0,0
2023,Sudeste,3,Minas Gerais,MG,31,Barbacena,3105608,0,Campo das Vertentes,11,Barbacena,59,3,2,5,0,0,FUNDACAO JOSE BONIFACIO LAFAYETTE DE ANDRADA,220,307,FACULDADE DE MEDICINA DE BARBACENA,FAME,Praça Presidente Antônio Carlos,08,-,São Sebastião,36202336.0,190,1,2,2,1,17,8,49,19,32,9,16,19,5,10,0,0,1,1,1,1,1,1,50,13000,102,101,41,60,0,0,34,41,26,3,0,3,78,20,1,7,16,7,17,16,12,25,88,1,1,0,0,11,101,0,0
