NU_ANO,CO_CURSO,PESO_AMOSTRA,TP_INSCRICAO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO
2004,37,1.5333,0,1,1,10028,5,5103403,51,5
2004,140,1.12,0,2,1,10028,12,5300108,53,5
2004,140,1.12,0,2,1,10028,12,5300108,53,5
2004,135,2.7916,0,2,1,10028,17,5300108,53,5
2004,19,1.1785,1,1,1,10028,35,5103403,51,5
2004,135,3.0869,1,2,1,10028,17,5300108,53,5
2004,135,2.7916,0,2,1,10028,17,5300108,53,5
2004,37,1.0869,1,1,1,10028,5,5103403,51,5
2004,142,1.64,0,2,1,10028,35,5300108,53,5
2004,9,1.3043,1,1,1,10028,17,5103403,51,5
2004,142,1.25,1,2,1,10028,35,5300108,53,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,135,2.7916,0,2,1,10028,17,5300108,53,5
2004,143,2.6428,0,2,1,10028,23,5300108,53,5
2004,143,2.6428,0,2,1,10028,23,5300108,53,5
2004,143,1.2564,1,2,1,10028,23,5300108,53,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,143,1.2564,1,2,1,10028,23,5300108,53,5
2004,141,1.6428,1,2,1,10028,6,5300108,53,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,126,1.8518,1,2,1,10028,38,5300108,53,5
2004,9,1.2857,0,1,1,10028,17,5103403,51,5
2004,19,1.2083,0,1,1,10028,35,5103403,51,5
2004,37,1.5333,0,1,1,10028,5,5103403,51,5
2004,9,1.2857,0,1,1,10028,17,5103403,51,5
2004,12,1.3333,1,1,1,10028,12,5103403,51,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,143,2.6428,0,2,1,10028,23,5300108,53,5
2004,143,1.2564,1,2,1,10028,23,5300108,53,5
2004,143,2.6428,0,2,1,10028,23,5300108,53,5
2004,19,1.2083,0,1,1,10028,35,5103403,51,5
2004,9,1.3043,1,1,1,10028,17,5103403,51,5
2004,135,3.0869,1,2,1,10028,17,5300108,53,5
2004,37,1.0869,1,1,1,10028,5,5103403,51,5
2004,19,1.1785,1,1,1,10028,35,5103403,51,5
2004,9,1.2857,0,1,1,10028,17,5103403,51,5
2004,140,1.12,0,2,1,10028,12,5300108,53,5
2004,126,1.3478,0,2,1,10028,38,5300108,53,5
2004,143,1.2564,1,2,1,10028,23,5300108,53,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,17,1.2727,0,1,1,10028,23,5103403,51,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,17,1.2727,0,1,1,10028,23,5103403,51,5
2004,143,2.6428,0,2,1,10028,23,5300108,53,5
2004,17,1.2727,0,1,1,10028,23,5103403,51,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,143,2.6428,0,2,1,10028,23,5300108,53,5
2004,126,1.3478,0,2,1,10028,38,5300108,53,5
2004,20,1.2666,1,1,1,10028,28,5103403,51,5
2004,142,1.25,1,2,1,10028,35,5300108,53,5
2004,126,1.8518,1,2,1,10028,38,5300108,53,5
2004,143,1.2564,1,2,1,10028,23,5300108,53,5
2004,12,1.2121,0,1,1,10028,12,5103403,51,5
2004,126,1.8518,1,2,1,10028,38,5300108,53,5
2004,7,1.2444,1,1,1,10028,38,5103403,51,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,126,1.8518,1,2,1,10028,38,5300108,53,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,12,1.3333,1,1,1,10028,12,5103403,51,5
2004,142,1.25,1,2,1,10028,35,5300108,53,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,37,1.5333,0,1,1,10028,5,5103403,51,5
2004,9,1.2857,0,1,1,10028,17,5103403,51,5
2004,126,1.8518,1,2,1,10028,38,5300108,53,5
2004,140,1.12,0,2,1,10028,12,5300108,53,5
2004,135,3.0869,1,2,1,10028,17,5300108,53,5
2004,142,1.64,0,2,1,10028,35,5300108,53,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,37,1.5333,0,1,1,10028,5,5103403,51,5
2004,7,1.2444,1,1,1,10028,38,5103403,51,5
2004,37,1.0869,1,1,1,10028,5,5103403,51,5
2004,126,1.3478,0,2,1,10028,38,5300108,53,5
2004,140,1.12,0,2,1,10028,12,5300108,53,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,135,2.7916,0,2,1,10028,17,5300108,53,5
2004,7,1.2444,1,1,1,10028,38,5103403,51,5
2004,126,1.3478,0,2,1,10028,38,5300108,53,5
2004,17,1.6428,1,1,1,10028,23,5103403,51,5
2004,135,2.7916,0,2,1,10028,17,5300108,53,5
2004,7,1.2444,1,1,1,10028,38,5103403,51,5
2004,12,1.2121,0,1,1,10028,12,5103403,51,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,17,1.2727,0,1,1,10028,23,5103403,51,5
2004,126,1.3478,0,2,1,10028,38,5300108,53,5
2004,144,1.4444,1,2,1,10028,28,5300108,53,5
2004,140,2.3142,1,2,1,10028,12,5300108,53,5
2004,141,1.1612,0,2,1,10028,6,5300108,53,5
2004,17,1.2727,0,1,1,10028,23,5103403,51,5
2004,19,1.1785,1,1,1,10028,35,5103403,51,5
2004,20,1.2666,1,1,1,10028,28,5103403,51,5
2004,37,1.5333,0,1,1,10028,5,5103403,51,5
2004,12,1.3333,1,1,1,10028,12,5103403,51,5
2004,141,1.1612,0,2,1,10028,6,5300108,53,5
2004,20,1.2666,1,1,1,10028,28,5103403,51,5
2004,141,1.6428,1,2,1,10028,6,5300108,53,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,7,1.3508,0,1,1,10028,38,5103403,51,5
2004,142,1.64,0,2,1,10028,35,5300108,53,5
