arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_ANO,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_INSCRICAO,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_COMP1,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_COMP2,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_COMP3,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_COMP4,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_COMP5,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_REDACAO,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,TP_FAIXA_ETARIA,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,TP_SEXO,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,TP_STATUS_REDACAO,presente em ambos arquivos,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,CO_MUNICIPIO_RESIDENCIA,somente no arquivo_1,NO_MUNICIPIO_ESC/CO_MUNICIPIO_ESC/NO_MUNICIPIO_PROVA/CO_MUNICIPIO_PROVA
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,CO_PROVA,somente no arquivo_1,CO_PROVA_CH/CO_PROVA_MT/CO_PROVA_CN/CO_PROVA_LC/CO_UF_PROVA
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,CO_UF_RESIDENCIA,somente no arquivo_1,CO_UF_ESC
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,IN_QSE,somente no arquivo_1,
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NO_MUNICIPIO_RESIDENCIA,somente no arquivo_1,NO_MUNICIPIO_ESC/CO_MUNICIPIO_ESC/NO_MUNICIPIO_PROVA/CO_MUNICIPIO_PROVA
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,NU_NOTA_OBJETIVA,somente no arquivo_1,NU_NOTA_MT
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q1,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q10,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q100,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q101,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q102,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q103,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
MICRODADOS_ENEM_1998.csv,MICRODADOS_ENEM_2023.csv,Q104,somente no arquivo_1,Q017/Q012/Q013/Q010/Q018/Q002/Q007/Q015/Q003/Q006/Q021/Q001/Q008/Q019/Q023/Q016/Q025/Q014/Q024/Q009/Q022/Q020/Q005/Q011/Q004
