Coluna,Tipo
NU_ANO_CENSO,Inteiro
NO_REGIAO,String
CO_REGIAO,Inteiro
NO_UF,String
SG_UF,String
CO_UF,Inteiro
NO_MUNICIPIO,String
CO_MUNICIPIO,Inteiro
NO_REGIAO_GEOG_INTERM,String
CO_REGIAO_GEOG_INTERM,Inteiro
NO_REGIAO_GEOG_IMED,String
CO_REGIAO_GEOG_IMED,Inteiro
NO_MESORREGIAO,String
CO_MESORREGIAO,Inteiro
NO_MICRORREGIAO,String
CO_MICRORREGIAO,Inteiro
NO_DISTRITO,String
CO_DISTRITO,Inteiro
NO_ENTIDADE,String
CO_ENTIDADE,Inteiro
TP_DEPENDENCIA,Inteiro
TP_CATEGORIA_ESCOLA_PRIVADA,Float
TP_LOCALIZACAO,Inteiro
TP_LOCALIZACAO_DIFERENCIADA,Float
DS_ENDERECO,String
NU_ENDERECO,String
DS_COMPLEMENTO,String
NO_BAIRRO,String
CO_CEP,Inteiro
NU_DDD,Float
NU_TELEFONE,Float
TP_SITUACAO_FUNCIONAMENTO,Inteiro
CO_ORGAO_REGIONAL,Float
DT_ANO_LETIVO_INICIO,String
DT_ANO_LETIVO_TERMINO,String
IN_VINCULO_SECRETARIA_EDUCACAO,Float
IN_VINCULO_SEGURANCA_PUBLICA,Float
IN_VINCULO_SECRETARIA_SAUDE,Float
IN_VINCULO_OUTRO_ORGAO,Float
IN_PODER_PUBLICO_PARCERIA,Float
TP_PODER_PUBLICO_PARCERIA,Float
IN_FORMA_CONT_TERMO_COLABORA,Float
IN_FORMA_CONT_TERMO_FOMENTO,Float
IN_FORMA_CONT_ACORDO_COOP,Float
IN_FORMA_CONT_PRESTACAO_SERV,Float
IN_FORMA_CONT_COOP_TEC_FIN,Float
IN_FORMA_CONT_CONSORCIO_PUB,Float
IN_FORMA_CONT_MU_TERMO_COLAB,Float
IN_FORMA_CONT_MU_TERMO_FOMENTO,Float
IN_FORMA_CONT_MU_ACORDO_COOP,Float
IN_FORMA_CONT_MU_PREST_SERV,Float
IN_FORMA_CONT_MU_COOP_TEC_FIN,Float
IN_FORMA_CONT_MU_CONSORCIO_PUB,Float
IN_FORMA_CONT_ES_TERMO_COLAB,Float
IN_FORMA_CONT_ES_TERMO_FOMENTO,Float
IN_FORMA_CONT_ES_ACORDO_COOP,Float
IN_FORMA_CONT_ES_PREST_SERV,Float
IN_FORMA_CONT_ES_COOP_TEC_FIN,Float
IN_FORMA_CONT_ES_CONSORCIO_PUB,Float
IN_MANT_ESCOLA_PRIVADA_EMP,Float
IN_MANT_ESCOLA_PRIVADA_ONG,Float
IN_MANT_ESCOLA_PRIVADA_OSCIP,Float
IN_MANT_ESCOLA_PRIV_ONG_OSCIP,Float
