Coluna,Tipo
MASCARA,Inteiro
NR_ANO,Inteiro
NO_DISTRITO,String
CODMUNIC,Inteiro
NO_MUNICIPIO,String
EH_CAPITAL,String
SG_UF,String
NO_UF,String
NO_REGIAO,String
IN_FUNCIONAMENTO,Inteiro
IN_DEP_ADM,Inteiro
IN_NATUREZA,Inteiro
QT_SERV_SEM_ESCOLARIDADE,Float
QT_SERV_COM_1GRAU,Float
QT_SERV_COM_2GRAU,Inteiro
QT_SERV_COM_SUPERIOR,Inteiro
QT_SERV_COM_ESPECIALIZACAO,Inteiro
QT_SERV_COM_MESTRADO,Inteiro
QT_SERV_COM_DOUTORADO,Inteiro
QT_TOTAL_SERVIDORES,Inteiro
QT_TOTAL_SERVIDORES_ESTAB,Inteiro
QT_DOCEN_FEMI_AFAST,Inteiro
QT_DOCEN_MASC_AFAST,Inteiro
QT_DOCEN_MASC_EXERC,Inteiro
QT_DOCEN_FEMI_EXERC,Inteiro
QT_DOCEN_AFAST_CURS_POS,Inteiro
QT_DOCEN_AFAST_OUTROS_MOT,Inteiro
QT_DOCEN_PARC_SEM_GRADU,Inteiro
QT_DOCEN_INT_SEM_GRADU,Inteiro
QT_DOCEN_PARC_GRADU,Inteiro
QT_DOCEN_INT_GRADU,Inteiro
QT_DOCEN_PARC_ESPEC,Inteiro
QT_DOCEN_INT_ESPEC,Inteiro
QT_DOCEN_PARC_MESTRADO,Inteiro
QT_DOCEN_INT_MESTRADO,Inteiro
QT_DOCEN_PARC_DOUTORADO,Inteiro
QT_DOCEN_INT_DOUTORADO,Inteiro
