arquivo_1,arquivo_2,coluna,comparacao,possiveis_candidatas
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CODMUNIC,presente em ambos arquivos,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,EH_CAPITAL,presente em ambos arquivos,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,MASCARA,presente em ambos arquivos,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,IN_DEP_ADM,somente no arquivo_1,CATEGADM
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,IN_FUNCIONAMENTO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,IN_NATUREZA,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,NO_DISTRITO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,NO_MUNICIPIO,somente no arquivo_1,MUNICIPIO
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,NO_REGIAO,somente no arquivo_1,REGIAO
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,NO_UF,somente no arquivo_1,NOMEUF/COD_UF
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,NR_ANO,somente no arquivo_1,ANO
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_AFAST_CURS_POS,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_AFAST_OUTROS_MOT,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_FEMI_AFAST,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_FEMI_EXERC,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_INT_DOUTORADO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_INT_ESPEC,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_INT_GRADU,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_INT_MESTRADO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_INT_SEM_GRADU,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_MASC_AFAST,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_MASC_EXERC,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_PARC_DOUTORADO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_PARC_ESPEC,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_PARC_GRADU,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_PARC_MESTRADO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_DOCEN_PARC_SEM_GRADU,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_COM_1GRAU,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_COM_2GRAU,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_COM_DOUTORADO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_COM_ESPECIALIZACAO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_COM_MESTRADO,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_COM_SUPERIOR,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_SERV_SEM_ESCOLARIDADE,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_TOTAL_SERVIDORES,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,QT_TOTAL_SERVIDORES_ESTAB,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,SG_UF,somente no arquivo_1,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,ANO,somente no arquivo_2,NR_ANO
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CATADM,somente no arquivo_2,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CATADMCOMUN,somente no arquivo_2,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CATADMCONFESS,somente no arquivo_2,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CATADMFILANT,somente no arquivo_2,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CATADMPARTSE,somente no arquivo_2,
INSTITUICAO_1995.CSV,INSTITUICAO_2000.CSV,CATEGADM,somente no arquivo_2,IN_DEP_ADM
