NU_INSCRICAO,NU_ANO,TP_FAIXA_ETARIA,TP_SEXO,TP_ESTADO_CIVIL,TP_COR_RACA,TP_NACIONALIDADE,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,TP_ENSINO,IN_TREINEIRO,CO_MUNICIPIO_ESC,NO_MUNICIPIO_ESC,CO_UF_ESC,SG_UF_ESC,TP_DEPENDENCIA_ADM_ESC,TP_LOCALIZACAO_ESC,TP_SIT_FUNC_ESC,CO_MUNICIPIO_PROVA,NO_MUNICIPIO_PROVA,CO_UF_PROVA,SG_UF_PROVA,TP_PRESENCA_CN,TP_PRESENCA_CH,TP_PRESENCA_LC,TP_PRESENCA_MT,CO_PROVA_CN,CO_PROVA_CH,CO_PROVA_LC,CO_PROVA_MT,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TX_RESPOSTAS_CN,TX_RESPOSTAS_CH,TX_RESPOSTAS_LC,TX_RESPOSTAS_MT,TP_LINGUA,TX_GABARITO_CN,TX_GABARITO_CH,TX_GABARITO_LC,TX_GABARITO_MT,TP_STATUS_REDACAO,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q003,Q004,Q005,Q006,Q007,Q008,Q009,Q010,Q011,Q012,Q013,Q014,Q015,Q016,Q017,Q018,Q019,Q020,Q021,Q022,Q023,Q024,Q025
210059974471,2023,12,F,1,3,1,1,14,1,,0,,,,,,,,2700300,Arapiraca,27,AL,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,D,A,A,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,B,B
210060811460,2023,7,F,1,3,1,1,4,1,,0,,,,,,,,2304400,Fortaleza,23,CE,0,1,1,0,,1192.0,1202.0,,,541.0,486.0,,,DDAABEADBCADAEBCBDCEEEACADACBDBCDCEBEABDBABCD,DCBAACCEADDACCBBCBBBEBCAAAADBEBEBDCDBEADDDAAE,,0,,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,,1.0,120.0,120.0,120.0,120.0,140.0,620.0,A,B,F,B,3,C,A,B,C,A,A,B,A,A,A,B,A,A,B,A,B,C,A,A,B
210060214119,2023,7,M,1,2,1,1,5,1,,0,,,,,,,,2908002,Coaraci,29,BA,0,0,0,0,,,,,,,,,,,,,0,,,,,,,,,,,,E,D,A,C,4,D,A,B,D,B,A,B,A,A,A,A,A,A,B,A,A,D,A,B,B
210058073308,2023,11,F,1,3,1,1,0,1,,0,,,,,,,,4104204,Campo Largo,41,PR,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,B,C,B,F,4,C,A,B,C,A,A,B,A,B,B,B,A,B,C,A,B,D,A,A,B
210060801620,2023,3,F,1,3,1,1,1,1,,0,,,,,,,,3143302,Montes Claros,31,MG,1,1,1,1,1222.0,1191.0,1201.0,1212.0,590.5,579.3,588.7,563.5,DAABDDAACBCEACBBAEDECAEDCBAAEECEDBEADCCADBABC,CDCADCBBCDCEAADEBBDBABCCDADADCDEAADDBCDBEAADA,ACEBADACEEDBBDBABCDEDCCEECEDCABCABACCABCBEAAE,CCDCBBDCCABCEECCEEDBCCDBBABDBDABACADDEADBDBEC,1,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1.0,160.0,180.0,140.0,140.0,180.0,800.0,D,B,C,B,3,B,A,B,C,A,A,B,A,A,A,A,A,A,B,A,A,C,A,A,B
210060376441,2023,13,M,2,2,1,1,17,1,,0,,,,,,,,3106200,Belo Horizonte,31,MG,0,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,C,D,B,B,3,A,A,B,C,A,A,B,A,B,A,B,A,A,B,A,A,C,A,B,A
210061244824,2023,3,F,1,1,1,2,0,2,1.0,0,3525904.0,Jundiaí,35.0,SP,2.0,1.0,1.0,3525904,Jundiaí,35,SP,1,1,1,1,1221.0,1193.0,1204.0,1211.0,435.9,522.8,507.4,469.6,ABABECBDBCBDDEAEBBBCEABCEBEBCEACBBEADCEACADDD,CCDEABBCBCDAAEEDBDDADCDDEACEDECEEDCBEECDABBCA,BDAECBBCDAEDCBACEADBBDCBEBADCCEEAEBBEDDCEDDED,CDACEDEDDBEEDDDABCCBACCBDEDDDECCCBBDCEEEABBBD,0,DBEABDABDCACDBECDDDBCAAABBACCCADEBECCCEDAEEED,ACEEABAADCDAADEABCDABCDCABCBDADEBAECABADBCDAE,DBABBAEBAAAACDACDEDAACADBADBCCEACCCEAAECBBEBCACEED,BCCDEEABCBEDCEABBEBDABDDADDADECAADDCCBEBEABCC,1.0,140.0,120.0,120.0,140.0,100.0,620.0,E,E,C,C,4,D,A,B,C,B,A,B,A,B,A,B,A,A,B,A,A,A,A,A,B
210059982340,2023,2,F,1,3,1,3,0,1,,1,,,,,,,,2411205,Santa Cruz,24,RN,1,1,1,1,1223.0,1194.0,1203.0,1213.0,531.2,580.7,563.7,597.7,CBDECDEBCDEBAAECBADEBDEDEDCDBCBECEBECCADBEBDC,AECACBCACEDCEADBEABADCEEBDDEADABCDCEBADCDAADE,BAACECAEABBDACABCBADACBADBCCEDEDABCBBAEBDECCD,ECDEEACAAEDCCCBDCABDCDBCBADEAECDECDCACBCDABAA,1,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,1.0,120.0,120.0,120.0,120.0,120.0,600.0,C,E,A,A,4,B,A,B,C,B,B,B,A,A,A,B,A,A,B,A,A,D,A,A,B
210061348783,2023,3,M,1,3,1,2,0,2,1.0,0,5103403.0,Cuiabá,51.0,MT,2.0,1.0,1.0,5103403,Cuiabá,51,MT,1,1,1,1,1224.0,1192.0,1202.0,1214.0,451.0,479.1,504.1,405.5,BABEDEBBDEBAEDDEEDCBBECAAABCDCCBAEADECAABCEAE,CAADADDBCBCBBABBADBBDECAEBCDBDABECEBDABDBABDD,ACDEBCBDAEDAACCBACDDAACDAAAECDCECBBABBEADABAE,DCECBEDBEEAEBDBACBBBECEABABECDBABEEBBDEEDDCBC,1,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,1.0,80.0,40.0,40.0,80.0,40.0,280.0,D,E,C,B,4,D,A,C,D,A,A,B,B,B,A,B,A,A,C,A,B,E,A,A,B
210061234985,2023,11,F,1,1,1,1,8,1,,0,,,,,,,,4300604,Alvorada,43,RS,1,1,1,1,1222.0,1191.0,1201.0,1212.0,475.3,579.7,561.7,647.9,DADEEECAABBADECABDEAEBEACEBCEEDBEBCBBDAADBCDB,CEBEDCEEAACEAADECBCADECDCABBDCDACAAEBEDBBBCDE,BCDCBCEAAEDCEBBADCDEBCADEBADCABBBCAAEABBBEAAE,BECCABABDACBBCEBEDBADACDBABDCDAACCBEDEADADDEA,0,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,1.0,120.0,120.0,80.0,100.0,0.0,420.0,C,E,C,D,2,C,A,B,B,A,A,B,B,B,A,B,A,A,B,A,A,C,A,A,B
